"","x"
"1","ENSXMAG00000000066"
"2","ENSXMAG00000000856"
"3","ENSXMAG00000001037"
"4","ENSXMAG00000001569"
"5","ENSXMAG00000001699"
"6","ENSXMAG00000002952"
"7","ENSXMAG00000003565"
"8","ENSXMAG00000004721"
"9","ENSXMAG00000004731"
"10","ENSXMAG00000005028"
"11","ENSXMAG00000006387"
"12","ENSXMAG00000006647"
"13","ENSXMAG00000006703"
"14","ENSXMAG00000006706"
"15","ENSXMAG00000006976"
"16","ENSXMAG00000010082"
"17","ENSXMAG00000010249"
"18","ENSXMAG00000010692"
"19","ENSXMAG00000010957"
"20","ENSXMAG00000011696"
"21","ENSXMAG00000012534"
"22","ENSXMAG00000013062"
"23","ENSXMAG00000013374"
"24","ENSXMAG00000014622"
"25","ENSXMAG00000014904"
"26","ENSXMAG00000015015"
"27","ENSXMAG00000015075"
"28","ENSXMAG00000015229"
"29","ENSXMAG00000015242"
"30","ENSXMAG00000015857"
"31","ENSXMAG00000016997"
"32","ENSXMAG00000017290"
"33","ENSXMAG00000017352"
"34","ENSXMAG00000017637"
"35","ENSXMAG00000018300"
"36","ENSXMAG00000018307"
"37","ENSXMAG00000018970"
"38","ENSXMAG00000019190"
"39","ENSXMAG00000019631"
"40","ENSXMAG00000019829"
"41","ENSXMAG00000020235"
"42","ENSXMAG00000020285"
