GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000054	0.00594562671845345	351.6	0.00595406861355259	1	2	ribosomal subunit export from nucleus	ENSXMAG00000020235	nup88
GO:0000055	0.00594562671845345	351.6	0.00595406861355259	1	2	ribosomal large subunit export from nucleus	ENSXMAG00000020235	nup88
GO:0000056	0.00297703430677632	Inf	0.0029770343067763	1	1	ribosomal small subunit export from nucleus	ENSXMAG00000020235	nup88
GO:0002521	0.003726392784066	25.4228675136116	0.0922880635100652	2	31	leukocyte differentiation	ENSXMAG00000006706,ENSXMAG00000013062	gpr137ba,tnpo3
GO:0002683	0.00890579997978569	175.775	0.00893110292032889	1	3	negative regulation of immune system process	ENSXMAG00000006706	gpr137ba
GO:0002761	0.0118575767774629	117.166666666667	0.0119081372271052	1	4	regulation of myeloid leukocyte differentiation	ENSXMAG00000006706	gpr137ba
GO:0002762	0.00297703430677632	Inf	0.0029770343067763	1	1	negative regulation of myeloid leukocyte differentiation	ENSXMAG00000006706	gpr137ba
GO:0006304	0.0264913037983839	43.90625	0.0267933087609867	1	9	DNA modification	ENSXMAG00000010249	prdm14
GO:0006305	0.0177360314391406	70.28	0.0178622058406578	1	6	DNA alkylation	ENSXMAG00000010249	prdm14
GO:0006306	0.0177360314391406	70.28	0.0178622058406578	1	6	DNA methylation	ENSXMAG00000010249	prdm14
GO:0006493	0.0322868069321175	35.115	0.0327473773745393	1	11	protein O-linked glycosylation	ENSXMAG00000013374	tmtc4
GO:0006828	0.00297703430677632	Inf	0.0029770343067763	1	1	manganese ion transport	ENSXMAG00000000856	ATP2C1
GO:0006913	0.00807450293998842	16.7200956937799	0.13694357811171	2	46	nucleocytoplasmic transport	ENSXMAG00000020235,ENSXMAG00000013062	nup88,tnpo3
GO:0007032	0.00890579997978569	175.775	0.00893110292032889	1	3	endosome organization	ENSXMAG00000018307	ist1
GO:0007249	0.0322868069321175	35.115	0.0327473773745393	1	11	I-kappaB kinase/NF-kappaB signaling	ENSXMAG00000016997	ripk1l
GO:0007283	0.0206627543874631	58.5583333333333	0.0208392401474341	1	7	spermatogenesis	ENSXMAG00000018300	tdrd9
GO:0007416	0.0466321534923787	23.3933333333333	0.0476325489084208	1	16	synapse assembly	ENSXMAG00000004731	nlgn1
GO:0009967	0.00740661908868352	17.5213032581454	0.130989509498157	2	44	positive regulation of signal transduction	ENSXMAG00000016997,ENSXMAG00000018970	ripk1l,wdr24
GO:0010506	0.0380494418343212	29.2541666666667	0.0387014459880919	1	13	regulation of autophagy	ENSXMAG00000006706	gpr137ba
GO:0010647	0.00740661908868352	17.5213032581454	0.130989509498157	2	44	positive regulation of cell communication	ENSXMAG00000016997,ENSXMAG00000018970	ripk1l,wdr24
GO:0010720	0.0235811710410551	50.1857142857143	0.0238162744542104	1	8	positive regulation of cell development	ENSXMAG00000019829	atoh7
GO:0015031	0.0422809560876775	4.30725190839695	0.788914091295719	3	265	protein transport	ENSXMAG00000018307,ENSXMAG00000020235,ENSXMAG00000013062	ist1,nup88,tnpo3
GO:0016050	0.0380494418343212	29.2541666666667	0.0387014459880919	1	13	vesicle organization	ENSXMAG00000018307	ist1
