GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000323	0.0168923567566221	11.1395730706076	0.201019664967225	2	60	lytic vacuole	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
GO:0005635	0.00775212162779433	17.0526315789474	0.13401310997815	2	40	nuclear envelope	ENSXMAG00000018307,ENSXMAG00000020235	ist1,nup88
GO:0005764	0.0168923567566221	11.1395730706076	0.201019664967225	2	60	lysosome	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
GO:0005765	0.00631240630835473	19.0700280112045	0.120611798980335	2	36	lysosomal membrane	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
GO:0005773	0.0231943561611805	9.34851621808144	0.237873270211216	2	71	vacuole	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
GO:0005774	0.00892008201201201	15.7979094076655	0.144064093226511	2	43	vacuolar membrane	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
GO:0031514	0.0265037849024401	44.3831168831169	0.02680262199563	1	8	motile cilium	ENSXMAG00000014904	mns1
GO:0043025	0.0427260079923334	25.8712121212121	0.0435542607428988	1	13	neuronal cell body	ENSXMAG00000019829	atoh7
GO:0043204	0.0395023913281785	28.2272727272727	0.040203932993445	1	12	perikaryon	ENSXMAG00000019829	atoh7
GO:0044297	0.0459392744570409	23.8776223776224	0.0469045884923525	1	14	cell body	ENSXMAG00000019829	atoh7
GO:0098852	0.00631240630835473	19.0700280112045	0.120611798980335	2	36	lytic vacuole membrane	ENSXMAG00000006706,ENSXMAG00000018970	gpr137ba,wdr24
