"","x"
"1","ENSXMAG00000001428"
"2","ENSXMAG00000003849"
"3","ENSXMAG00000004386"
"4","ENSXMAG00000005138"
"5","ENSXMAG00000006000"
"6","ENSXMAG00000006036"
"7","ENSXMAG00000006062"
"8","ENSXMAG00000006325"
"9","ENSXMAG00000006826"
"10","ENSXMAG00000007452"
"11","ENSXMAG00000014167"
"12","ENSXMAG00000015217"
"13","ENSXMAG00000016878"
"14","ENSXMAG00000017587"
"15","ENSXMAG00000017870"
"16","ENSXMAG00000017992"
"17","ENSXMAG00000018677"
"18","ENSXMAG00000020483"
"19","ENSXMAG00000020684"
"20","ENSXMAG00000020721"
"21","ENSXMAG00000020726"
