"","x"
"1","ENSXMAG00000000979"
"2","ENSXMAG00000001259"
"3","ENSXMAG00000001463"
"4","ENSXMAG00000001566"
"5","ENSXMAG00000001804"
"6","ENSXMAG00000002349"
"7","ENSXMAG00000002457"
"8","ENSXMAG00000002983"
"9","ENSXMAG00000002987"
"10","ENSXMAG00000003767"
"11","ENSXMAG00000003777"
"12","ENSXMAG00000003943"
"13","ENSXMAG00000004718"
"14","ENSXMAG00000004952"
"15","ENSXMAG00000005489"
"16","ENSXMAG00000005933"
"17","ENSXMAG00000006054"
"18","ENSXMAG00000006179"
"19","ENSXMAG00000006520"
"20","ENSXMAG00000006737"
"21","ENSXMAG00000006813"
"22","ENSXMAG00000006831"
"23","ENSXMAG00000006928"
"24","ENSXMAG00000006932"
"25","ENSXMAG00000007727"
"26","ENSXMAG00000008563"
"27","ENSXMAG00000008564"
"28","ENSXMAG00000008929"
"29","ENSXMAG00000010211"
"30","ENSXMAG00000010289"
"31","ENSXMAG00000010325"
"32","ENSXMAG00000010365"
"33","ENSXMAG00000010648"
"34","ENSXMAG00000010709"
"35","ENSXMAG00000010770"
"36","ENSXMAG00000012473"
"37","ENSXMAG00000012732"
"38","ENSXMAG00000012928"
"39","ENSXMAG00000012996"
"40","ENSXMAG00000013456"
"41","ENSXMAG00000013669"
"42","ENSXMAG00000013783"
"43","ENSXMAG00000014252"
"44","ENSXMAG00000014400"
"45","ENSXMAG00000014503"
"46","ENSXMAG00000014748"
"47","ENSXMAG00000015016"
"48","ENSXMAG00000015602"
"49","ENSXMAG00000016536"
"50","ENSXMAG00000016867"
"51","ENSXMAG00000016943"
"52","ENSXMAG00000017757"
"53","ENSXMAG00000017842"
"54","ENSXMAG00000018167"
"55","ENSXMAG00000018609"
"56","ENSXMAG00000018897"
"57","ENSXMAG00000019109"
"58","ENSXMAG00000019706"
"59","ENSXMAG00000019718"
"60","ENSXMAG00000020231"
"61","ENSXMAG00000020400"
"62","ENSXMAG00000020659"
