GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001706	0.0447332850028985	24.5384615384615	0.0456478593705699	1	14	endoderm formation	ENSXMAG00000008563	bmp2b
GO:0001707	0.0384621060193102	29.0082644628099	0.0391267366033456	1	12	mesoderm formation	ENSXMAG00000008563	bmp2b
GO:0001710	0.0194114156388833	63.8727272727273	0.0195633683016728	1	6	mesodermal cell fate commitment	ENSXMAG00000008563	bmp2b
GO:0001711	0.0258014078474312	45.6103896103896	0.0260844910688971	1	8	endodermal cell fate commitment	ENSXMAG00000008563	bmp2b
GO:0001714	0.0258014078474312	45.6103896103896	0.0260844910688971	1	8	endodermal cell fate specification	ENSXMAG00000008563	bmp2b
GO:0001763	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	morphogenesis of a branching structure	ENSXMAG00000008563	bmp2b
GO:0003171	0.0384621060193102	29.0082644628099	0.0391267366033456	1	12	atrioventricular valve development	ENSXMAG00000006928	pdcd4b
GO:0006636	0.0289814486676856	39.9034090909091	0.0293450524525092	1	9	unsaturated fatty acid biosynthetic process	ENSXMAG00000003777	fads2
GO:0006869	0.0356434645569569	7.34497354497354	0.299971647292316	2	92	lipid transport	ENSXMAG00000013669,ENSXMAG00000018609	osbpl7,OSBPL5
GO:0007154	0.0310929323432748	2.50911536162582	4.70499007655231	9	1443	cell communication	ENSXMAG00000008929,ENSXMAG00000010211,ENSXMAG00000005933,ENSXMAG00000001566,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016867,ENSXMAG00000016943	tnfrsf21,TACR1,nppc,olfcw1,bmp2b,chrm5a,CHRM3,tac1,ghrhra
GO:0007165	0.023284905977239	2.66360121224788	4.4865324638503	9	1376	signal transduction	ENSXMAG00000008929,ENSXMAG00000010211,ENSXMAG00000005933,ENSXMAG00000001566,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016867,ENSXMAG00000016943	tnfrsf21,TACR1,nppc,olfcw1,bmp2b,chrm5a,CHRM3,tac1,ghrhra
GO:0007186	0.000481234149879226	7.40183823529412	1.06294301105756	6	326	G protein-coupled receptor signaling pathway	ENSXMAG00000010211,ENSXMAG00000001566,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016867,ENSXMAG00000016943	TACR1,olfcw1,chrm5a,CHRM3,tac1,ghrhra
GO:0007213	0.00015134950711026	167.309523809524	0.0195633683016728	2	6	G protein-coupled acetylcholine receptor signaling pathway	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0007217	6.07808079510573e-05	334.714285714286	0.0130422455344485	2	4	tachykinin receptor signaling pathway	ENSXMAG00000010211,ENSXMAG00000016867	TACR1,tac1
GO:0007267	0.0173584690614025	6.12767857142857	0.557555996597675	3	171	cell-cell signaling	ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400	bmp2b,chrm5a,CHRM3
GO:0007423	0.0362343972926703	4.55825892857143	0.740147434079955	3	227	sensory organ development	ENSXMAG00000008563,ENSXMAG00000010289,ENSXMAG00000018167	bmp2b,lhfpl5b,plaat1
GO:0008610	0.0115686321891258	7.17395833333333	0.479302523390984	3	147	lipid biosynthetic process	ENSXMAG00000003777,ENSXMAG00000000979,ENSXMAG00000006831	fads2,SDR42E2,PGAP2
GO:0009950	0.0226114067626495	53.219696969697	0.0228239296852849	1	7	dorsal/ventral axis specification	ENSXMAG00000008563	bmp2b
GO:0009996	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	negative regulation of cell fate specification	ENSXMAG00000008563	bmp2b
GO:0010033	0.00397371804202234	7.15370515841843	0.668415083640488	4	205	response to organic substance	ENSXMAG00000010211,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400	TACR1,bmp2b,chrm5a,CHRM3
GO:0010092	0.00975120301641319	159.75	0.0097816841508364	1	3	specification of animal organ identity	ENSXMAG00000008563	bmp2b
GO:0010453	0.0289814486676856	39.9034090909091	0.0293450524525092	1	9	regulation of cell fate commitment	ENSXMAG00000008563	bmp2b
GO:0010454	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	negative regulation of cell fate commitment	ENSXMAG00000008563	bmp2b
GO:0010876	0.0392589524101018	6.95338345864662	0.316274454210377	2	97	lipid localization	ENSXMAG00000013669,ENSXMAG00000018609	osbpl7,OSBPL5
GO:0021548	0.0194114156388833	63.8727272727273	0.0195633683016728	1	6	pons development	ENSXMAG00000008563	bmp2b
GO:0021703	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	locus ceruleus development	ENSXMAG00000008563	bmp2b
GO:0023052	0.028585225575591	2.55369771671045	4.63977884888007	9	1423	signaling	ENSXMAG00000008929,ENSXMAG00000010211,ENSXMAG00000005933,ENSXMAG00000001566,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016867,ENSXMAG00000016943	tnfrsf21,TACR1,nppc,olfcw1,bmp2b,chrm5a,CHRM3,tac1,ghrhra
GO:0030513	0.0194114156388833	63.8727272727273	0.0195633683016728	1	6	positive regulation of BMP signaling pathway	ENSXMAG00000008563	bmp2b
GO:0030855	0.025659050022649	8.83301587301587	0.251063226538134	2	77	epithelial cell differentiation	ENSXMAG00000010289,ENSXMAG00000018167	lhfpl5b,plaat1
GO:0033559	0.0384621060193102	29.0082644628099	0.0391267366033456	1	12	unsaturated fatty acid metabolic process	ENSXMAG00000003777	fads2
GO:0035150	0.0478541847820083	22.7824675324675	0.048908420754182	1	15	regulation of tube size	ENSXMAG00000005933	nppc
GO:0035296	0.0478541847820083	22.7824675324675	0.048908420754182	1	15	regulation of tube diameter	ENSXMAG00000005933	nppc
GO:0035675	0.0289814486676856	39.9034090909091	0.0293450524525092	1	9	neuromast hair cell development	ENSXMAG00000010289	lhfpl5b
GO:0035678	0.00326056138361241	Inf	0.00326056138361214	1	1	neuromast hair cell morphogenesis	ENSXMAG00000010289	lhfpl5b
GO:0035987	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	endodermal cell differentiation	ENSXMAG00000008563	bmp2b
GO:0042220	0.00326056138361241	Inf	0.00326056138361214	1	1	response to cocaine	ENSXMAG00000010211	TACR1
GO:0042221	0.00522388187651656	5.23932831136221	1.17054153671676	5	359	response to chemical	ENSXMAG00000010211,ENSXMAG00000010709,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400	TACR1,slc47a1,bmp2b,chrm5a,CHRM3
GO:0042659	0.0289814486676856	39.9034090909091	0.0293450524525092	1	9	regulation of cell fate specification	ENSXMAG00000008563	bmp2b
GO:0042663	0.0194114156388833	63.8727272727273	0.0195633683016728	1	6	regulation of endodermal cell fate specification	ENSXMAG00000008563	bmp2b
GO:0042664	0.00975120301641319	159.75	0.0097816841508364	1	3	negative regulation of endodermal cell fate specification	ENSXMAG00000008563	bmp2b
GO:0042908	0.0226114067626495	53.219696969697	0.0228239296852849	1	7	xenobiotic transport	ENSXMAG00000010709	slc47a1
GO:0043279	0.00975120301641319	159.75	0.0097816841508364	1	3	response to alkaloid	ENSXMAG00000010211	TACR1
GO:0045168	0.00326056138361241	Inf	0.00326056138361214	1	1	cell-cell signaling involved in cell fate commitment	ENSXMAG00000008563	bmp2b
GO:0046618	0.00975120301641319	159.75	0.0097816841508364	1	3	xenobiotic export	ENSXMAG00000010709	slc47a1
GO:0048262	0.0416026018389016	26.5871212121212	0.0423872979869578	1	13	determination of dorsal/ventral asymmetry	ENSXMAG00000008563	bmp2b
GO:0048264	0.0226114067626495	53.219696969697	0.0228239296852849	1	7	determination of ventral identity	ENSXMAG00000008563	bmp2b
GO:0048332	0.0384621060193102	29.0082644628099	0.0391267366033456	1	12	mesoderm morphogenesis	ENSXMAG00000008563	bmp2b
GO:0048333	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	mesodermal cell differentiation	ENSXMAG00000008563	bmp2b
GO:0048484	0.0478541847820083	22.7824675324675	0.048908420754182	1	15	enteric nervous system development	ENSXMAG00000008563	bmp2b
GO:0048645	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	animal organ formation	ENSXMAG00000008563	bmp2b
GO:0048752	0.0226114067626495	53.219696969697	0.0228239296852849	1	7	semicircular canal morphogenesis	ENSXMAG00000008563	bmp2b
GO:0048857	0.0258014078474312	45.6103896103896	0.0260844910688971	1	8	neural nucleus development	ENSXMAG00000008563	bmp2b
GO:0048886	0.0478541847820083	22.7824675324675	0.048908420754182	1	15	neuromast hair cell differentiation	ENSXMAG00000010289	lhfpl5b
GO:0050803	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	regulation of synapse structure or activity	ENSXMAG00000001463	slc17a8
GO:0050885	0.0162014046169208	79.8522727272727	0.0163028069180607	1	5	neuromuscular process controlling balance	ENSXMAG00000001463	slc17a8
GO:0050896	0.0238778392810623	2.52805986103688	6.13637652395804	11	1882	response to stimulus	ENSXMAG00000008929,ENSXMAG00000010211,ENSXMAG00000005933,ENSXMAG00000010709,ENSXMAG00000001463,ENSXMAG00000001566,ENSXMAG00000008563,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016867,ENSXMAG00000016943	tnfrsf21,TACR1,nppc,slc47a1,slc17a8,olfcw1,bmp2b,chrm5a,CHRM3,tac1,ghrhra
GO:0050905	0.0353117681900296	31.9136363636364	0.0358661752197335	1	11	neuromuscular process	ENSXMAG00000001463	slc17a8
GO:0050957	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	equilibrioception	ENSXMAG00000001463	slc17a8
GO:0055006	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	cardiac cell development	ENSXMAG00000008563	bmp2b
GO:0055012	0.00651095229360454	319.545454545455	0.00652112276722427	1	2	ventricular cardiac muscle cell differentiation	ENSXMAG00000008563	bmp2b
GO:0055013	0.0321515589133408	35.4646464646465	0.0326056138361214	1	10	cardiac muscle cell development	ENSXMAG00000008563	bmp2b
GO:0055015	0.00651095229360454	319.545454545455	0.00652112276722427	1	2	ventricular cardiac muscle cell development	ENSXMAG00000008563	bmp2b
GO:0060004	0.00651095229360454	319.545454545455	0.00652112276722427	1	2	reflex	ENSXMAG00000001463	slc17a8
GO:0060005	0.00651095229360454	319.545454545455	0.00652112276722427	1	2	vestibular reflex	ENSXMAG00000001463	slc17a8
GO:0060030	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	dorsal convergence	ENSXMAG00000008563	bmp2b
GO:0060795	0.0353117681900296	31.9136363636364	0.0358661752197335	1	11	cell fate commitment involved in formation of primary germ layer	ENSXMAG00000008563	bmp2b
GO:0060872	0.0384621060193102	29.0082644628099	0.0391267366033456	1	12	semicircular canal development	ENSXMAG00000008563	bmp2b
GO:0060876	0.00975120301641319	159.75	0.0097816841508364	1	3	semicircular canal formation	ENSXMAG00000008563	bmp2b
GO:0061113	0.00326056138361241	Inf	0.00326056138361214	1	1	pancreas morphogenesis	ENSXMAG00000008563	bmp2b
GO:0061114	0.00326056138361241	Inf	0.00326056138361214	1	1	branching involved in pancreas morphogenesis	ENSXMAG00000008563	bmp2b
GO:0061130	0.00326056138361241	Inf	0.00326056138361214	1	1	pancreatic bud formation	ENSXMAG00000008563	bmp2b
GO:0061131	0.00326056138361241	Inf	0.00326056138361214	1	1	pancreas field specification	ENSXMAG00000008563	bmp2b
GO:0061138	0.0129813437525678	106.484848484848	0.0130422455344485	1	4	morphogenesis of a branching epithelium	ENSXMAG00000008563	bmp2b
GO:0070306	0.0289814486676856	39.9034090909091	0.0293450524525092	1	9	lens fiber cell differentiation	ENSXMAG00000018167	plaat1
