GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003774	0.0142629537954548	12.230358504958	0.183915135068459	2	71	cytoskeletal motor activity	ENSXMAG00000001804,ENSXMAG00000001259	KIF13B,MYO1H
GO:0003854	0.0103231287470558	134.716666666667	0.0103614160601949	1	4	3-beta-hydroxy-delta5-steroid dehydrogenase activity	ENSXMAG00000000979	SDR42E2
GO:0004888	0.00458617739575313	5.48308486238532	1.14234612063649	5	441	transmembrane signaling receptor activity	ENSXMAG00000010211,ENSXMAG00000001566,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016943	TACR1,olfcw1,chrm5a,CHRM3,ghrhra
GO:0004930	0.000563577636344264	9.0462962962963	0.712347354138399	5	275	G protein-coupled receptor activity	ENSXMAG00000010211,ENSXMAG00000001566,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016943	TACR1,olfcw1,chrm5a,CHRM3,ghrhra
GO:0004995	0.00775190342275656	202.1	0.00777106204514617	1	3	tachykinin receptor activity	ENSXMAG00000010211	TACR1
GO:0004999	0.0154465552164805	80.81	0.0155421240902923	1	6	vasoactive intestinal polypeptide receptor activity	ENSXMAG00000016943	ghrhra
GO:0008227	0.00170437170762179	38.5837320574163	0.0621684963611694	2	24	G protein-coupled amine receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0015464	0.000346604693837982	94.4678362573099	0.028493894165536	2	11	acetylcholine receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0016229	0.028144839232868	40.38	0.028493894165536	1	11	steroid dehydrogenase activity	ENSXMAG00000000979	SDR42E2
GO:0016538	0.0481382206352693	22.4111111111111	0.0492167262859257	1	19	cyclin-dependent protein serine/threonine kinase regulator activity	ENSXMAG00000008564	ccna1
GO:0016907	6.36128658703371e-05	283.614035087719	0.0129517700752436	2	5	G protein-coupled acetylcholine receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0030545	0.029730074853163	8.15840572304548	0.271987171580116	2	105	signaling receptor regulator activity	ENSXMAG00000005933,ENSXMAG00000008563	nppc,bmp2b
GO:0030546	0.0292089248265251	8.23942208462332	0.269396817565067	2	104	signaling receptor activator activity	ENSXMAG00000005933,ENSXMAG00000008563	nppc,bmp2b
GO:0030594	0.00813356566115061	16.5841073271414	0.137288762797582	2	53	neurotransmitter receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0033764	0.0230843572195836	50.4875	0.0233131861354385	1	9	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	ENSXMAG00000000979	SDR42E2
GO:0038023	0.00766935285266304	4.81300709939148	1.28999629949426	5	498	signaling receptor activity	ENSXMAG00000010211,ENSXMAG00000001566,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016943	TACR1,olfcw1,chrm5a,CHRM3,ghrhra
GO:0042910	0.0205447151672952	57.7071428571429	0.0207228321203898	1	8	xenobiotic transmembrane transporter activity	ENSXMAG00000010709	slc47a1
GO:0048018	0.0292089248265251	8.23942208462332	0.269396817565067	2	104	receptor ligand activity	ENSXMAG00000005933,ENSXMAG00000008563	nppc,bmp2b
GO:0060089	0.00766935285266304	4.81300709939148	1.28999629949426	5	498	molecular transducer activity	ENSXMAG00000010211,ENSXMAG00000001566,ENSXMAG00000014252,ENSXMAG00000014400,ENSXMAG00000016943	TACR1,olfcw1,chrm5a,CHRM3,ghrhra
GO:0098960	0.00231972604695027	32.6315789473684	0.0725299124213643	2	28	postsynaptic neurotransmitter receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
GO:0099528	6.36128658703371e-05	283.614035087719	0.0129517700752436	2	5	G protein-coupled neurotransmitter receptor activity	ENSXMAG00000014252,ENSXMAG00000014400	chrm5a,CHRM3
