"","x"
"1","ENSXMAG00000001587"
"2","ENSXMAG00000003588"
"3","ENSXMAG00000004707"
"4","ENSXMAG00000005941"
"5","ENSXMAG00000007180"
"6","ENSXMAG00000007241"
"7","ENSXMAG00000008406"
"8","ENSXMAG00000010402"
"9","ENSXMAG00000010912"
"10","ENSXMAG00000010996"
"11","ENSXMAG00000011434"
"12","ENSXMAG00000011991"
"13","ENSXMAG00000012056"
"14","ENSXMAG00000014188"
"15","ENSXMAG00000014210"
"16","ENSXMAG00000015720"
"17","ENSXMAG00000016421"
"18","ENSXMAG00000016998"
"19","ENSXMAG00000017196"
"20","ENSXMAG00000017343"
"21","ENSXMAG00000019339"
"22","ENSXMAG00000019869"
"23","ENSXMAG00000019969"
"24","ENSXMAG00000020028"
"25","ENSXMAG00000020711"
"26","ENSXMAG00000020731"
