GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001522	0.0108694606832648	117.283333333333	0.0109157924581798	1	11	pseudouridine synthesis	ENSXMAG00000016998	zgc:136858
GO:0001838	0.0108694606832648	117.283333333333	0.0109157924581798	1	11	embryonic epithelial tube formation	ENSXMAG00000010996	zic5
GO:0001841	0.0108694606832648	117.283333333333	0.0109157924581798	1	11	neural tube formation	ENSXMAG00000010996	zic5
GO:0001966	0.00791515433994983	167.619047619048	0.00793875815140346	1	8	thigmotaxis	ENSXMAG00000017196	serpini1
GO:0006839	0.0206627543874629	58.5583333333333	0.0208392401474341	1	21	mitochondrial transport	ENSXMAG00000011434	SLC25A30
GO:0007586	0.00988553091557753	130.333333333333	0.00992344768925432	1	10	digestion	ENSXMAG00000020028	ucn3l
GO:0010975	0.0147968035107878	83.7261904761905	0.0148851715338815	1	15	regulation of neuron projection development	ENSXMAG00000017196	serpini1
GO:0016331	0.0226114067626493	53.219696969697	0.0228239296852849	1	23	morphogenesis of embryonic epithelium	ENSXMAG00000010996	zic5
GO:0021915	0.0274685037942395	43.3333333333333	0.0277856535299121	1	28	neural tube development	ENSXMAG00000010996	zic5
GO:0022008	0.0347087785159428	8.78175895765472	0.306634533597959	2	309	neurogenesis	ENSXMAG00000017196,ENSXMAG00000010996	serpini1,zic5
GO:0030901	0.0157765481301123	78.1333333333333	0.0158775163028069	1	16	midbrain development	ENSXMAG00000010996	zic5
GO:0031109	0.0157765481301123	78.1333333333333	0.0158775163028069	1	16	microtubule polymerization or depolymerization	ENSXMAG00000003588	stmn2b
GO:0031110	0.00594141773673418	234.733333333333	0.00595406861355259	1	6	regulation of microtubule polymerization or depolymerization	ENSXMAG00000003588	stmn2b
GO:0031344	0.0216374964206334	55.7619047619048	0.0218315849163595	1	22	regulation of cell projection organization	ENSXMAG00000017196	serpini1
GO:0032886	0.013816223050753	90.1794871794872	0.0138928267649561	1	14	regulation of microtubule-based process	ENSXMAG00000003588	stmn2b
GO:0032924	0.00791515433994983	167.619047619048	0.00793875815140346	1	8	activin receptor signaling pathway	ENSXMAG00000017343	dand5
GO:0032925	0.00692870634000398	195.583333333333	0.00694641338247803	1	7	regulation of activin receptor signaling pathway	ENSXMAG00000017343	dand5
GO:0032926	0.00396431633248739	391.333333333333	0.00396937907570173	1	4	negative regulation of activin receptor signaling pathway	ENSXMAG00000017343	dand5
GO:0033278	0.00297450233679275	587.083333333333	0.0029770343067763	1	3	cell proliferation in midbrain	ENSXMAG00000010996	zic5
GO:0035148	0.0245567347386642	48.7708333333333	0.0248086192231358	1	25	tube formation	ENSXMAG00000010996	zic5
GO:0042127	0.0361591545774645	32.4583333333333	0.036716756450241	1	37	regulation of cell population proliferation	ENSXMAG00000010996	zic5
GO:0048699	0.0290817179081382	9.70322580645161	0.278848880068046	2	281	generation of neurons	ENSXMAG00000017196,ENSXMAG00000010996	serpini1,zic5
GO:0050767	0.0177335322215146	68.921568627451	0.0178622058406578	1	18	regulation of neurogenesis	ENSXMAG00000010996	zic5
GO:0050794	0.0439467404814683	5.05791505791506	2.31811738020981	5	2336	regulation of cellular process	ENSXMAG00000017196,ENSXMAG00000003588,ENSXMAG00000010996,ENSXMAG00000017343,ENSXMAG00000020028	serpini1,stmn2b,zic5,dand5,ucn3l
GO:0051128	0.00579261699753121	23.2873949579832	0.120073717039977	2	121	regulation of cellular component organization	ENSXMAG00000017196,ENSXMAG00000003588	serpini1,stmn2b
GO:0051960	0.0196871800713554	61.6491228070175	0.0198468953785086	1	20	regulation of nervous system development	ENSXMAG00000010996	zic5
GO:0060284	0.0274685037942395	43.3333333333333	0.0277856535299121	1	28	regulation of cell development	ENSXMAG00000010996	zic5
GO:0061351	0.00988553091557753	130.333333333333	0.00992344768925432	1	10	neural precursor cell proliferation	ENSXMAG00000010996	zic5
GO:0070507	0.0108694606832648	117.283333333333	0.0109157924581798	1	11	regulation of microtubule cytoskeleton organization	ENSXMAG00000003588	stmn2b
GO:0072175	0.0216374964206334	55.7619047619048	0.0218315849163595	1	22	epithelial tube formation	ENSXMAG00000010996	zic5
GO:0090092	0.0255281535545455	46.8133333333333	0.0258009639920612	1	26	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	ENSXMAG00000017343	dand5
GO:0090101	0.0118525522316416	106.606060606061	0.0119081372271052	1	12	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	ENSXMAG00000017343	dand5
GO:0120035	0.0206627543874629	58.5583333333333	0.0208392401474341	1	21	regulation of plasma membrane bounded cell projection organization	ENSXMAG00000017196	serpini1
