GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001664	0.0205447151672951	57.7071428571429	0.0207228321203898	1	21	G protein-coupled receptor binding	ENSXMAG00000020028	ucn3l
GO:0004730	0.000986801529542114	Inf	0.000986801529542371	1	1	pseudouridylate synthase activity	ENSXMAG00000016998	zgc:136858
GO:0004866	0.0359489938971657	31.9960317460317	0.0365116565930677	1	37	endopeptidase inhibitor activity	ENSXMAG00000017196	serpini1
GO:0004867	0.0282735631785196	41.1785714285714	0.0286172443567288	1	29	serine-type endopeptidase inhibitor activity	ENSXMAG00000017196	serpini1
GO:0005179	0.0407191529410055	28.0766550522648	0.0414456642407796	1	42	hormone activity	ENSXMAG00000020028	ucn3l
GO:0008146	0.0330769470755033	34.9177489177489	0.0335512520044406	1	34	sulfotransferase activity	ENSXMAG00000004707	HS6ST3
GO:0008158	0.00197275089886906	1156.85714285714	0.00197360305908474	1	2	hedgehog receptor activity	ENSXMAG00000015720	ptch2
GO:0016782	0.0407191529410055	28.0766550522648	0.0414456642407796	1	42	transferase activity, transferring sulphur-containing groups	ENSXMAG00000004707	HS6ST3
GO:0016835	0.0378595422797505	30.3045112781955	0.0384852596521525	1	39	carbon-oxygen lyase activity	ENSXMAG00000016998	zgc:136858
GO:0016836	0.0321179358650654	36.0133928571429	0.0325644504748982	1	33	hydro-lyase activity	ENSXMAG00000016998	zgc:136858
GO:0030414	0.0397667768208178	28.7821428571429	0.0404588627112372	1	41	peptidase inhibitor activity	ENSXMAG00000017196	serpini1
GO:0051427	0.000986801529542114	Inf	0.000986801529542371	1	1	hormone receptor binding	ENSXMAG00000020028	ucn3l
GO:0051428	0.000986801529542114	Inf	0.000986801529542371	1	1	peptide hormone receptor binding	ENSXMAG00000020028	ucn3l
GO:0051429	0.000986801529542114	Inf	0.000986801529542371	1	1	corticotropin-releasing hormone receptor binding	ENSXMAG00000020028	ucn3l
GO:0051431	0.000986801529542114	Inf	0.000986801529542371	1	1	corticotropin-releasing hormone receptor 2 binding	ENSXMAG00000020028	ucn3l
GO:0061134	0.0407191529410055	28.0766550522648	0.0414456642407796	1	42	peptidase regulator activity	ENSXMAG00000017196	serpini1
GO:0061135	0.0359489938971657	31.9960317460317	0.0365116565930677	1	37	endopeptidase regulator activity	ENSXMAG00000017196	serpini1
GO:0071855	0.00688973740806609	192.690476190476	0.0069076107067966	1	7	neuropeptide receptor binding	ENSXMAG00000020028	ucn3l
