"","x"
"1","ENSXMAG00000001081"
"2","ENSXMAG00000002169"
"3","ENSXMAG00000002425"
"4","ENSXMAG00000003400"
"5","ENSXMAG00000003539"
"6","ENSXMAG00000005164"
"7","ENSXMAG00000005259"
"8","ENSXMAG00000006956"
"9","ENSXMAG00000007013"
"10","ENSXMAG00000007320"
"11","ENSXMAG00000007583"
"12","ENSXMAG00000008362"
"13","ENSXMAG00000008449"
"14","ENSXMAG00000009241"
"15","ENSXMAG00000009594"
"16","ENSXMAG00000009904"
"17","ENSXMAG00000012078"
"18","ENSXMAG00000012376"
"19","ENSXMAG00000013108"
"20","ENSXMAG00000014569"
"21","ENSXMAG00000015854"
"22","ENSXMAG00000018585"
"23","ENSXMAG00000018641"
"24","ENSXMAG00000019356"
