GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000819	0.0235811710410551	50.1857142857143	0.0238162744542104	1	21	sister chromatid segregation	ENSXMAG00000009241	STAG1
GO:0001754	0.0168938728945454	71.7551020408163	0.0170116246101503	1	15	eye photoreceptor cell differentiation	ENSXMAG00000019356	sec13
GO:0001889	0.0499340323556223	22.7337662337662	0.0510348738304508	1	45	liver development	ENSXMAG00000019356	sec13
GO:0002040	0.0455856003886438	25.0214285714286	0.0464984406010774	1	41	sprouting angiogenesis	ENSXMAG00000001081	gipc2
GO:0003407	0.0434048612962531	26.3458646616541	0.0442302239863907	1	39	neural retina development	ENSXMAG00000019356	sec13
GO:0005976	0.0168938728945454	71.7551020408163	0.0170116246101503	1	15	polysaccharide metabolic process	ENSXMAG00000012078	PHKB
GO:0005977	0.0157754358898748	77.2857142857143	0.0158775163028069	1	14	glycogen metabolic process	ENSXMAG00000012078	PHKB
GO:0006073	0.0157754358898748	77.2857142857143	0.0158775163028069	1	14	cellular glucan metabolic process	ENSXMAG00000012078	PHKB
GO:0006112	0.0157754358898748	77.2857142857143	0.0158775163028069	1	14	energy reserve metabolic process	ENSXMAG00000012078	PHKB
GO:0006633	0.0291234803613545	40.12	0.0294868159909271	1	26	fatty acid biosynthetic process	ENSXMAG00000009594	lias
GO:0007029	0.0157754358898748	77.2857142857143	0.0158775163028069	1	14	endoplasmic reticulum organization	ENSXMAG00000019356	sec13
GO:0007059	0.0357379008916051	32.3271889400922	0.0362914658349872	1	32	chromosome segregation	ENSXMAG00000009241	STAG1
GO:0007062	0.0135352213636443	91.3636363636364	0.0136092996881202	1	12	sister chromatid cohesion	ENSXMAG00000009241	STAG1
GO:0007156	0.0488485528153263	23.265780730897	0.0499007655231075	1	44	homophilic cell adhesion via plasma membrane adhesion molecules	ENSXMAG00000008362	CLSTN2
GO:0007519	0.0477619882604959	23.8231292517007	0.0487666572157641	1	43	skeletal muscle tissue development	ENSXMAG00000003539	ripor2
GO:0007605	0.0180111976589784	66.9619047619048	0.0181457329174936	1	16	sensory perception of sound	ENSXMAG00000003539	ripor2
GO:0009106	0.0011341083073434	Inf	0.00113410830734335	1	1	lipoate metabolic process	ENSXMAG00000009594	lias
GO:0009107	0.0011341083073434	Inf	0.00113410830734335	1	1	lipoate biosynthetic process	ENSXMAG00000009594	lias
GO:0009249	0.00339894912166427	503.142857142857	0.00340232492203005	1	3	protein lipoylation	ENSXMAG00000009594	lias
GO:0010256	0.04667433776165	24.4076655052265	0.0476325489084208	1	42	endomembrane system organization	ENSXMAG00000019356	sec13
GO:0010842	0.0224693932682584	52.8345864661654	0.022682166146867	1	20	retina layer formation	ENSXMAG00000019356	sec13
GO:0014902	0.0302286329164354	38.5714285714286	0.0306209242982705	1	27	myotube differentiation	ENSXMAG00000003539	ripor2
GO:0014904	0.0258014078474317	45.6103896103896	0.0260844910688971	1	23	myotube cell development	ENSXMAG00000003539	ripor2
GO:0018205	0.0488485528153263	23.265780730897	0.0499007655231075	1	44	peptidyl-lysine modification	ENSXMAG00000009594	lias
