"","x"
"1","ENSXMAG00000000402"
"2","ENSXMAG00000000629"
"3","ENSXMAG00000001104"
"4","ENSXMAG00000001396"
"5","ENSXMAG00000002063"
"6","ENSXMAG00000002285"
"7","ENSXMAG00000003994"
"8","ENSXMAG00000005252"
"9","ENSXMAG00000006461"
"10","ENSXMAG00000006965"
"11","ENSXMAG00000008342"
"12","ENSXMAG00000008712"
"13","ENSXMAG00000009630"
"14","ENSXMAG00000009859"
"15","ENSXMAG00000010466"
"16","ENSXMAG00000010548"
"17","ENSXMAG00000010563"
"18","ENSXMAG00000010605"
"19","ENSXMAG00000011030"
"20","ENSXMAG00000011565"
"21","ENSXMAG00000013097"
"22","ENSXMAG00000014129"
"23","ENSXMAG00000015351"
"24","ENSXMAG00000016245"
"25","ENSXMAG00000016458"
"26","ENSXMAG00000016489"
"27","ENSXMAG00000016584"
"28","ENSXMAG00000017742"
"29","ENSXMAG00000018152"
"30","ENSXMAG00000018741"
"31","ENSXMAG00000018826"
"32","ENSXMAG00000019114"
"33","ENSXMAG00000019135"
"34","ENSXMAG00000019458"
"35","ENSXMAG00000019760"
"36","ENSXMAG00000019839"
"37","ENSXMAG00000020321"
"38","ENSXMAG00000020348"
"39","ENSXMAG00000020396"
"40","ENSXMAG00000020410"
"41","ENSXMAG00000020560"
