GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001570	0.0313195223789497	36.025641025641	0.0317550326056138	1	14	vasculogenesis	ENSXMAG00000019760	rps29
GO:0001816	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	cytokine production	ENSXMAG00000018826	sting1
GO:0001817	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	regulation of cytokine production	ENSXMAG00000018826	sting1
GO:0001819	0.0135371318573706	93.7733333333333	0.0136092996881202	1	6	positive regulation of cytokine production	ENSXMAG00000018826	sting1
GO:0002088	0.0444586160822732	24.6280701754386	0.0453643322937341	1	20	lens development in camera-type eye	ENSXMAG00000009859	dnase1l1l
GO:0002218	0.00226821661468668	Inf	0.0022682166146867	1	1	activation of innate immune response	ENSXMAG00000018826	sting1
GO:0002221	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	pattern recognition receptor signaling pathway	ENSXMAG00000018826	sting1
GO:0002230	0.00226821661468668	Inf	0.0022682166146867	1	1	positive regulation of defense response to virus by host	ENSXMAG00000018826	sting1
GO:0002253	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	activation of immune response	ENSXMAG00000018826	sting1
GO:0002684	0.0335210689189975	33.447619047619	0.0340232492203005	1	15	positive regulation of immune system process	ENSXMAG00000018826	sting1
GO:0002753	0.00453160928931695	469.133333333333	0.00453643322937341	1	2	cytoplasmic pattern recognition receptor signaling pathway	ENSXMAG00000018826	sting1
GO:0002764	0.0291132750277847	39.0333333333333	0.0294868159909271	1	13	immune response-regulating signaling pathway	ENSXMAG00000018826	sting1
GO:0002831	0.0112929393519988	117.233333333333	0.0113410830734335	1	5	regulation of response to biotic stimulus	ENSXMAG00000018826	sting1
GO:0002833	0.00453160928931695	469.133333333333	0.00453643322937341	1	2	positive regulation of response to biotic stimulus	ENSXMAG00000018826	sting1
GO:0003333	0.0379100969465993	29.2583333333333	0.0385596824496739	1	17	amino acid transmembrane transport	ENSXMAG00000010563	slc1a7a
GO:0006308	0.0135371318573706	93.7733333333333	0.0136092996881202	1	6	DNA catabolic process	ENSXMAG00000009859	dnase1l1l
GO:0006836	0.0379100969465993	29.2583333333333	0.0385596824496739	1	17	neurotransmitter transport	ENSXMAG00000017742	slc6a1a
GO:0006865	0.00202208546200864	35.765306122449	0.0680464984406011	2	30	amino acid transport	ENSXMAG00000010563,ENSXMAG00000017742	slc1a7a,slc6a1a
GO:0009615	0.0335210689189975	33.447619047619	0.0340232492203005	1	15	response to virus	ENSXMAG00000018826	sting1
GO:0009896	0.0422804336997852	26	0.0430961156790474	1	19	positive regulation of catabolic process	ENSXMAG00000018826	sting1
GO:0010506	0.0291132750277847	39.0333333333333	0.0294868159909271	1	13	regulation of autophagy	ENSXMAG00000018826	sting1
GO:0010508	0.00226821661468668	Inf	0.0022682166146867	1	1	positive regulation of autophagy	ENSXMAG00000018826	sting1
GO:0010628	0.0466321534923793	23.3933333333333	0.0476325489084208	1	21	positive regulation of gene expression	ENSXMAG00000018826	sting1
GO:0015812	0.00453160928931695	469.133333333333	0.00453643322937341	1	2	gamma-aminobutyric acid transport	ENSXMAG00000017742	slc6a1a
GO:0015849	0.00412606755666894	24.3797909407666	0.0975333144315282	2	43	organic acid transport	ENSXMAG00000010563,ENSXMAG00000017742	slc1a7a,slc6a1a
GO:0016236	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	macroautophagy	ENSXMAG00000018826	sting1
GO:0016239	0.00226821661468668	Inf	0.0022682166146867	1	1	positive regulation of macroautophagy	ENSXMAG00000018826	sting1
GO:0016241	0.00226821661468668	Inf	0.0022682166146867	1	1	regulation of macroautophagy	ENSXMAG00000018826	sting1
GO:0031331	0.0422804336997852	26	0.0430961156790474	1	19	positive regulation of cellular catabolic process	ENSXMAG00000018826	sting1
GO:0031347	0.0246866404074478	46.8533333333333	0.0249503827615537	1	11	regulation of defense response	ENSXMAG00000018826	sting1
GO:0031349	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	positive regulation of defense response	ENSXMAG00000018826	sting1
GO:0032103	0.009043961107704	156.333333333333	0.00907286645874681	1	4	positive regulation of response to external stimulus	ENSXMAG00000018826	sting1
GO:0032479	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	regulation of type I interferon production	ENSXMAG00000018826	sting1
GO:0032481	0.00226821661468668	Inf	0.0022682166146867	1	1	positive regulation of type I interferon production	ENSXMAG00000018826	sting1
GO:0032606	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	type I interferon production	ENSXMAG00000018826	sting1
GO:0038061	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	NIK/NF-kappaB signaling	ENSXMAG00000018826	sting1
GO:0045088	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	regulation of innate immune response	ENSXMAG00000018826	sting1
GO:0045089	0.00453160928931695	469.133333333333	0.00453643322937341	1	2	positive regulation of innate immune response	ENSXMAG00000018826	sting1
GO:0048821	0.0313195223789497	36.025641025641	0.0317550326056138	1	14	erythrocyte development	ENSXMAG00000019760	rps29
GO:0050688	0.00679018760062866	234.533333333333	0.00680464984406011	1	3	regulation of defense response to virus	ENSXMAG00000018826	sting1
GO:0050691	0.00226821661468668	Inf	0.0022682166146867	1	1	regulation of defense response to virus by host	ENSXMAG00000018826	sting1
GO:0050778	0.0246866404074478	46.8533333333333	0.0249503827615537	1	11	positive regulation of immune response	ENSXMAG00000018826	sting1
GO:0050818	0.0157765481301124	78.1333333333333	0.0158775163028069	1	7	regulation of coagulation	ENSXMAG00000002063	anxa5a
GO:0050819	0.0135371318573706	93.7733333333333	0.0136092996881202	1	6	negative regulation of coagulation	ENSXMAG00000002063	anxa5a
GO:0051239	0.0438195697961311	6.69679300291545	0.337964275588319	2	149	regulation of multicellular organismal process	ENSXMAG00000018826,ENSXMAG00000002063	sting1,anxa5a
GO:0051607	0.0246866404074478	46.8533333333333	0.0249503827615537	1	11	defense response to virus	ENSXMAG00000018826	sting1
GO:0061515	0.0422804336997852	26	0.0430961156790474	1	19	myeloid cell development	ENSXMAG00000019760	rps29
GO:0070306	0.0202410899152166	58.5833333333333	0.0204139495321803	1	9	lens fiber cell differentiation	ENSXMAG00000009859	dnase1l1l
GO:0072331	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	signal transduction by p53 class mediator	ENSXMAG00000019760	rps29
GO:0072332	0.0112929393519988	117.233333333333	0.0113410830734335	1	5	intrinsic apoptotic signaling pathway by p53 class mediator	ENSXMAG00000019760	rps29
GO:0097190	0.0291132750277847	39.0333333333333	0.0294868159909271	1	13	apoptotic signaling pathway	ENSXMAG00000019760	rps29
GO:0097193	0.0224662343525986	52.0666666666667	0.022682166146867	1	10	intrinsic apoptotic signaling pathway	ENSXMAG00000019760	rps29
GO:0140546	0.0246866404074478	46.8533333333333	0.0249503827615537	1	11	defense response to symbiont	ENSXMAG00000018826	sting1
GO:1902475	0.0291132750277847	39.0333333333333	0.0294868159909271	1	13	L-alpha-amino acid transmembrane transport	ENSXMAG00000010563	slc1a7a
GO:1903825	0.0444586160822732	24.6280701754386	0.0453643322937341	1	20	organic acid transmembrane transport	ENSXMAG00000010563	slc1a7a
GO:1905039	0.0444586160822732	24.6280701754386	0.0453643322937341	1	20	carboxylic acid transmembrane transport	ENSXMAG00000010563	slc1a7a
