GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000421	0.0074116832470924	213.9375	0.00742898761835397	1	3	autophagosome membrane	ENSXMAG00000018826	sting1
GO:0005776	0.0147716422374997	85.5375	0.0148579752367079	1	6	autophagosome	ENSXMAG00000018826	sting1
GO:0005793	0.0341478935591553	32.8605769230769	0.0346686088856519	1	14	endoplasmic reticulum-Golgi intermediate compartment	ENSXMAG00000018826	sting1
GO:0005911	0.0151448299244599	12.0408888888889	0.190677348871085	2	77	cell-cell junction	ENSXMAG00000009630,ENSXMAG00000016245	gja2,gja9b
GO:0005921	0.00129510991241634	45.52	0.0544792425345958	2	22	gap junction	ENSXMAG00000009630,ENSXMAG00000016245	gja2,gja9b
GO:0005922	0.000768061321696493	60.7377777777778	0.0420975965040058	2	17	connexin complex	ENSXMAG00000009630,ENSXMAG00000016245	gja2,gja9b
GO:0033116	0.0293377396093413	38.8465909090909	0.0297159504734159	1	12	endoplasmic reticulum-Golgi intermediate compartment membrane	ENSXMAG00000018826	sting1
GO:0048471	0.00106834873754635	50.5925925925926	0.0495265841223598	2	20	perinuclear region of cytoplasm	ENSXMAG00000014129,ENSXMAG00000018826	sh3rf1,sting1
GO:0070161	0.0238642632368356	9.37777777777778	0.242680262199563	2	98	anchoring junction	ENSXMAG00000009630,ENSXMAG00000016245	gja2,gja9b
GO:0098796	0.0290452407171332	5.14129301355579	0.685943190094683	3	277	membrane protein complex	ENSXMAG00000009630,ENSXMAG00000016245,ENSXMAG00000019458	gja2,gja9b,KCNA10
GO:0098797	0.00347805163486421	11.6198156682028	0.314493809176985	3	127	plasma membrane protein complex	ENSXMAG00000009630,ENSXMAG00000016245,ENSXMAG00000019458	gja2,gja9b,KCNA10
