GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0004536	0.0248919394969869	45.9034090909091	0.0251634390033305	1	12	deoxyribonuclease activity	ENSXMAG00000009859	dnase1l1l
GO:0005215	0.0477627062264809	3.39101611612756	1.41963735043789	4	677	transporter activity	ENSXMAG00000010563,ENSXMAG00000017742,ENSXMAG00000019135,ENSXMAG00000019458	slc1a7a,slc6a1a,SLC5A7,KCNA10
GO:0005283	0.00418976743665123	505.5625	0.00419390650055508	1	2	amino acid:sodium symporter activity	ENSXMAG00000017742	slc6a1a
GO:0005332	0.00418976743665123	505.5625	0.00419390650055508	1	2	gamma-aminobutyric acid:sodium symporter activity	ENSXMAG00000017742	slc6a1a
GO:0005342	0.039141703519662	28.0277777777778	0.0398421117552732	1	19	organic acid transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0005343	0.0062784502193256	252.75	0.00629085975083261	1	3	organic acid:sodium symporter activity	ENSXMAG00000017742	slc6a1a
GO:0005416	0.00418976743665123	505.5625	0.00419390650055508	1	2	amino acid:cation symporter activity	ENSXMAG00000017742	slc6a1a
GO:0005509	0.0316330624684721	4.96055437100213	0.708770198593808	3	338	calcium ion binding	ENSXMAG00000002063,ENSXMAG00000001396,ENSXMAG00000011565	anxa5a,CABP7,cabp5b
GO:0005544	0.0491998609042492	21.9211956521739	0.0503268780066609	1	24	calcium-dependent phospholipid binding	ENSXMAG00000002063	anxa5a
GO:0008028	0.0125197865488277	101.0625	0.0125817195016652	1	6	monocarboxylic acid transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0008514	0.039141703519662	28.0277777777778	0.0398421117552732	1	19	organic anion transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0015171	0.0228400968149042	50.5	0.0230664857530529	1	11	amino acid transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0015185	0.00418976743665123	505.5625	0.00419390650055508	1	2	gamma-aminobutyric acid transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0015291	0.0239955408664726	9.32865497076023	0.243246577032194	2	116	secondary active transmembrane transporter activity	ENSXMAG00000010563,ENSXMAG00000017742	slc1a7a,slc6a1a
GO:0015293	0.00773063184175985	17.2645161290323	0.134205008017762	2	64	symporter activity	ENSXMAG00000010563,ENSXMAG00000017742	slc1a7a,slc6a1a
GO:0015294	0.0411613117095937	26.5493421052632	0.0419390650055508	1	20	solute:cation symporter activity	ENSXMAG00000017742	slc6a1a
GO:0015355	0.00418976743665123	505.5625	0.00419390650055508	1	2	secondary active monocarboxylate transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0015370	0.0228400968149042	50.5	0.0230664857530529	1	11	solute:sodium symporter activity	ENSXMAG00000017742	slc6a1a
GO:0022857	0.0416357342030938	3.55757286192069	1.35882570617984	4	648	transmembrane transporter activity	ENSXMAG00000010563,ENSXMAG00000017742,ENSXMAG00000019135,ENSXMAG00000019458	slc1a7a,slc6a1a,SLC5A7,KCNA10
GO:0046943	0.0371180921420398	29.6801470588235	0.0377451585049957	1	18	carboxylic acid transmembrane transporter activity	ENSXMAG00000017742	slc6a1a
GO:0140161	0.00418976743665123	505.5625	0.00419390650055508	1	2	monocarboxylate:sodium symporter activity	ENSXMAG00000017742	slc6a1a
