"","x"
"1","ENSXMAG00000000244"
"2","ENSXMAG00000000427"
"3","ENSXMAG00000000657"
"4","ENSXMAG00000000890"
"5","ENSXMAG00000001536"
"6","ENSXMAG00000003380"
"7","ENSXMAG00000004573"
"8","ENSXMAG00000005237"
"9","ENSXMAG00000005306"
"10","ENSXMAG00000005330"
"11","ENSXMAG00000005342"
"12","ENSXMAG00000005442"
"13","ENSXMAG00000005498"
"14","ENSXMAG00000007842"
"15","ENSXMAG00000010372"
"16","ENSXMAG00000010391"
"17","ENSXMAG00000011120"
"18","ENSXMAG00000011481"
"19","ENSXMAG00000012516"
"20","ENSXMAG00000012960"
"21","ENSXMAG00000016523"
"22","ENSXMAG00000017546"
"23","ENSXMAG00000017895"
"24","ENSXMAG00000018944"
"25","ENSXMAG00000019298"
"26","ENSXMAG00000019613"
"27","ENSXMAG00000020420"
"28","ENSXMAG00000020440"
"29","ENSXMAG00000020530"
"30","ENSXMAG00000020572"
"31","ENSXMAG00000020574"
"32","ENSXMAG00000020578"
"33","ENSXMAG00000020634"
"34","ENSXMAG00000020718"
"35","ENSXMAG00000020724"
