GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000981	0.0125027742419406	14.2089285714286	0.175157271493771	2	142	DNA-binding transcription factor activity, RNA polymerase II-specific	ENSXMAG00000000427,ENSXMAG00000005342	hoxd11a,lhx1a
GO:0003677	0.0489240322701209	4.53586756591048	0.86591834217343	3	702	DNA binding	ENSXMAG00000000427,ENSXMAG00000005342,ENSXMAG00000018944	hoxd11a,lhx1a,etv1
GO:0003700	0.00620831845579351	10.3482697426797	0.400888121376588	3	325	DNA-binding transcription factor activity	ENSXMAG00000000427,ENSXMAG00000005342,ENSXMAG00000018944	hoxd11a,lhx1a,etv1
GO:0004089	0.0110523270562807	112.347222222222	0.0111015172073517	1	9	carbonate dehydratase activity	ENSXMAG00000003380	CA12
GO:0004312	0.0110523270562807	112.347222222222	0.0111015172073517	1	9	fatty acid synthase activity	ENSXMAG00000011120	elovl8a
GO:0005216	0.0367352559310073	7.847	0.310842481805847	2	252	ion channel activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0005261	0.0176124747511919	11.7991071428571	0.209695325027754	2	170	cation channel activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0005262	0.0010418499826883	53.0197368421053	0.0493400764771185	2	40	calcium channel activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0008138	0.0340247708797632	33.2098765432099	0.034538053533983	1	28	protein tyrosine/serine/threonine phosphatase activity	ENSXMAG00000017895	DUSP3
GO:0008324	0.0454117021933484	6.95373665480427	0.349081041075614	2	283	cation transmembrane transporter activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0009922	0.0073804953420229	179.822222222222	0.00740101147156778	1	6	fatty acid elongase activity	ENSXMAG00000011120	elovl8a
GO:0015085	0.00241076903854134	34.0593220338983	0.0752436166276058	2	61	calcium ion transmembrane transporter activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0015267	0.041121928570834	7.35996240601504	0.330578512396694	2	268	channel activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0016835	0.0471040016150777	23.5643274853801	0.0481065745651906	1	39	carbon-oxygen lyase activity	ENSXMAG00000003380	CA12
GO:0016836	0.039989772131975	28.0034722222222	0.0407055630936228	1	33	hydro-lyase activity	ENSXMAG00000003380	CA12
GO:0022803	0.041121928570834	7.35996240601504	0.330578512396694	2	268	passive transmembrane transporter activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0022890	0.0422493705472937	7.24722222222222	0.335512520044406	2	272	inorganic cation transmembrane transporter activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0030674	0.0435528400137625	25.5936507936508	0.0444060688294067	1	36	protein-macromolecule adaptor activity	ENSXMAG00000012516	fscn2a
GO:0046873	0.0219411976470677	10.4603174603175	0.235598865178241	2	191	metal ion transmembrane transporter activity	ENSXMAG00000000890,ENSXMAG00000010372	cacng7a,trpc2b
GO:0051015	0.0387994308698946	28.910394265233	0.0394720611816948	1	32	actin filament binding	ENSXMAG00000012516	fscn2a
GO:0102756	0.00492579579452668	299.777777777778	0.00493400764771185	1	4	very-long-chain 3-ketoacyl-CoA synthase activity	ENSXMAG00000011120	elovl8a
GO:0140110	0.00944424558532568	8.82514285714286	0.46626372270877	3	378	transcription regulator activity	ENSXMAG00000000427,ENSXMAG00000005342,ENSXMAG00000018944	hoxd11a,lhx1a,etv1
