"","x"
"1","ENSXMAG00000000026"
"2","ENSXMAG00000000068"
"3","ENSXMAG00000000113"
"4","ENSXMAG00000000133"
"5","ENSXMAG00000000144"
"6","ENSXMAG00000000201"
"7","ENSXMAG00000000246"
"8","ENSXMAG00000000265"
"9","ENSXMAG00000000277"
"10","ENSXMAG00000000318"
"11","ENSXMAG00000000345"
"12","ENSXMAG00000000370"
"13","ENSXMAG00000000375"
"14","ENSXMAG00000000396"
"15","ENSXMAG00000000406"
"16","ENSXMAG00000000420"
"17","ENSXMAG00000000423"
"18","ENSXMAG00000000428"
"19","ENSXMAG00000000465"
"20","ENSXMAG00000000536"
"21","ENSXMAG00000000572"
"22","ENSXMAG00000000619"
"23","ENSXMAG00000000626"
"24","ENSXMAG00000000631"
"25","ENSXMAG00000000721"
"26","ENSXMAG00000000726"
"27","ENSXMAG00000000734"
"28","ENSXMAG00000000763"
"29","ENSXMAG00000000939"
"30","ENSXMAG00000000947"
"31","ENSXMAG00000000973"
"32","ENSXMAG00000001008"
"33","ENSXMAG00000001019"
"34","ENSXMAG00000001065"
"35","ENSXMAG00000001097"
"36","ENSXMAG00000001102"
"37","ENSXMAG00000001112"
"38","ENSXMAG00000001123"
"39","ENSXMAG00000001156"
"40","ENSXMAG00000001186"
"41","ENSXMAG00000001280"
"42","ENSXMAG00000001287"
"43","ENSXMAG00000001312"
"44","ENSXMAG00000001367"
"45","ENSXMAG00000001398"
"46","ENSXMAG00000001424"
"47","ENSXMAG00000001505"
"48","ENSXMAG00000001521"
"49","ENSXMAG00000001577"
"50","ENSXMAG00000001629"
"51","ENSXMAG00000001644"
"52","ENSXMAG00000001650"
"53","ENSXMAG00000001671"
"54","ENSXMAG00000001689"
"55","ENSXMAG00000001712"
"56","ENSXMAG00000001719"
"57","ENSXMAG00000001727"
"58","ENSXMAG00000001740"
"59","ENSXMAG00000001822"
"60","ENSXMAG00000001835"
"61","ENSXMAG00000001837"
"62","ENSXMAG00000001872"
"63","ENSXMAG00000001880"
"64","ENSXMAG00000001897"
