GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000375	0.0103401831307231	3.15737704918033	2.42925999432946	7	68	RNA splicing, via transesterification reactions	ENSXMAG00000009007,ENSXMAG00000001521,ENSXMAG00000010928,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000004353,ENSXMAG00000008485	slu7,smn1,snw1,prpf6,txnl4b,snrpg,prpf19
GO:0000377	0.0103401831307231	3.15737704918033	2.42925999432946	7	68	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	ENSXMAG00000009007,ENSXMAG00000001521,ENSXMAG00000010928,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000004353,ENSXMAG00000008485	slu7,smn1,snw1,prpf6,txnl4b,snrpg,prpf19
GO:0000398	0.0103401831307231	3.15737704918033	2.42925999432946	7	68	mRNA splicing, via spliceosome	ENSXMAG00000009007,ENSXMAG00000001521,ENSXMAG00000010928,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000004353,ENSXMAG00000008485	slu7,smn1,snw1,prpf6,txnl4b,snrpg,prpf19
GO:0001505	0.0473420960947464	6.794	0.357244116813156	2	10	regulation of neurotransmitter levels	ENSXMAG00000008296,ENSXMAG00000011907	gad2,ache
GO:0001743	0.035724411681316	Inf	0.0357244116813156	1	1	lens placode formation	ENSXMAG00000019589	fzd8a
GO:0001941	0.035724411681316	Inf	0.0357244116813156	1	1	postsynaptic membrane organization	ENSXMAG00000017179	gphnb
GO:0001975	0.035724411681316	Inf	0.0357244116813156	1	1	response to amphetamine	ENSXMAG00000011907	ache
GO:0003147	0.035724411681316	Inf	0.0357244116813156	1	1	neural crest cell migration involved in heart formation	ENSXMAG00000002687	glrx2
GO:0006367	0.00780067172410106	9.09370816599732	0.428692940175787	3	12	transcription initiation from RNA polymerase II promoter	ENSXMAG00000013459,ENSXMAG00000001644,ENSXMAG00000012141	taf7,gtf2a1,gtf2e2
GO:0006396	0.0252292221809118	1.7705793290302	10.1457329174936	17	284	RNA processing	ENSXMAG00000008479,ENSXMAG00000008494,ENSXMAG00000009007,ENSXMAG00000013804,ENSXMAG00000018113,ENSXMAG00000001521,ENSXMAG00000007708,ENSXMAG00000008281,ENSXMAG00000008425,ENSXMAG00000010928,ENSXMAG00000014206,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000019230,ENSXMAG00000004353,ENSXMAG00000008485,ENSXMAG00000013937	larp7,eftud2,slu7,rrp36,cwc25,smn1,pes,wbp11,dhx15,snw1,utp15,prpf6,txnl4b,pde5ab,snrpg,prpf19,casc3
GO:0006397	0.00871736201885214	2.45810467139606	4.8227955769776	11	135	mRNA processing	ENSXMAG00000008479,ENSXMAG00000008494,ENSXMAG00000009007,ENSXMAG00000018113,ENSXMAG00000001521,ENSXMAG00000010928,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000004353,ENSXMAG00000008485,ENSXMAG00000013937	larp7,eftud2,slu7,cwc25,smn1,snw1,prpf6,txnl4b,snrpg,prpf19,casc3
GO:0006581	0.035724411681316	Inf	0.0357244116813156	1	1	acetylcholine catabolic process	ENSXMAG00000011907	ache
GO:0006629	0.00307094122784926	2.001625797783	12.4320952650978	23	348	lipid metabolic process	ENSXMAG00000000265,ENSXMAG00000003441,ENSXMAG00000006691,ENSXMAG00000011229,ENSXMAG00000001650,ENSXMAG00000001740,ENSXMAG00000014791,ENSXMAG00000015395,ENSXMAG00000017779,ENSXMAG00000002530,ENSXMAG00000004583,ENSXMAG00000008440,ENSXMAG00000010132,ENSXMAG00000000626,ENSXMAG00000004639,ENSXMAG00000005254,ENSXMAG00000005295,ENSXMAG00000007235,ENSXMAG00000010774,ENSXMAG00000011459,ENSXMAG00000012951,ENSXMAG00000017280,ENSXMAG00000018124	tafazzin,PTDSS1,crot,pigc,PLCH1,PTGR1,plpp5,CPT1A,lcat,rfx2,cds2,yy1b,GDPD5,pip4p1b,PIK3CA,DGKG,smpdl3a,lipea,pafah1b3,mtmr2,pcyt2,pi4kb,PIP4K2B
GO:0006644	0.00225192835951073	2.99812871206574	4.03685851998866	11	113	phospholipid metabolic process	ENSXMAG00000000265,ENSXMAG00000003441,ENSXMAG00000011229,ENSXMAG00000014791,ENSXMAG00000004583,ENSXMAG00000000626,ENSXMAG00000004639,ENSXMAG00000005295,ENSXMAG00000012951,ENSXMAG00000017280,ENSXMAG00000018124	tafazzin,PTDSS1,pigc,plpp5,cds2,pip4p1b,PIK3CA,smpdl3a,pcyt2,pi4kb,PIP4K2B
GO:0006650	0.00505770844544309	3.29581600195743	2.67933087609867	8	75	glycerophospholipid metabolic process	ENSXMAG00000003441,ENSXMAG00000011229,ENSXMAG00000004583,ENSXMAG00000000626,ENSXMAG00000004639,ENSXMAG00000012951,ENSXMAG00000017280,ENSXMAG00000018124	PTDSS1,pigc,cds2,pip4p1b,PIK3CA,pcyt2,pi4kb,PIP4K2B
GO:0006690	0.0387709558509556	7.76571428571429	0.32151970513184	2	9	icosanoid metabolic process	ENSXMAG00000001740,ENSXMAG00000008413	PTGR1,alox5ap
GO:0006777	0.00372390715355157	54.408	0.107173235043947	2	3	Mo-molybdopterin cofactor biosynthetic process	ENSXMAG00000008027,ENSXMAG00000017179	MOCOS,gphnb
GO:0006793	0.0390318998097999	1.39238064894204	31.2231358094698	41	874	phosphorus metabolic process	ENSXMAG00000000265,ENSXMAG00000003441,ENSXMAG00000008807,ENSXMAG00000011229,ENSXMAG00000000201,ENSXMAG00000001880,ENSXMAG00000001936,ENSXMAG00000002185,ENSXMAG00000005610,ENSXMAG00000012187,ENSXMAG00000014791,ENSXMAG00000017897,ENSXMAG00000018327,ENSXMAG00000018766,ENSXMAG00000019587,ENSXMAG00000002417,ENSXMAG00000003381,ENSXMAG00000004583,ENSXMAG00000009932,ENSXMAG00000011173,ENSXMAG00000012185,ENSXMAG00000013557,ENSXMAG00000000626,ENSXMAG00000001156,ENSXMAG00000002205,ENSXMAG00000002396,ENSXMAG00000004639,ENSXMAG00000005254,ENSXMAG00000005295,ENSXMAG00000008027,ENSXMAG00000008579,ENSXMAG00000008895,ENSXMAG00000010478,ENSXMAG00000011459,ENSXMAG00000011530,ENSXMAG00000012951,ENSXMAG00000013788,ENSXMAG00000014567,ENSXMAG00000017179,ENSXMAG00000017280,ENSXMAG00000018124	tafazzin,PTDSS1,MAPK9,pigc,PRKCB,stk16,ulk1a,ROR1,tesk2,khk,plpp5,dguok,dhodh,DUSP26,dolk,ptprn2,SRPK3,cds2,ppm1kb,PRKAA2,IP6K1,mapk8a,pip4p1b,CSNK1E,hdhd2,map2k5,PIK3CA,DGKG,smpdl3a,MOCOS,dclk1a,pkn1b,CHUK,mtmr2,nmnat1,pcyt2,aldoaa,clk2a,gphnb,pi4kb,PIP4K2B
GO:0006796	0.0321873989757046	1.41557227055204	30.794442869294	41	862	phosphate-containing compound metabolic process	ENSXMAG00000000265,ENSXMAG00000003441,ENSXMAG00000008807,ENSXMAG00000011229,ENSXMAG00000000201,ENSXMAG00000001880,ENSXMAG00000001936,ENSXMAG00000002185,ENSXMAG00000005610,ENSXMAG00000012187,ENSXMAG00000014791,ENSXMAG00000017897,ENSXMAG00000018327,ENSXMAG00000018766,ENSXMAG00000019587,ENSXMAG00000002417,ENSXMAG00000003381,ENSXMAG00000004583,ENSXMAG00000009932,ENSXMAG00000011173,ENSXMAG00000012185,ENSXMAG00000013557,ENSXMAG00000000626,ENSXMAG00000001156,ENSXMAG00000002205,ENSXMAG00000002396,ENSXMAG00000004639,ENSXMAG00000005254,ENSXMAG00000005295,ENSXMAG00000008027,ENSXMAG00000008579,ENSXMAG00000008895,ENSXMAG00000010478,ENSXMAG00000011459,ENSXMAG00000011530,ENSXMAG00000012951,ENSXMAG00000013788,ENSXMAG00000014567,ENSXMAG00000017179,ENSXMAG00000017280,ENSXMAG00000018124	tafazzin,PTDSS1,MAPK9,pigc,PRKCB,stk16,ulk1a,ROR1,tesk2,khk,plpp5,dguok,dhodh,DUSP26,dolk,ptprn2,SRPK3,cds2,ppm1kb,PRKAA2,IP6K1,mapk8a,pip4p1b,CSNK1E,hdhd2,map2k5,PIK3CA,DGKG,smpdl3a,MOCOS,dclk1a,pkn1b,CHUK,mtmr2,nmnat1,pcyt2,aldoaa,clk2a,gphnb,pi4kb,PIP4K2B
GO:0007031	0.0473420960947464	6.794	0.357244116813156	2	10	peroxisome organization	ENSXMAG00000014054,ENSXMAG00000005441	pex16,pex19
GO:0008016	0.0247111087731229	5.45140562248996	0.64303941026368	3	18	regulation of heart contraction	ENSXMAG00000000265,ENSXMAG00000010569,ENSXMAG00000007879	tafazzin,vdac2,foxn4
GO:0008152	0.0102148990003679	1.36230363003315	131.501559398923	150	3681	metabolic process	ENSXMAG00000000265,ENSXMAG00000003441,ENSXMAG00000004590,ENSXMAG00000006087,ENSXMAG00000006691,ENSXMAG00000008479,ENSXMAG00000008807,ENSXMAG00000009097,ENSXMAG00000009598,ENSXMAG00000009869,ENSXMAG00000011229,ENSXMAG00000012001,ENSXMAG00000000201,ENSXMAG00000001650,ENSXMAG00000001740,ENSXMAG00000001837,ENSXMAG00000001880,ENSXMAG00000001936,ENSXMAG00000002028,ENSXMAG00000002185,ENSXMAG00000002532,ENSXMAG00000002687,ENSXMAG00000003359,ENSXMAG00000003957,ENSXMAG00000003997,ENSXMAG00000005397,ENSXMAG00000005610,ENSXMAG00000006361,ENSXMAG00000008340,ENSXMAG00000008494,ENSXMAG00000009007,ENSXMAG00000009730,ENSXMAG00000009815,ENSXMAG00000010990,ENSXMAG00000012187,ENSXMAG00000013216,ENSXMAG00000013458,ENSXMAG00000013804,ENSXMAG00000014791,ENSXMAG00000015395,ENSXMAG00000015716,ENSXMAG00000016545,ENSXMAG00000016590,ENSXMAG00000017727,ENSXMAG00000017779,ENSXMAG00000017897,ENSXMAG00000018113,ENSXMAG00000018320,ENSXMAG00000018327,ENSXMAG00000018362,ENSXMAG00000018392,ENSXMAG00000018766,ENSXMAG00000019587,ENSXMAG00000001019,ENSXMAG00000001112,ENSXMAG00000001521,ENSXMAG00000001577,ENSXMAG00000002417,ENSXMAG00000002530,ENSXMAG00000002619,ENSXMAG00000002670,ENSXMAG00000002982,ENSXMAG00000003381,ENSXMAG00000004583,ENSXMAG00000004608,ENSXMAG00000005532,ENSXMAG00000005804,ENSXMAG00000006024,ENSXMAG00000007708,ENSXMAG00000007733,ENSXMAG00000007846,ENSXMAG00000007910,ENSXMAG00000008276,ENSXMAG00000008281,ENSXMAG00000008296,ENSXMAG00000008413,ENSXMAG00000008425,ENSXMAG00000008440,ENSXMAG00000009692,ENSXMAG00000009804,ENSXMAG00000009932,ENSXMAG00000010132,ENSXMAG00000010928,ENSXMAG00000011173,ENSXMAG00000011827,ENSXMAG00000011907,ENSXMAG00000012185,ENSXMAG00000012189,ENSXMAG00000012305,ENSXMAG00000012323,ENSXMAG00000013459,ENSXMAG00000013557,ENSXMAG00000013629,ENSXMAG00000014066,ENSXMAG00000014206,ENSXMAG00000014292,ENSXMAG00000014988,ENSXMAG00000015581,ENSXMAG00000015685,ENSXMAG00000015890,ENSXMAG00000016320,ENSXMAG00000016624,ENSXMAG00000016652,ENSXMAG00000017272,ENSXMAG00000019172,ENSXMAG00000019193,ENSXMAG00000019230,ENSXMAG00000019775,ENSXMAG00000019792,ENSXMAG00000000626,ENSXMAG00000001156,ENSXMAG00000001644,ENSXMAG00000001872,ENSXMAG00000002068,ENSXMAG00000002205,ENSXMAG00000002396,ENSXMAG00000004296,ENSXMAG00000004353,ENSXMAG00000004639,ENSXMAG00000005254,ENSXMAG00000005295,ENSXMAG00000007235,ENSXMAG00000007748,ENSXMAG00000007879,ENSXMAG00000008027,ENSXMAG00000008485,ENSXMAG00000008579,ENSXMAG00000008895,ENSXMAG00000009027,ENSXMAG00000010478,ENSXMAG00000010774,ENSXMAG00000011436,ENSXMAG00000011459,ENSXMAG00000011530,ENSXMAG00000012141,ENSXMAG00000012951,ENSXMAG00000013195,ENSXMAG00000013788,ENSXMAG00000013937,ENSXMAG00000014284,ENSXMAG00000014567,ENSXMAG00000014653,ENSXMAG00000015282,ENSXMAG00000015941,ENSXMAG00000017179,ENSXMAG00000017280,ENSXMAG00000017586,ENSXMAG00000018124,ENSXMAG00000018267,ENSXMAG00000018977	tafazzin,PTDSS1,eif4a2,dad1,crot,larp7,MAPK9,rnf170,top1a,nubp2,pigc,PHF12,PRKCB,PLCH1,PTGR1,GATA2,stk16,ulk1a,ccnt2a,ROR1,PGPEP1,glrx2,azin1b,ZC3H4,nelfb,scrn3,tesk2,CREM,acbd5a,eftud2,slu7,EP300,ZMYND8,cul3b,khk,uqcrh,otud7b,rrp36,plpp5,CPT1A,tp53,arnt,ss18,yod1,lcat,dguok,cwc25,xrn1,dhodh,P3H2,SPG7,DUSP26,dolk,blvra,AHCYL1,smn1,fancd2,ptprn2,rfx2,ARID3A,ZNRF3,ggt5a,SRPK3,cds2,VDR,glb1,lig1,setd6,pes,prdm10,mgat5,lap3,tmub2,wbp11,gad2,alox5ap,dhx15,yy1b,lbh,aph1b,ppm1kb,GDPD5,snw1,PRKAA2,traf6,ache,IP6K1,npas2,pycr1a,gatad2ab,taf7,mapk8a,BPTF,cmtr2,utp15,asb3,anapc16,prpf6,st6galnac1.1,nr2c2,nup160,psma8,mrpl20,LMF1,eif2s2,txnl4b,pde5ab,B3GALT1,tob1a,pip4p1b,CSNK1E,gtf2a1,POLR3D,asb1,hdhd2,map2k5,PCMTD2,snrpg,PIK3CA,DGKG,smpdl3a,lipea,PPARGC1A,foxn4,MOCOS,prpf19,dclk1a,pkn1b,SMG8,CHUK,pafah1b3,rela,mtmr2,nmnat1,gtf2e2,pcyt2,alg2,aldoaa,casc3,eomesb,clk2a,psmb8a,polr2b,glud1a,gphnb,pi4kb,tcea1,PIP4K2B,gatc,gnsb
GO:0008291	0.035724411681316	Inf	0.0357244116813156	1	1	acetylcholine metabolic process	ENSXMAG00000011907	ache
GO:0008380	0.000485705932178592	3.69489576563515	3.35809469804366	11	94	RNA splicing	ENSXMAG00000008479,ENSXMAG00000008494,ENSXMAG00000009007,ENSXMAG00000001521,ENSXMAG00000008425,ENSXMAG00000010928,ENSXMAG00000015581,ENSXMAG00000019193,ENSXMAG00000004353,ENSXMAG00000008485,ENSXMAG00000013937	larp7,eftud2,slu7,smn1,dhx15,snw1,prpf6,txnl4b,snrpg,prpf19,casc3
GO:0008654	0.0111676582861505	3.10599078341014	2.46498440601077	7	69	phospholipid biosynthetic process	ENSXMAG00000003441,ENSXMAG00000011229,ENSXMAG00000004583,ENSXMAG00000004639,ENSXMAG00000012951,ENSXMAG00000017280,ENSXMAG00000018124	PTDSS1,pigc,cds2,PIK3CA,pcyt2,pi4kb,PIP4K2B
GO:0009449	0.035724411681316	Inf	0.0357244116813156	1	1	gamma-aminobutyric acid biosynthetic process	ENSXMAG00000008296	gad2
