GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000428	0.0261455855240802	3.23121557828482	1.6952658412236	5	46	DNA-directed RNA polymerase complex	ENSXMAG00000013459,ENSXMAG00000001644,ENSXMAG00000001872,ENSXMAG00000012141,ENSXMAG00000015282	taf7,gtf2a1,POLR3D,gtf2e2,polr2b
GO:0005654	0.0108219577737498	2.50182685281335	4.31187181354698	10	117	nucleoplasm	ENSXMAG00000008479,ENSXMAG00000008643,ENSXMAG00000009730,ENSXMAG00000001521,ENSXMAG00000007708,ENSXMAG00000013459,ENSXMAG00000001644,ENSXMAG00000008485,ENSXMAG00000012141,ENSXMAG00000013937	larp7,brms1,EP300,smn1,pes,taf7,gtf2a1,prpf19,gtf2e2,casc3
GO:0005667	0.0445686791000315	2.7570564516129	1.95324107793154	5	53	transcription regulator complex	ENSXMAG00000016545,ENSXMAG00000012189,ENSXMAG00000013459,ENSXMAG00000001644,ENSXMAG00000012141	arnt,npas2,taf7,gtf2a1,gtf2e2
GO:0005672	0.0368536052439913	Inf	0.0368536052439913	1	1	transcription factor TFIIA complex	ENSXMAG00000001644	gtf2a1
GO:0005673	0.0368536052439913	Inf	0.0368536052439913	1	1	transcription factor TFIIE complex	ENSXMAG00000012141	gtf2e2
GO:0005681	0.00967014685110125	4.28004682622268	1.32672978878369	5	36	spliceosomal complex	ENSXMAG00000008494,ENSXMAG00000009007,ENSXMAG00000010928,ENSXMAG00000004353,ENSXMAG00000008485	eftud2,slu7,snw1,snrpg,prpf19
GO:0005737	0.0212754583257114	1.31815266958009	85.3898033503278	101	2317	cytoplasm	ENSXMAG00000000265,ENSXMAG00000001312,ENSXMAG00000003441,ENSXMAG00000006087,ENSXMAG00000008807,ENSXMAG00000009026,ENSXMAG00000009097,ENSXMAG00000014929,ENSXMAG00000000133,ENSXMAG00000000201,ENSXMAG00000001740,ENSXMAG00000001822,ENSXMAG00000001880,ENSXMAG00000001936,ENSXMAG00000002532,ENSXMAG00000002687,ENSXMAG00000005257,ENSXMAG00000008620,ENSXMAG00000009730,ENSXMAG00000009985,ENSXMAG00000010569,ENSXMAG00000011242,ENSXMAG00000011479,ENSXMAG00000011543,ENSXMAG00000013216,ENSXMAG00000013458,ENSXMAG00000014054,ENSXMAG00000015287,ENSXMAG00000015395,ENSXMAG00000015716,ENSXMAG00000016212,ENSXMAG00000016545,ENSXMAG00000017489,ENSXMAG00000017727,ENSXMAG00000018320,ENSXMAG00000018327,ENSXMAG00000018362,ENSXMAG00000019587,ENSXMAG00000000113,ENSXMAG00000001521,ENSXMAG00000002417,ENSXMAG00000002510,ENSXMAG00000003381,ENSXMAG00000004608,ENSXMAG00000005441,ENSXMAG00000005532,ENSXMAG00000007846,ENSXMAG00000007910,ENSXMAG00000008413,ENSXMAG00000008450,ENSXMAG00000008860,ENSXMAG00000009692,ENSXMAG00000009870,ENSXMAG00000011173,ENSXMAG00000011320,ENSXMAG00000011827,ENSXMAG00000011884,ENSXMAG00000012189,ENSXMAG00000014988,ENSXMAG00000015685,ENSXMAG00000016120,ENSXMAG00000016610,ENSXMAG00000016624,ENSXMAG00000017272,ENSXMAG00000018715,ENSXMAG00000018730,ENSXMAG00000018860,ENSXMAG00000018989,ENSXMAG00000019093,ENSXMAG00000019230,ENSXMAG00000019775,ENSXMAG00000019792,ENSXMAG00000000626,ENSXMAG00000001123,ENSXMAG00000001156,ENSXMAG00000002396,ENSXMAG00000002825,ENSXMAG00000003313,ENSXMAG00000004494,ENSXMAG00000004582,ENSXMAG00000005282,ENSXMAG00000006711,ENSXMAG00000007034,ENSXMAG00000007235,ENSXMAG00000007275,ENSXMAG00000008579,ENSXMAG00000008624,ENSXMAG00000008895,ENSXMAG00000009524,ENSXMAG00000010478,ENSXMAG00000011436,ENSXMAG00000011459,ENSXMAG00000013937,ENSXMAG00000014567,ENSXMAG00000014653,ENSXMAG00000014901,ENSXMAG00000015998,ENSXMAG00000018169,ENSXMAG00000018267,ENSXMAG00000018977,ENSXMAG00000019448	tafazzin,emc4,PTDSS1,dad1,MAPK9,ergic2,rnf170,pdcd2,rhbdf1a,PRKCB,PTGR1,arpc4,stk16,ulk1a,PGPEP1,glrx2,gopc,washc5,EP300,DLC1,vdac2,cdc42l,mmachc,clstn1,uqcrh,otud7b,pex16,tmed7,CPT1A,tp53,CSGALNACT1,arnt,TUBGCP6,yod1,xrn1,dhodh,P3H2,dolk,cdip1,smn1,ptprn2,ppp4cb,SRPK3,VDR,pex19,glb1,mgat5,lap3,alox5ap,tcirg1b,ARHGEF12,lbh,CLTB,PRKAA2,rabep1,traf6,jpt2,npas2,anapc16,st6galnac1.1,nedd9,pard6b,psma8,LMF1,EMC1,cope,ICA1,tmem167b,PRELID3B,pde5ab,B3GALT1,tob1a,pip4p1b,trappc4,CSNK1E,map2k5,sfxn3,snx21,VDAC3,SHANK3,copg2,jpt1a,cert1a,lipea,slc50a1,dclk1a,optn,pkn1b,tmem9b,CHUK,rela,mtmr2,casc3,clk2a,psmb8a,SEC31B,slc9a7,lyrm7,gatc,gnsb,SSTR2
GO:0005741	0.0350908561506805	3.52449799196787	1.2530225782957	4	34	mitochondrial outer membrane	ENSXMAG00000000265,ENSXMAG00000010569,ENSXMAG00000015395,ENSXMAG00000004494	tafazzin,vdac2,CPT1A,VDAC3
GO:0005773	0.0151617621755878	2.91133130081301	2.61660597232338	7	71	vacuole	ENSXMAG00000000113,ENSXMAG00000005532,ENSXMAG00000008450,ENSXMAG00000000626,ENSXMAG00000008624,ENSXMAG00000009524,ENSXMAG00000018977	cdip1,glb1,tcirg1b,pip4p1b,optn,tmem9b,gnsb
GO:0005794	0.0311278108161817	1.75444760182554	9.61879096868172	16	261	Golgi apparatus	ENSXMAG00000009026,ENSXMAG00000005257,ENSXMAG00000011543,ENSXMAG00000015287,ENSXMAG00000016212,ENSXMAG00000007846,ENSXMAG00000009870,ENSXMAG00000015685,ENSXMAG00000018730,ENSXMAG00000018989,ENSXMAG00000019775,ENSXMAG00000001123,ENSXMAG00000005282,ENSXMAG00000007034,ENSXMAG00000007275,ENSXMAG00000008624	ergic2,gopc,clstn1,tmed7,CSGALNACT1,mgat5,CLTB,st6galnac1.1,cope,tmem167b,B3GALT1,trappc4,copg2,cert1a,slc50a1,optn
GO:0005811	2.54956728336811e-05	53.0923694779116	0.221121631463948	4	6	lipid droplet	ENSXMAG00000000375,ENSXMAG00000011827,ENSXMAG00000007235,ENSXMAG00000008485	ldah,traf6,lipea,prpf19
GO:0008250	0.0368536052439913	Inf	0.0368536052439913	1	1	oligosaccharyltransferase complex	ENSXMAG00000006087	dad1
GO:0012505	0.0210235786324575	1.50115557547659	25.5764020393299	36	694	endomembrane system	ENSXMAG00000001312,ENSXMAG00000003441,ENSXMAG00000006087,ENSXMAG00000009026,ENSXMAG00000009097,ENSXMAG00000000133,ENSXMAG00000005257,ENSXMAG00000011543,ENSXMAG00000012101,ENSXMAG00000015287,ENSXMAG00000016212,ENSXMAG00000018362,ENSXMAG00000019587,ENSXMAG00000000113,ENSXMAG00000002417,ENSXMAG00000007846,ENSXMAG00000008413,ENSXMAG00000009870,ENSXMAG00000011320,ENSXMAG00000015685,ENSXMAG00000016320,ENSXMAG00000017272,ENSXMAG00000018715,ENSXMAG00000018730,ENSXMAG00000018860,ENSXMAG00000018989,ENSXMAG00000019775,ENSXMAG00000000626,ENSXMAG00000001123,ENSXMAG00000003313,ENSXMAG00000005282,ENSXMAG00000007034,ENSXMAG00000007275,ENSXMAG00000008624,ENSXMAG00000014901,ENSXMAG00000015998	emc4,PTDSS1,dad1,ergic2,rnf170,rhbdf1a,gopc,clstn1,NHERF1,tmed7,CSGALNACT1,P3H2,dolk,cdip1,ptprn2,mgat5,alox5ap,CLTB,rabep1,st6galnac1.1,nup160,LMF1,EMC1,cope,ICA1,tmem167b,B3GALT1,pip4p1b,trappc4,snx21,copg2,cert1a,slc50a1,optn,SEC31B,slc9a7
GO:0019867	0.0350908561506805	3.52449799196787	1.2530225782957	4	34	outer membrane	ENSXMAG00000000265,ENSXMAG00000010569,ENSXMAG00000015395,ENSXMAG00000004494	tafazzin,vdac2,CPT1A,VDAC3
GO:0030880	0.0261455855240802	3.23121557828482	1.6952658412236	5	46	RNA polymerase complex	ENSXMAG00000013459,ENSXMAG00000001644,ENSXMAG00000001872,ENSXMAG00000012141,ENSXMAG00000015282	taf7,gtf2a1,POLR3D,gtf2e2,polr2b
GO:0031090	0.0084639726186634	1.61481836136214	24.0285506190823	36	652	organelle membrane	ENSXMAG00000000265,ENSXMAG00000001312,ENSXMAG00000003441,ENSXMAG00000006087,ENSXMAG00000009026,ENSXMAG00000009097,ENSXMAG00000000133,ENSXMAG00000010569,ENSXMAG00000011543,ENSXMAG00000013216,ENSXMAG00000014054,ENSXMAG00000015287,ENSXMAG00000015395,ENSXMAG00000016212,ENSXMAG00000018327,ENSXMAG00000000113,ENSXMAG00000002417,ENSXMAG00000005441,ENSXMAG00000007846,ENSXMAG00000008413,ENSXMAG00000008450,ENSXMAG00000009870,ENSXMAG00000017272,ENSXMAG00000018715,ENSXMAG00000018730,ENSXMAG00000018989,ENSXMAG00000019775,ENSXMAG00000000626,ENSXMAG00000002825,ENSXMAG00000003313,ENSXMAG00000004494,ENSXMAG00000005282,ENSXMAG00000007275,ENSXMAG00000009524,ENSXMAG00000014901,ENSXMAG00000015998	tafazzin,emc4,PTDSS1,dad1,ergic2,rnf170,rhbdf1a,vdac2,clstn1,uqcrh,pex16,tmed7,CPT1A,CSGALNACT1,dhodh,cdip1,ptprn2,pex19,mgat5,alox5ap,tcirg1b,CLTB,LMF1,EMC1,cope,tmem167b,B3GALT1,pip4p1b,sfxn3,snx21,VDAC3,copg2,slc50a1,tmem9b,SEC31B,slc9a7
GO:0031968	0.0350908561506805	3.52449799196787	1.2530225782957	4	34	organelle outer membrane	ENSXMAG00000000265,ENSXMAG00000010569,ENSXMAG00000015395,ENSXMAG00000004494	tafazzin,vdac2,CPT1A,VDAC3
GO:0031974	0.033610848700342	1.70516063749051	10.5032774945375	17	285	membrane-enclosed lumen	ENSXMAG00000008479,ENSXMAG00000008643,ENSXMAG00000009730,ENSXMAG00000013804,ENSXMAG00000000396,ENSXMAG00000001521,ENSXMAG00000007708,ENSXMAG00000011341,ENSXMAG00000013459,ENSXMAG00000014206,ENSXMAG00000019093,ENSXMAG00000019230,ENSXMAG00000001644,ENSXMAG00000008485,ENSXMAG00000012141,ENSXMAG00000013937,ENSXMAG00000018169	larp7,brms1,EP300,rrp36,npm1a,smn1,pes,ebna1bp2,taf7,utp15,PRELID3B,pde5ab,gtf2a1,prpf19,gtf2e2,casc3,lyrm7
GO:0031981	0.0100720643110647	2.08502988824396	7.70240349599417	15	209	nuclear lumen	ENSXMAG00000008479,ENSXMAG00000008643,ENSXMAG00000009730,ENSXMAG00000013804,ENSXMAG00000000396,ENSXMAG00000001521,ENSXMAG00000007708,ENSXMAG00000011341,ENSXMAG00000013459,ENSXMAG00000014206,ENSXMAG00000019230,ENSXMAG00000001644,ENSXMAG00000008485,ENSXMAG00000012141,ENSXMAG00000013937	larp7,brms1,EP300,rrp36,npm1a,smn1,pes,ebna1bp2,taf7,utp15,pde5ab,gtf2a1,prpf19,gtf2e2,casc3
GO:0033010	0.0368536052439913	Inf	0.0368536052439913	1	1	paranodal junction	ENSXMAG00000000572	CNTNAP2
