GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003990	0.0367583569754529	Inf	0.0367583569754533	1	1	acetylcholinesterase activity	ENSXMAG00000011907	ache
GO:0004074	0.0367583569754529	Inf	0.0367583569754533	1	1	biliverdin reductase (NAD(P)+) activity	ENSXMAG00000001019	blvra
GO:0004104	0.0367583569754529	Inf	0.0367583569754533	1	1	cholinesterase activity	ENSXMAG00000011907	ache
GO:0004152	0.0367583569754529	Inf	0.0367583569754533	1	1	dihydroorotate dehydrogenase activity	ENSXMAG00000018327	dhodh
GO:0004168	0.0367583569754529	Inf	0.0367583569754533	1	1	dolichol kinase activity	ENSXMAG00000019587	dolk
GO:0004353	0.0367583569754529	Inf	0.0367583569754533	1	1	glutamate dehydrogenase [NAD(P)+] activity	ENSXMAG00000015941	glud1a
GO:0004378	0.0367583569754529	Inf	0.0367583569754533	1	1	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity	ENSXMAG00000013195	alg2
GO:0004454	0.0367583569754529	Inf	0.0367583569754533	1	1	ketohexokinase activity	ENSXMAG00000012187	khk
GO:0004602	0.0250225639346216	10.5459459459459	0.257308498828173	2	7	glutathione peroxidase activity	ENSXMAG00000010097,ENSXMAG00000014369	gpx3,GPX2
GO:0008020	0.0367583569754529	Inf	0.0367583569754533	1	1	G protein-coupled photoreceptor activity	ENSXMAG00000019635	rho
GO:0008081	0.0473701275412514	2.70251445288013	1.98495127667448	5	54	phosphoric diester hydrolase activity	ENSXMAG00000001650,ENSXMAG00000002530,ENSXMAG00000010132,ENSXMAG00000019230,ENSXMAG00000005295	PLCH1,rfx2,GDPD5,pde5ab,smpdl3a
GO:0008265	0.0367583569754529	Inf	0.0367583569754533	1	1	Mo-molybdopterin cofactor sulfurase activity	ENSXMAG00000008027	MOCOS
GO:0008308	0.0084501222353951	8.8135593220339	0.44110028370544	3	12	voltage-gated anion channel activity	ENSXMAG00000001505,ENSXMAG00000010569,ENSXMAG00000004494	clcn7,vdac2,VDAC3
GO:0008988	0.0367583569754529	Inf	0.0367583569754533	1	1	rRNA (adenine-N6-)-methyltransferase activity	ENSXMAG00000019230	pde5ab
GO:0015288	0.00769273329629447	26.375	0.147033427901813	2	4	porin activity	ENSXMAG00000010569,ENSXMAG00000004494	vdac2,VDAC3
GO:0016298	0.0305761156891542	3.08199063417732	1.76440113482176	5	48	lipase activity	ENSXMAG00000001650,ENSXMAG00000000375,ENSXMAG00000002530,ENSXMAG00000005295,ENSXMAG00000007235	PLCH1,ldah,rfx2,smpdl3a,lipea
GO:0016628	0.0408668337912142	7.53088803088803	0.33082521277908	2	9	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	ENSXMAG00000001740,ENSXMAG00000001019	PTGR1,blvra
GO:0016639	0.0367583569754529	Inf	0.0367583569754533	1	1	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	ENSXMAG00000015941	glud1a
GO:0016723	0.0367583569754529	Inf	0.0367583569754533	1	1	oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor	ENSXMAG00000011479	mmachc
