"","x"
"1","ENSXMAG00000000010"
"2","ENSXMAG00000000089"
"3","ENSXMAG00000000123"
"4","ENSXMAG00000000151"
"5","ENSXMAG00000000173"
"6","ENSXMAG00000000199"
"7","ENSXMAG00000000210"
"8","ENSXMAG00000000290"
"9","ENSXMAG00000000400"
"10","ENSXMAG00000000424"
"11","ENSXMAG00000000444"
"12","ENSXMAG00000000461"
"13","ENSXMAG00000000479"
"14","ENSXMAG00000000484"
"15","ENSXMAG00000000501"
"16","ENSXMAG00000000520"
"17","ENSXMAG00000000574"
"18","ENSXMAG00000000582"
"19","ENSXMAG00000000590"
"20","ENSXMAG00000000595"
"21","ENSXMAG00000000643"
"22","ENSXMAG00000000673"
"23","ENSXMAG00000000684"
"24","ENSXMAG00000000728"
"25","ENSXMAG00000000754"
"26","ENSXMAG00000000772"
"27","ENSXMAG00000000775"
"28","ENSXMAG00000000812"
"29","ENSXMAG00000000820"
"30","ENSXMAG00000000822"
"31","ENSXMAG00000000823"
"32","ENSXMAG00000000864"
"33","ENSXMAG00000000909"
"34","ENSXMAG00000000915"
"35","ENSXMAG00000000928"
"36","ENSXMAG00000000990"
"37","ENSXMAG00000000993"
"38","ENSXMAG00000001027"
"39","ENSXMAG00000001048"
"40","ENSXMAG00000001091"
"41","ENSXMAG00000001162"
"42","ENSXMAG00000001168"
"43","ENSXMAG00000001207"
"44","ENSXMAG00000001224"
"45","ENSXMAG00000001242"
"46","ENSXMAG00000001301"
"47","ENSXMAG00000001358"
"48","ENSXMAG00000001397"
"49","ENSXMAG00000001406"
"50","ENSXMAG00000001409"
"51","ENSXMAG00000001498"
"52","ENSXMAG00000001524"
"53","ENSXMAG00000001582"
"54","ENSXMAG00000001611"
"55","ENSXMAG00000001615"
"56","ENSXMAG00000001624"
"57","ENSXMAG00000001659"
"58","ENSXMAG00000001686"
"59","ENSXMAG00000001710"
"60","ENSXMAG00000001728"
"61","ENSXMAG00000001731"
"62","ENSXMAG00000001836"
"63","ENSXMAG00000001943"
"64","ENSXMAG00000001952"
"65","ENSXMAG00000001971"
"66","ENSXMAG00000001990"
"67","ENSXMAG00000002023"
"68","ENSXMAG00000002030"
"69","ENSXMAG00000002059"
"70","ENSXMAG00000002145"
"71","ENSXMAG00000002160"
"72","ENSXMAG00000002217"
"73","ENSXMAG00000002244"
"74","ENSXMAG00000002275"
"75","ENSXMAG00000002289"
"76","ENSXMAG00000002309"
"77","ENSXMAG00000002319"
"78","ENSXMAG00000002415"
"79","ENSXMAG00000002432"
"80","ENSXMAG00000002441"
"81","ENSXMAG00000002529"
"82","ENSXMAG00000002607"
"83","ENSXMAG00000002682"
"84","ENSXMAG00000002730"
"85","ENSXMAG00000002732"
"86","ENSXMAG00000002797"
"87","ENSXMAG00000002848"
"88","ENSXMAG00000002934"
"89","ENSXMAG00000002971"
"90","ENSXMAG00000002985"
"91","ENSXMAG00000002990"
"92","ENSXMAG00000002996"
"93","ENSXMAG00000003001"
"94","ENSXMAG00000003015"
"95","ENSXMAG00000003021"
"96","ENSXMAG00000003057"
"97","ENSXMAG00000003097"
"98","ENSXMAG00000003112"
"99","ENSXMAG00000003135"
"100","ENSXMAG00000003139"
"101","ENSXMAG00000003165"
"102","ENSXMAG00000003177"
"103","ENSXMAG00000003312"
"104","ENSXMAG00000003335"
"105","ENSXMAG00000003341"
"106","ENSXMAG00000003390"
"107","ENSXMAG00000003406"
"108","ENSXMAG00000003431"
"109","ENSXMAG00000003555"
"110","ENSXMAG00000003560"
"111","ENSXMAG00000003572"
"112","ENSXMAG00000003593"
"113","ENSXMAG00000003654"
"114","ENSXMAG00000003699"
"115","ENSXMAG00000003711"
"116","ENSXMAG00000003762"
"117","ENSXMAG00000003765"
"118","ENSXMAG00000003813"
"119","ENSXMAG00000003835"
"120","ENSXMAG00000003848"
"121","ENSXMAG00000003854"
"122","ENSXMAG00000003880"
"123","ENSXMAG00000003904"
"124","ENSXMAG00000003950"
"125","ENSXMAG00000003959"
"126","ENSXMAG00000003991"
"127","ENSXMAG00000004075"
"128","ENSXMAG00000004092"
"129","ENSXMAG00000004098"
"130","ENSXMAG00000004150"
"131","ENSXMAG00000004151"
"132","ENSXMAG00000004165"
"133","ENSXMAG00000004195"
"134","ENSXMAG00000004236"
"135","ENSXMAG00000004243"
"136","ENSXMAG00000004334"
"137","ENSXMAG00000004431"
"138","ENSXMAG00000004449"
"139","ENSXMAG00000004496"
"140","ENSXMAG00000004504"
"141","ENSXMAG00000004506"
"142","ENSXMAG00000004523"
"143","ENSXMAG00000004538"
"144","ENSXMAG00000004550"
"145","ENSXMAG00000004552"
"146","ENSXMAG00000004557"
"147","ENSXMAG00000004631"
"148","ENSXMAG00000004640"
"149","ENSXMAG00000004654"
"150","ENSXMAG00000004769"
"151","ENSXMAG00000004813"
"152","ENSXMAG00000004831"
"153","ENSXMAG00000004887"
"154","ENSXMAG00000004902"
"155","ENSXMAG00000004906"
