GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0005861	0.0459063890235942	7.05082932049224	0.35265841223598	2	9	troponin complex	ENSXMAG00000013409,ENSXMAG00000018041	tnni2a.2,tnni1b
GO:0005886	0.0117395626504382	1.48627199896697	34.8348142753095	48	889	plasma membrane	ENSXMAG00000000479,ENSXMAG00000001091,ENSXMAG00000001952,ENSXMAG00000005012,ENSXMAG00000008816,ENSXMAG00000010036,ENSXMAG00000010421,ENSXMAG00000011085,ENSXMAG00000013150,ENSXMAG00000014367,ENSXMAG00000015183,ENSXMAG00000017193,ENSXMAG00000017480,ENSXMAG00000017634,ENSXMAG00000019248,ENSXMAG00000019342,ENSXMAG00000019504,ENSXMAG00000000990,ENSXMAG00000003135,ENSXMAG00000003572,ENSXMAG00000007837,ENSXMAG00000008529,ENSXMAG00000009921,ENSXMAG00000012082,ENSXMAG00000013261,ENSXMAG00000013273,ENSXMAG00000013969,ENSXMAG00000015467,ENSXMAG00000016402,ENSXMAG00000016637,ENSXMAG00000018416,ENSXMAG00000019228,ENSXMAG00000019510,ENSXMAG00000005116,ENSXMAG00000005831,ENSXMAG00000006478,ENSXMAG00000010347,ENSXMAG00000012311,ENSXMAG00000013064,ENSXMAG00000019223,ENSXMAG00000020238,ENSXMAG00000000151,ENSXMAG00000001524,ENSXMAG00000006575,ENSXMAG00000007359,ENSXMAG00000009474,ENSXMAG00000016113,ENSXMAG00000019934	itga11a,ltb4r,kcnq2a,ilk,GRIK4,chrnb3b,rab21,ATP1B2,cdh17,TGFBR2,kcnd1,TMEM266,slc7a2,kitb,mtnr1al,CELSR3,kcnd2,celsr2,tmem266,elapor2b,pcdh15b,gria4b,cdh4,kcnk9,scn1ba,trabd2b,CACNA1A,GABRG1,FGFR1,asah2,cdh15,HTR4,adrb2a,slc8a4a,NMUR1,mcoln1a,GABRG3,KCNQ2,cldn15la,epha4b,f2r,cavin4a,oxtra,GNG4,esyt3,tmem97,cldn5b,cldn33b
GO:0005887	0.0220351979507106	2.68449794480329	2.82126729788784	7	72	integral component of plasma membrane	ENSXMAG00000000479,ENSXMAG00000001952,ENSXMAG00000011085,ENSXMAG00000015183,ENSXMAG00000019504,ENSXMAG00000013261,ENSXMAG00000012311	itga11a,kcnq2a,ATP1B2,kcnd1,kcnd2,scn1ba,KCNQ2
GO:0008076	0.0253126458095136	3.96739622641509	1.13634377276038	4	29	voltage-gated potassium channel complex	ENSXMAG00000001952,ENSXMAG00000015183,ENSXMAG00000019504,ENSXMAG00000012311	kcnq2a,kcnd1,kcnd2,KCNQ2
GO:0016020	0.0117895570721304	1.33848434481829	137.340859431901	156	3505	membrane	ENSXMAG00000000479,ENSXMAG00000000754,ENSXMAG00000000823,ENSXMAG00000001091,ENSXMAG00000001224,ENSXMAG00000001498,ENSXMAG00000001611,ENSXMAG00000001943,ENSXMAG00000001952,ENSXMAG00000002145,ENSXMAG00000002244,ENSXMAG00000002682,ENSXMAG00000002730,ENSXMAG00000002996,ENSXMAG00000003762,ENSXMAG00000003959,ENSXMAG00000004195,ENSXMAG00000004769,ENSXMAG00000005012,ENSXMAG00000005349,ENSXMAG00000005902,ENSXMAG00000005954,ENSXMAG00000006134,ENSXMAG00000006324,ENSXMAG00000007624,ENSXMAG00000007819,ENSXMAG00000008107,ENSXMAG00000008729,ENSXMAG00000008816,ENSXMAG00000009093,ENSXMAG00000009448,ENSXMAG00000009628,ENSXMAG00000009801,ENSXMAG00000009950,ENSXMAG00000009958,ENSXMAG00000010036,ENSXMAG00000010421,ENSXMAG00000010431,ENSXMAG00000010719,ENSXMAG00000011085,ENSXMAG00000011139,ENSXMAG00000011342,ENSXMAG00000011355,ENSXMAG00000011393,ENSXMAG00000011549,ENSXMAG00000011616,ENSXMAG00000011980,ENSXMAG00000012300,ENSXMAG00000012666,ENSXMAG00000013150,ENSXMAG00000013372,ENSXMAG00000013872,ENSXMAG00000014367,ENSXMAG00000014605,ENSXMAG00000014729,ENSXMAG00000014776,ENSXMAG00000015183,ENSXMAG00000015757,ENSXMAG00000015930,ENSXMAG00000016058,ENSXMAG00000016274,ENSXMAG00000016617,ENSXMAG00000016677,ENSXMAG00000016931,ENSXMAG00000017193,ENSXMAG00000017480,ENSXMAG00000017634,ENSXMAG00000017835,ENSXMAG00000018060,ENSXMAG00000018127,ENSXMAG00000018745,ENSXMAG00000019248,ENSXMAG00000019342,ENSXMAG00000019349,ENSXMAG00000019504,ENSXMAG00000019568,ENSXMAG00000019960,ENSXMAG00000020056,ENSXMAG00000020295,ENSXMAG00000020358,ENSXMAG00000000990,ENSXMAG00000001242,ENSXMAG00000001301,ENSXMAG00000001624,ENSXMAG00000002971,ENSXMAG00000003135,ENSXMAG00000003572,ENSXMAG00000004334,ENSXMAG00000007163,ENSXMAG00000007265,ENSXMAG00000007837,ENSXMAG00000008529,ENSXMAG00000008900,ENSXMAG00000009083,ENSXMAG00000009921,ENSXMAG00000011163,ENSXMAG00000012082,ENSXMAG00000012353,ENSXMAG00000012748,ENSXMAG00000013261,ENSXMAG00000013273,ENSXMAG00000013969,ENSXMAG00000015102,ENSXMAG00000015467,ENSXMAG00000015929,ENSXMAG00000016077,ENSXMAG00000016402,ENSXMAG00000016637,ENSXMAG00000017003,ENSXMAG00000018416,ENSXMAG00000019228,ENSXMAG00000019510,ENSXMAG00000000123,ENSXMAG00000000915,ENSXMAG00000003015,ENSXMAG00000004504,ENSXMAG00000005116,ENSXMAG00000005831,ENSXMAG00000006478,ENSXMAG00000008439,ENSXMAG00000009943,ENSXMAG00000010334,ENSXMAG00000010347,ENSXMAG00000010764,ENSXMAG00000011243,ENSXMAG00000011480,ENSXMAG00000011546,ENSXMAG00000012128,ENSXMAG00000012311,ENSXMAG00000012387,ENSXMAG00000013064,ENSXMAG00000013482,ENSXMAG00000015566,ENSXMAG00000015851,ENSXMAG00000016106,ENSXMAG00000016769,ENSXMAG00000017397,ENSXMAG00000019223,ENSXMAG00000020238,ENSXMAG00000000151,ENSXMAG00000001524,ENSXMAG00000001731,ENSXMAG00000002275,ENSXMAG00000003021,ENSXMAG00000006575,ENSXMAG00000007359,ENSXMAG00000009474,ENSXMAG00000010782,ENSXMAG00000011925,ENSXMAG00000013162,ENSXMAG00000014205,ENSXMAG00000016113,ENSXMAG00000017478,ENSXMAG00000019934,ENSXMAG00000019935,ENSXMAG00000020330	itga11a,ano1a,accs,ltb4r,CERS3,mybpc1,nrxn3b,CHPF2,kcnq2a,MFSD3,hacd1,SUSD2,SLC5A3,ggt5a,atg4b,dcc,dll4,ADGRD2,ilk,dhrs7cb,ABCG4,slc29a2,ANO4,st3gal2,appl1,lpcat2,letm1,ano2b,GRIK4,slc25a38a,dlg2,agpat4,atg9a,doc2d,ogfr,chrnb3b,rab21,ap3m1,galnt6,ATP1B2,tmem120aa,cacna2d1a,SORCS2,plpp6,slc9a2,uxs1,zdhhc18b,zgc:158689,KCNJ2,cdh17,si:ch211-113g11.6,mogat2,TGFBR2,ANGEL1,gc2,zdhhc6,kcnd1,trpm2,tomm70a,gabarapl2,kncn,stam,emp3b,tmcc1b,TMEM266,slc7a2,kitb,PRSS12,TCTN2,abcg8,ARSB,mtnr1al,CELSR3,dalrd3,kcnd2,CTXN1,CHST2,slc10a3,mfsd6l,celsr2,CNGA4,npdc1a,fech,mlec,tmem266,elapor2b,GPR143,hmox2a,tmeff2a,pcdh15b,gria4b,sdha,tmem168a,cdh4,CACNA2D4,kcnk9,CILP2,slc2a1a,scn1ba,trabd2b,CACNA1A,NDST2,GABRG1,OPN4,abhd12,FGFR1,asah2,syt14b,cdh15,HTR4,adrb2a,LCT,LRP8,rgra,tmem30ab,slc8a4a,NMUR1,mcoln1a,PLXDC1,abcg2d,trpa1b,GABRG3,NETO1,cmss1,plp1b,LRRC4,tm6sf2b,KCNQ2,plekhb1,cldn15la,ppm1aa,CSMD3,ptgr2,tomm40l,thsd7aa,rab11fip4b,epha4b,f2r,cavin4a,oxtra,lim2.3,asb5a,lrit2,GNG4,esyt3,tmem97,EPHX4,TENM1,st6galnac5b,reep3b,cldn5b,SLC6A11,cldn33b,GPR45,HCAR1
GO:0030016	0.03156176198757	3.67239692522711	1.21471230881282	4	31	myofibril	ENSXMAG00000005012,ENSXMAG00000013409,ENSXMAG00000017574,ENSXMAG00000018041	ilk,tnni2a.2,parvb,tnni1b
GO:0030017	0.03156176198757	3.67239692522711	1.21471230881282	4	31	sarcomere	ENSXMAG00000005012,ENSXMAG00000013409,ENSXMAG00000017574,ENSXMAG00000018041	ilk,tnni2a.2,parvb,tnni1b
GO:0031226	0.0220351979507106	2.68449794480329	2.82126729788784	7	72	intrinsic component of plasma membrane	ENSXMAG00000000479,ENSXMAG00000001952,ENSXMAG00000011085,ENSXMAG00000015183,ENSXMAG00000019504,ENSXMAG00000013261,ENSXMAG00000012311	itga11a,kcnq2a,ATP1B2,kcnd1,kcnd2,scn1ba,KCNQ2
GO:0031414	0.0391842680262201	Inf	0.03918426802622	1	1	N-terminal protein acetyltransferase complex	ENSXMAG00000016788	naa35
GO:0031417	0.0391842680262201	Inf	0.03918426802622	1	1	NatC complex	ENSXMAG00000016788	naa35
