GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001607	0.0398421117552732	Inf	0.0398421117552732	1	1	neuromedin U receptor activity	ENSXMAG00000005831	NMUR1
GO:0001632	0.0398421117552732	Inf	0.0398421117552732	1	1	leukotriene B4 receptor activity	ENSXMAG00000001091	ltb4r
GO:0004123	0.0398421117552732	Inf	0.0398421117552732	1	1	cystathionine gamma-lyase activity	ENSXMAG00000005461	cthl
GO:0004325	0.0398421117552732	Inf	0.0398421117552732	1	1	ferrochelatase activity	ENSXMAG00000001624	fech
GO:0004555	0.0398421117552732	Inf	0.0398421117552732	1	1	alpha,alpha-trehalase activity	ENSXMAG00000007609	TREH
GO:0004567	0.0398421117552732	Inf	0.0398421117552732	1	1	beta-mannosidase activity	ENSXMAG00000014542	manba
GO:0004616	0.0398421117552732	Inf	0.0398421117552732	1	1	phosphogluconate dehydrogenase (decarboxylating) activity	ENSXMAG00000011356	pgd
GO:0004686	0.0398421117552732	Inf	0.0398421117552732	1	1	elongation factor-2 kinase activity	ENSXMAG00000015752	eef2k
GO:0005215	0.018773270719998	1.49087115284298	26.97310965832	38	677	transporter activity	ENSXMAG00000001952,ENSXMAG00000002145,ENSXMAG00000002730,ENSXMAG00000005902,ENSXMAG00000005954,ENSXMAG00000008107,ENSXMAG00000008816,ENSXMAG00000009093,ENSXMAG00000010036,ENSXMAG00000011342,ENSXMAG00000011549,ENSXMAG00000012666,ENSXMAG00000015183,ENSXMAG00000015428,ENSXMAG00000015757,ENSXMAG00000017193,ENSXMAG00000017480,ENSXMAG00000018127,ENSXMAG00000019504,ENSXMAG00000019568,ENSXMAG00000020295,ENSXMAG00000001242,ENSXMAG00000003135,ENSXMAG00000008529,ENSXMAG00000012082,ENSXMAG00000012748,ENSXMAG00000013261,ENSXMAG00000013969,ENSXMAG00000015467,ENSXMAG00000005116,ENSXMAG00000006478,ENSXMAG00000009943,ENSXMAG00000010334,ENSXMAG00000010347,ENSXMAG00000012311,ENSXMAG00000016106,ENSXMAG00000015730,ENSXMAG00000017478	kcnq2a,MFSD3,SLC5A3,ABCG4,slc29a2,letm1,GRIK4,slc25a38a,chrnb3b,cacna2d1a,slc9a2,KCNJ2,kcnd1,rbp4l,trpm2,TMEM266,slc7a2,abcg8,kcnd2,slc10a3,CNGA4,tmem266,gria4b,kcnk9,slc2a1a,scn1ba,CACNA1A,GABRG1,slc8a4a,mcoln1a,abcg2d,trpa1b,GABRG3,KCNQ2,tomm40l,cetp,SLC6A11
GO:0005216	0.00557040281985757	2.02548283261803	10.0402121623289	19	252	ion channel activity	ENSXMAG00000001952,ENSXMAG00000008816,ENSXMAG00000010036,ENSXMAG00000011342,ENSXMAG00000012666,ENSXMAG00000015183,ENSXMAG00000015757,ENSXMAG00000019504,ENSXMAG00000001242,ENSXMAG00000003135,ENSXMAG00000008529,ENSXMAG00000012082,ENSXMAG00000013261,ENSXMAG00000013969,ENSXMAG00000015467,ENSXMAG00000006478,ENSXMAG00000010334,ENSXMAG00000010347,ENSXMAG00000012311	kcnq2a,GRIK4,chrnb3b,cacna2d1a,KCNJ2,kcnd1,trpm2,kcnd2,CNGA4,tmem266,gria4b,kcnk9,scn1ba,CACNA1A,GABRG1,mcoln1a,trpa1b,GABRG3,KCNQ2
