"","x"
"1","ENSXMAG00000000088"
"2","ENSXMAG00000000282"
"3","ENSXMAG00000000286"
"4","ENSXMAG00000000321"
"5","ENSXMAG00000000398"
"6","ENSXMAG00000000471"
"7","ENSXMAG00000000500"
"8","ENSXMAG00000000507"
"9","ENSXMAG00000000528"
"10","ENSXMAG00000000589"
"11","ENSXMAG00000000688"
"12","ENSXMAG00000000835"
"13","ENSXMAG00000000867"
"14","ENSXMAG00000000886"
"15","ENSXMAG00000000916"
"16","ENSXMAG00000000935"
"17","ENSXMAG00000001086"
"18","ENSXMAG00000001089"
"19","ENSXMAG00000001096"
"20","ENSXMAG00000001106"
"21","ENSXMAG00000001131"
"22","ENSXMAG00000001167"
"23","ENSXMAG00000001276"
"24","ENSXMAG00000001286"
"25","ENSXMAG00000001316"
"26","ENSXMAG00000001348"
"27","ENSXMAG00000001450"
"28","ENSXMAG00000001466"
"29","ENSXMAG00000001532"
"30","ENSXMAG00000001534"
"31","ENSXMAG00000001608"
"32","ENSXMAG00000001653"
"33","ENSXMAG00000001658"
"34","ENSXMAG00000001673"
"35","ENSXMAG00000001715"
"36","ENSXMAG00000001808"
"37","ENSXMAG00000001854"
"38","ENSXMAG00000001866"
"39","ENSXMAG00000001867"
"40","ENSXMAG00000001873"
"41","ENSXMAG00000001887"
"42","ENSXMAG00000001914"
"43","ENSXMAG00000001924"
"44","ENSXMAG00000001928"
"45","ENSXMAG00000001938"
"46","ENSXMAG00000001982"
"47","ENSXMAG00000001988"
"48","ENSXMAG00000002060"
"49","ENSXMAG00000002096"
"50","ENSXMAG00000002100"
"51","ENSXMAG00000002123"
"52","ENSXMAG00000002234"
"53","ENSXMAG00000002266"
"54","ENSXMAG00000002301"
"55","ENSXMAG00000002333"
"56","ENSXMAG00000002387"
"57","ENSXMAG00000002470"
"58","ENSXMAG00000002548"
"59","ENSXMAG00000002646"
"60","ENSXMAG00000002677"
"61","ENSXMAG00000002692"
"62","ENSXMAG00000002738"
"63","ENSXMAG00000002754"
"64","ENSXMAG00000002823"
"65","ENSXMAG00000002892"
"66","ENSXMAG00000002958"
"67","ENSXMAG00000002961"
"68","ENSXMAG00000002997"
"69","ENSXMAG00000003044"
"70","ENSXMAG00000003113"
"71","ENSXMAG00000003122"
"72","ENSXMAG00000003161"
"73","ENSXMAG00000003195"
"74","ENSXMAG00000003197"
"75","ENSXMAG00000003230"
"76","ENSXMAG00000003252"
"77","ENSXMAG00000003379"
"78","ENSXMAG00000003452"
"79","ENSXMAG00000003561"
"80","ENSXMAG00000003595"
"81","ENSXMAG00000003648"
"82","ENSXMAG00000003649"
"83","ENSXMAG00000003675"
"84","ENSXMAG00000003703"
"85","ENSXMAG00000003745"
"86","ENSXMAG00000003812"
"87","ENSXMAG00000003901"
"88","ENSXMAG00000003978"
"89","ENSXMAG00000004045"
"90","ENSXMAG00000004067"
"91","ENSXMAG00000004073"
"92","ENSXMAG00000004139"
"93","ENSXMAG00000004154"
"94","ENSXMAG00000004218"
"95","ENSXMAG00000004246"
"96","ENSXMAG00000004270"
"97","ENSXMAG00000004301"
"98","ENSXMAG00000004343"
"99","ENSXMAG00000004542"
"100","ENSXMAG00000004543"
"101","ENSXMAG00000004611"
"102","ENSXMAG00000004663"
"103","ENSXMAG00000004666"
"104","ENSXMAG00000004687"
"105","ENSXMAG00000004699"
"106","ENSXMAG00000004736"
"107","ENSXMAG00000004767"
"108","ENSXMAG00000004777"
"109","ENSXMAG00000004870"
"110","ENSXMAG00000004903"
"111","ENSXMAG00000005034"
"112","ENSXMAG00000005063"
"113","ENSXMAG00000005072"
"114","ENSXMAG00000005191"
"115","ENSXMAG00000005193"
"116","ENSXMAG00000005227"
"117","ENSXMAG00000005378"
"118","ENSXMAG00000005396"
"119","ENSXMAG00000005522"
"120","ENSXMAG00000005591"
"121","ENSXMAG00000005617"
"122","ENSXMAG00000005667"
"123","ENSXMAG00000005726"
"124","ENSXMAG00000005754"
"125","ENSXMAG00000005756"
"126","ENSXMAG00000005782"
"127","ENSXMAG00000005806"
"128","ENSXMAG00000005829"
"129","ENSXMAG00000005834"
"130","ENSXMAG00000005856"
"131","ENSXMAG00000005869"
"132","ENSXMAG00000005887"
