GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001578	0.00888417626206136	19.5227272727273	0.151403459030337	2	6	microtubule bundle formation	ENSXMAG00000017901,ENSXMAG00000003703	ccdc40,spag1a
GO:0006083	0.0498345569458285	38.8418079096045	0.0504678196767791	1	2	acetate metabolic process	ENSXMAG00000009064	acss2
GO:0006171	0.0202857733726375	11.150974025974	0.227105188545506	2	9	cAMP biosynthetic process	ENSXMAG00000010656,ENSXMAG00000000886	ADCY6,ADCY2
GO:0006678	0.0498345569458285	38.8418079096045	0.0504678196767791	1	2	glucosylceramide metabolic process	ENSXMAG00000016183	GBA1
GO:0006937	0.0299849046104634	8.67045454545454	0.277573008222285	2	11	regulation of muscle contraction	ENSXMAG00000008583,ENSXMAG00000008943	tnnt1,tnnt2e
GO:0007019	0.025233909838389	Inf	0.0252339098383896	1	1	microtubule depolymerization	ENSXMAG00000005956	MAP1B
GO:0007154	0.0134717334827819	1.49376619621189	36.4125318967961	49	1443	cell communication	ENSXMAG00000001096,ENSXMAG00000012512,ENSXMAG00000012699,ENSXMAG00000000286,ENSXMAG00000000867,ENSXMAG00000001808,ENSXMAG00000003745,ENSXMAG00000003978,ENSXMAG00000007852,ENSXMAG00000008989,ENSXMAG00000010783,ENSXMAG00000010841,ENSXMAG00000014370,ENSXMAG00000014745,ENSXMAG00000016012,ENSXMAG00000018207,ENSXMAG00000000088,ENSXMAG00000002646,ENSXMAG00000004073,ENSXMAG00000004218,ENSXMAG00000005227,ENSXMAG00000005617,ENSXMAG00000006856,ENSXMAG00000007589,ENSXMAG00000009067,ENSXMAG00000010656,ENSXMAG00000011216,ENSXMAG00000011693,ENSXMAG00000013746,ENSXMAG00000014104,ENSXMAG00000015308,ENSXMAG00000015426,ENSXMAG00000016680,ENSXMAG00000016969,ENSXMAG00000017049,ENSXMAG00000017088,ENSXMAG00000000398,ENSXMAG00000000886,ENSXMAG00000000935,ENSXMAG00000002892,ENSXMAG00000004154,ENSXMAG00000007866,ENSXMAG00000008384,ENSXMAG00000008390,ENSXMAG00000012207,ENSXMAG00000015006,ENSXMAG00000015446,ENSXMAG00000016544,ENSXMAG00000018762	cdkn1a,socs3a,MAPK13,rspo4,NYAP2,pik3c3,il10,esrrb,ASB14,EPHB2,AVPR2,prl,SIPA1L1,trhrb,ERBB4,GNB4,WASL,mc2r,gja8a,grm3,notch1a,EFNA2,cxcr3.3,KNDC1,DEPDC1B,ADCY6,grm5b,DDR2,GPR135,spag9a,RELL1,rasgrf2b,CRHR1,ngfrb,opn4xb,CCK,ADCY2,GPR139,RASGRF1,NTSR1,erbb4a,CHRNA9,rbm14b,rbpja,gng2,DGKQ,GRM4,PDC
GO:0007165	0.00888412140120535	1.54253938832252	34.721859937624	48	1376	signal transduction	ENSXMAG00000001096,ENSXMAG00000012512,ENSXMAG00000012699,ENSXMAG00000000286,ENSXMAG00000000867,ENSXMAG00000001808,ENSXMAG00000003745,ENSXMAG00000003978,ENSXMAG00000007852,ENSXMAG00000008989,ENSXMAG00000010783,ENSXMAG00000010841,ENSXMAG00000014370,ENSXMAG00000014745,ENSXMAG00000016012,ENSXMAG00000018207,ENSXMAG00000000088,ENSXMAG00000002646,ENSXMAG00000004218,ENSXMAG00000005227,ENSXMAG00000005617,ENSXMAG00000006856,ENSXMAG00000007589,ENSXMAG00000009067,ENSXMAG00000010656,ENSXMAG00000011216,ENSXMAG00000011693,ENSXMAG00000013746,ENSXMAG00000014104,ENSXMAG00000015308,ENSXMAG00000015426,ENSXMAG00000016680,ENSXMAG00000016969,ENSXMAG00000017049,ENSXMAG00000017088,ENSXMAG00000000398,ENSXMAG00000000886,ENSXMAG00000000935,ENSXMAG00000002892,ENSXMAG00000004154,ENSXMAG00000007866,ENSXMAG00000008384,ENSXMAG00000008390,ENSXMAG00000012207,ENSXMAG00000015006,ENSXMAG00000015446,ENSXMAG00000016544,ENSXMAG00000018762	cdkn1a,socs3a,MAPK13,rspo4,NYAP2,pik3c3,il10,esrrb,ASB14,EPHB2,AVPR2,prl,SIPA1L1,trhrb,ERBB4,GNB4,WASL,mc2r,grm3,notch1a,EFNA2,cxcr3.3,KNDC1,DEPDC1B,ADCY6,grm5b,DDR2,GPR135,spag9a,RELL1,rasgrf2b,CRHR1,ngfrb,opn4xb,CCK,ADCY2,GPR139,RASGRF1,NTSR1,erbb4a,CHRNA9,rbm14b,rbpja,gng2,DGKQ,GRM4,PDC
GO:0007167	0.0304888688908108	2.47222222222222	3.00283527076836	7	119	enzyme linked receptor protein signaling pathway	ENSXMAG00000008989,ENSXMAG00000016012,ENSXMAG00000005617,ENSXMAG00000011693,ENSXMAG00000007866,ENSXMAG00000008390,ENSXMAG00000015006	EPHB2,ERBB4,EFNA2,DDR2,erbb4a,rbm14b,gng2
GO:0007169	0.00571352204944227	4.03054789121009	1.64020413949532	6	65	transmembrane receptor protein tyrosine kinase signaling pathway	ENSXMAG00000008989,ENSXMAG00000016012,ENSXMAG00000005617,ENSXMAG00000011693,ENSXMAG00000007866,ENSXMAG00000015006	EPHB2,ERBB4,EFNA2,DDR2,erbb4a,gng2
