GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001681	0.0249167386209449	Inf	0.0249167386209449	1	1	sialate O-acetylesterase activity	ENSXMAG00000001534	siae
GO:0003983	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	UTP:glucose-1-phosphate uridylyltransferase activity	ENSXMAG00000005887	ugp2a
GO:0003988	0.0249167386209449	Inf	0.0249167386209449	1	1	acetyl-CoA C-acyltransferase activity	ENSXMAG00000010540	scp2a
GO:0004016	0.0198181359660082	11.2828571428571	0.224250647588504	2	9	adenylate cyclase activity	ENSXMAG00000010656,ENSXMAG00000000886	ADCY6,ADCY2
GO:0004084	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	branched-chain-amino-acid transaminase activity	ENSXMAG00000014046	bcat2
GO:0004085	0.0249167386209449	Inf	0.0249167386209449	1	1	butyryl-CoA dehydrogenase activity	ENSXMAG00000013313	ivd
GO:0004304	0.0249167386209449	Inf	0.0249167386209449	1	1	estrone sulfotransferase activity	ENSXMAG00000018534	sult1st6
GO:0004336	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	galactosylceramidase activity	ENSXMAG00000016183	GBA1
GO:0004348	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	glucosylceramidase activity	ENSXMAG00000016183	GBA1
GO:0004713	0.0153358054636958	3.19591836734694	2.01825582829653	6	81	protein tyrosine kinase activity	ENSXMAG00000003197,ENSXMAG00000008989,ENSXMAG00000016012,ENSXMAG00000011693,ENSXMAG00000007866,ENSXMAG00000011065	abl2,EPHB2,ERBB4,DDR2,erbb4a,MERTK
GO:0004714	0.00716056231859853	4.53449469312413	1.2209201924263	5	49	transmembrane receptor protein tyrosine kinase activity	ENSXMAG00000008989,ENSXMAG00000016012,ENSXMAG00000011693,ENSXMAG00000007866,ENSXMAG00000011065	EPHB2,ERBB4,DDR2,erbb4a,MERTK
GO:0004757	0.0249167386209449	Inf	0.0249167386209449	1	1	sepiapterin reductase activity	ENSXMAG00000010724	spra
GO:0004860	0.0156687470532002	13.165	0.199333908967559	2	8	protein kinase inhibitor activity	ENSXMAG00000001096,ENSXMAG00000008423	cdkn1a,hexim1
GO:0004861	0.00182304765113479	79.04	0.0747502158628346	2	3	cyclin-dependent protein serine/threonine kinase inhibitor activity	ENSXMAG00000001096,ENSXMAG00000008423	cdkn1a,hexim1
GO:0004888	0.0264218096523011	1.73034227567068	10.9882817318367	18	441	transmembrane signaling receptor activity	ENSXMAG00000008989,ENSXMAG00000010783,ENSXMAG00000014745,ENSXMAG00000016012,ENSXMAG00000002646,ENSXMAG00000004218,ENSXMAG00000006856,ENSXMAG00000011216,ENSXMAG00000011693,ENSXMAG00000013746,ENSXMAG00000016969,ENSXMAG00000017088,ENSXMAG00000000935,ENSXMAG00000004154,ENSXMAG00000007866,ENSXMAG00000008384,ENSXMAG00000011065,ENSXMAG00000016544	EPHB2,AVPR2,trhrb,ERBB4,mc2r,grm3,cxcr3.3,grm5b,DDR2,GPR135,CRHR1,opn4xb,GPR139,NTSR1,erbb4a,CHRNA9,MERTK,GRM4
GO:0004930	0.0419258612180136	1.8351811086652	6.85210312075984	12	275	G protein-coupled receptor activity	ENSXMAG00000010783,ENSXMAG00000014745,ENSXMAG00000002646,ENSXMAG00000004218,ENSXMAG00000006856,ENSXMAG00000011216,ENSXMAG00000013746,ENSXMAG00000016969,ENSXMAG00000017088,ENSXMAG00000000935,ENSXMAG00000004154,ENSXMAG00000016544	AVPR2,trhrb,mc2r,grm3,cxcr3.3,grm5b,GPR135,CRHR1,opn4xb,GPR139,NTSR1,GRM4
GO:0005452	0.0345975823898413	7.895	0.299000863451338	2	12	inorganic anion exchanger activity	ENSXMAG00000007732,ENSXMAG00000018615	SLC4A2,SLC4A5
GO:0008126	0.0249167386209449	Inf	0.0249167386209449	1	1	acetylesterase activity	ENSXMAG00000001534	siae
GO:0008146	0.00966663209197309	5.3030303030303	0.847169113112125	4	34	sulfotransferase activity	ENSXMAG00000016817,ENSXMAG00000004903,ENSXMAG00000018534,ENSXMAG00000019609	hs3st1l2,sult6b1,sult1st6,chst6
GO:0008422	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	beta-glucosidase activity	ENSXMAG00000016183	GBA1
GO:0008470	0.0249167386209449	Inf	0.0249167386209449	1	1	isovaleryl-CoA dehydrogenase activity	ENSXMAG00000013313	ivd
GO:0016208	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	AMP binding	ENSXMAG00000009064	acss2
GO:0016300	0.0249167386209449	Inf	0.0249167386209449	1	1	tRNA (uracil) methyltransferase activity	ENSXMAG00000015817	trmt44
GO:0016303	0.0249167386209449	Inf	0.0249167386209449	1	1	1-phosphatidylinositol-3-kinase activity	ENSXMAG00000001808	pik3c3
GO:0016408	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	C-acyltransferase activity	ENSXMAG00000010540	scp2a
GO:0016492	0.0249167386209449	Inf	0.0249167386209449	1	1	G protein-coupled neurotensin receptor activity	ENSXMAG00000004154	NTSR1
GO:0016782	0.0200069990071776	4.18234981392876	1.04650302207968	4	42	transferase activity, transferring sulphur-containing groups	ENSXMAG00000016817,ENSXMAG00000004903,ENSXMAG00000018534,ENSXMAG00000019609	hs3st1l2,sult6b1,sult1st6,chst6
GO:0019199	0.018761763523803	3.49452310980497	1.54483779449858	5	62	transmembrane receptor protein kinase activity	ENSXMAG00000008989,ENSXMAG00000016012,ENSXMAG00000011693,ENSXMAG00000007866,ENSXMAG00000011065	EPHB2,ERBB4,DDR2,erbb4a,MERTK
GO:0019210	0.0156687470532002	13.165	0.199333908967559	2	8	kinase inhibitor activity	ENSXMAG00000001096,ENSXMAG00000008423	cdkn1a,hexim1
GO:0030291	0.00867448505396061	19.7525	0.149500431725669	2	6	protein serine/threonine kinase inhibitor activity	ENSXMAG00000001096,ENSXMAG00000008423	cdkn1a,hexim1
GO:0033735	0.0249167386209449	Inf	0.0249167386209449	1	1	aspartate dehydrogenase activity	ENSXMAG00000011818	aspdh
GO:0033814	0.0249167386209449	Inf	0.0249167386209449	1	1	propanoyl-CoA C-acyltransferase activity	ENSXMAG00000010540	scp2a
GO:0034338	0.0249167386209449	Inf	0.0249167386209449	1	1	short-chain carboxylesterase activity	ENSXMAG00000001534	siae
GO:0035368	0.0249167386209449	Inf	0.0249167386209449	1	1	selenocysteine insertion sequence binding	ENSXMAG00000002266	SECISBP2L
GO:0036435	0.0492156306513627	39.3233830845771	0.0498334772418897	1	2	K48-linked polyubiquitin modification-dependent protein binding	ENSXMAG00000017267	mindy1
