GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000781	0.0273521656514805	42.2037037037037	0.0276766205389658	1	10	chromosome, telomeric region	ENSXMAG00000005673	nsmce4a
GO:0000932	0.0219390803331954	54.2777777777778	0.0221412964311726	1	8	P-body	ENSXMAG00000011688	DIS3L2
GO:0005758	0.0380933061877478	29.2008547008547	0.0387472687545521	1	14	mitochondrial intermembrane space	ENSXMAG00000009733	prelid1a
GO:0005891	0.0460753125201903	23.7152777777778	0.0470502549162418	1	17	voltage-gated calcium channel complex	ENSXMAG00000004029	cacna1ba
GO:0030915	0.00552806625275726	380.277777777778	0.00553532410779315	1	2	Smc5-Smc6 complex	ENSXMAG00000005673	nsmce4a
GO:0031970	0.0380933061877478	29.2008547008547	0.0387472687545521	1	14	organelle envelope lumen	ENSXMAG00000009733	prelid1a
GO:0034704	0.0460753125201903	23.7152777777778	0.0470502549162418	1	17	calcium channel complex	ENSXMAG00000004029	cacna1ba
GO:0035770	0.0460753125201903	23.7152777777778	0.0470502549162418	1	17	ribonucleoprotein granule	ENSXMAG00000011688	DIS3L2
GO:0036064	0.0192218471889239	63.3333333333333	0.019373634377276	1	7	ciliary basal body	ENSXMAG00000016487	wtip
GO:0036464	0.0460753125201903	23.7152777777778	0.0470502549162418	1	17	cytoplasmic ribonucleoprotein granule	ENSXMAG00000011688	DIS3L2
GO:0043564	0.00552806625275726	380.277777777778	0.00553532410779315	1	2	Ku70:Ku80 complex	ENSXMAG00000009691	xrcc6
GO:0106068	0.00552806625275726	380.277777777778	0.00553532410779315	1	2	SUMO ligase complex	ENSXMAG00000005673	nsmce4a
