GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000175	0.0328277755524772	34.491452991453	0.033304551622055	1	10	3'-5'-exoribonuclease activity	ENSXMAG00000011688	DIS3L2
GO:0003678	0.0456661672306208	23.8668639053254	0.046626372270877	1	14	DNA helicase activity	ENSXMAG00000009691	xrcc6
GO:0003684	0.0424720413492802	25.8589743589744	0.0432959171086715	1	13	damaged DNA binding	ENSXMAG00000009691	xrcc6
GO:0003725	0.0230900048042283	51.7564102564103	0.0233131861354385	1	7	double-stranded RNA binding	ENSXMAG00000014606	yrdc
GO:0003950	0.0295922842800096	38.8076923076923	0.0299740964598495	1	9	NAD+ ADP-ribosyltransferase activity	ENSXMAG00000007391	PARP6
GO:0004532	0.0360528774494864	31.0384615384615	0.0366350067842605	1	11	exoribonuclease activity	ENSXMAG00000011688	DIS3L2
GO:0004707	0.0488500314941539	22.1593406593407	0.0499568274330825	1	15	MAP kinase activity	ENSXMAG00000010317	mapk14a
GO:0004713	0.0294483296681242	8.10227848101266	0.269766868138646	2	81	protein tyrosine kinase activity	ENSXMAG00000000547,ENSXMAG00000012521	insra,nrp2a
GO:0004714	0.0114083636343502	13.6731914893617	0.16319230294807	2	49	transmembrane receptor protein tyrosine kinase activity	ENSXMAG00000000547,ENSXMAG00000012521	insra,nrp2a
GO:0004721	0.00532975682632864	9.49404761904762	0.359689157518194	3	108	phosphoprotein phosphatase activity	ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000010345	PTPN3,PTPRD,PTPRZ1
GO:0004725	0.000425915399577531	23.922619047619	0.149870482299248	3	45	protein tyrosine phosphatase activity	ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000010345	PTPN3,PTPRD,PTPRZ1
GO:0005021	0.0198231519592583	62.1153846153846	0.019982730973233	1	6	vascular endothelial growth factor-activated receptor activity	ENSXMAG00000012521	nrp2a
GO:0005488	0.0126053410220127	4.59257065493315	19.7629209325274	25	5934	binding	ENSXMAG00000000547,ENSXMAG00000003130,ENSXMAG00000004752,ENSXMAG00000013103,ENSXMAG00000017908,ENSXMAG00000002642,ENSXMAG00000003096,ENSXMAG00000004920,ENSXMAG00000006881,ENSXMAG00000010345,ENSXMAG00000011011,ENSXMAG00000011363,ENSXMAG00000004029,ENSXMAG00000005302,ENSXMAG00000005908,ENSXMAG00000007571,ENSXMAG00000009691,ENSXMAG00000009745,ENSXMAG00000011688,ENSXMAG00000012521,ENSXMAG00000014606,ENSXMAG00000016487,ENSXMAG00000006013,ENSXMAG00000008995,ENSXMAG00000010317	insra,sar1ab,zc3h11a,PTPN3,ADGRL2,smarce1,prlrb,PTPRD,gtpbp10,PTPRZ1,PDE2A,PKP4,cacna1ba,AKAP10,NECAB3,ADAM15,xrcc6,CTNND1,DIS3L2,nrp2a,yrdc,wtip,ipo9,MAGI2,mapk14a
GO:0008408	0.0488500314941539	22.1593406593407	0.0499568274330825	1	15	3'-5' exonuclease activity	ENSXMAG00000011688	DIS3L2
GO:0008478	0.00333045516220598	Inf	0.0033304551622055	1	1	pyridoxal kinase activity	ENSXMAG00000003609	PDXK
GO:0016787	0.0164979214436547	2.7475884244373	4.17306031824349	9	1253	hydrolase activity	ENSXMAG00000003130,ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000006881,ENSXMAG00000010345,ENSXMAG00000011011,ENSXMAG00000007571,ENSXMAG00000009691,ENSXMAG00000011688	sar1ab,PTPN3,PTPRD,gtpbp10,PTPRZ1,PDE2A,ADAM15,xrcc6,DIS3L2
GO:0016788	0.00662589191275373	4.83158026546456	1.22560749969162	5	368	hydrolase activity, acting on ester bonds	ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000010345,ENSXMAG00000011011,ENSXMAG00000011688	PTPN3,PTPRD,PTPRZ1,PDE2A,DIS3L2
GO:0016791	0.0197720672180784	5.74709302325581	0.582829653385963	3	175	phosphatase activity	ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000010345	PTPN3,PTPRD,PTPRZ1
GO:0016796	0.0424720413492802	25.8589743589744	0.0432959171086715	1	13	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	ENSXMAG00000011688	DIS3L2
GO:0016896	0.0360528774494864	31.0384615384615	0.0366350067842605	1	11	exoribonuclease activity, producing 5'-phosphomonoesters	ENSXMAG00000011688	DIS3L2
GO:0017154	0.0392676220528539	28.2132867132867	0.039965461946466	1	12	semaphorin receptor activity	ENSXMAG00000012521	nrp2a
GO:0019199	0.0178645021951849	10.6933333333333	0.206488220056741	2	62	transmembrane receptor protein kinase activity	ENSXMAG00000000547,ENSXMAG00000012521	insra,nrp2a
GO:0042162	0.0165457804549738	77.6538461538462	0.0166522758110275	1	5	telomeric DNA binding	ENSXMAG00000009691	xrcc6
GO:0042578	0.00652931217096497	6.07149758454106	0.76267423214506	4	229	phosphoric ester hydrolase activity	ENSXMAG00000013103,ENSXMAG00000004920,ENSXMAG00000010345,ENSXMAG00000011011	PTPN3,PTPRD,PTPRZ1,PDE2A
GO:0043548	0.0132578577298977	103.551282051282	0.013321820648822	1	4	phosphatidylinositol 3-kinase binding	ENSXMAG00000000547	insra
GO:0043560	0.0132578577298977	103.551282051282	0.013321820648822	1	4	insulin receptor substrate binding	ENSXMAG00000000547	insra
GO:0051018	0.00333045516220598	Inf	0.0033304551622055	1	1	protein kinase A binding	ENSXMAG00000005302	AKAP10
