"","x"
"1","ENSXMAG00000000045"
"2","ENSXMAG00000000091"
"3","ENSXMAG00000000380"
"4","ENSXMAG00000000548"
"5","ENSXMAG00000000563"
"6","ENSXMAG00000000907"
"7","ENSXMAG00000001158"
"8","ENSXMAG00000001366"
"9","ENSXMAG00000001382"
"10","ENSXMAG00000001395"
"11","ENSXMAG00000001414"
"12","ENSXMAG00000001429"
"13","ENSXMAG00000001499"
"14","ENSXMAG00000001503"
"15","ENSXMAG00000001511"
"16","ENSXMAG00000001672"
"17","ENSXMAG00000001899"
"18","ENSXMAG00000001937"
"19","ENSXMAG00000001948"
"20","ENSXMAG00000001986"
"21","ENSXMAG00000002015"
"22","ENSXMAG00000002020"
"23","ENSXMAG00000002097"
"24","ENSXMAG00000002133"
"25","ENSXMAG00000002152"
"26","ENSXMAG00000002156"
"27","ENSXMAG00000002182"
"28","ENSXMAG00000002339"
"29","ENSXMAG00000002392"
"30","ENSXMAG00000002522"
"31","ENSXMAG00000002539"
"32","ENSXMAG00000002635"
"33","ENSXMAG00000002716"
"34","ENSXMAG00000003123"
"35","ENSXMAG00000003140"
"36","ENSXMAG00000003336"
"37","ENSXMAG00000003396"
"38","ENSXMAG00000003504"
"39","ENSXMAG00000003872"
"40","ENSXMAG00000003877"
"41","ENSXMAG00000003919"
"42","ENSXMAG00000003940"
"43","ENSXMAG00000004063"
"44","ENSXMAG00000004096"
"45","ENSXMAG00000004275"
"46","ENSXMAG00000004324"
"47","ENSXMAG00000004442"
"48","ENSXMAG00000004821"
"49","ENSXMAG00000004996"
"50","ENSXMAG00000004998"
"51","ENSXMAG00000005061"
"52","ENSXMAG00000005201"
"53","ENSXMAG00000005269"
"54","ENSXMAG00000005283"
"55","ENSXMAG00000005431"
"56","ENSXMAG00000005537"
"57","ENSXMAG00000005672"
"58","ENSXMAG00000005721"
"59","ENSXMAG00000005751"
"60","ENSXMAG00000005816"
"61","ENSXMAG00000005844"
"62","ENSXMAG00000005859"
"63","ENSXMAG00000005883"
"64","ENSXMAG00000005960"
"65","ENSXMAG00000006162"
"66","ENSXMAG00000006350"
"67","ENSXMAG00000006398"
"68","ENSXMAG00000006493"
"69","ENSXMAG00000006694"
"70","ENSXMAG00000006747"
"71","ENSXMAG00000006810"
"72","ENSXMAG00000006902"
"73","ENSXMAG00000006981"
"74","ENSXMAG00000006989"
"75","ENSXMAG00000007077"
"76","ENSXMAG00000007102"
"77","ENSXMAG00000007211"
"78","ENSXMAG00000007264"
"79","ENSXMAG00000007298"
"80","ENSXMAG00000007403"
"81","ENSXMAG00000007581"
"82","ENSXMAG00000007614"
"83","ENSXMAG00000007670"
"84","ENSXMAG00000007832"
"85","ENSXMAG00000007996"
"86","ENSXMAG00000008014"
"87","ENSXMAG00000008056"
"88","ENSXMAG00000008095"
"89","ENSXMAG00000008198"
"90","ENSXMAG00000008234"
"91","ENSXMAG00000008241"
"92","ENSXMAG00000008244"
"93","ENSXMAG00000008451"
"94","ENSXMAG00000008832"
"95","ENSXMAG00000009078"
"96","ENSXMAG00000009165"
"97","ENSXMAG00000009186"
"98","ENSXMAG00000009246"
"99","ENSXMAG00000009247"
"100","ENSXMAG00000009277"
"101","ENSXMAG00000009370"
"102","ENSXMAG00000009563"
"103","ENSXMAG00000009653"
"104","ENSXMAG00000009655"
"105","ENSXMAG00000009807"
"106","ENSXMAG00000010200"
"107","ENSXMAG00000010264"
"108","ENSXMAG00000010330"
"109","ENSXMAG00000010573"
"110","ENSXMAG00000010726"
"111","ENSXMAG00000011082"
"112","ENSXMAG00000011357"
"113","ENSXMAG00000011456"
"114","ENSXMAG00000011458"
"115","ENSXMAG00000011464"
"116","ENSXMAG00000011505"
"117","ENSXMAG00000011650"
"118","ENSXMAG00000011736"
"119","ENSXMAG00000011764"
"120","ENSXMAG00000011774"
"121","ENSXMAG00000012006"
"122","ENSXMAG00000012036"
"123","ENSXMAG00000012595"
"124","ENSXMAG00000012642"
"125","ENSXMAG00000012669"
"126","ENSXMAG00000012672"
"127","ENSXMAG00000012750"
"128","ENSXMAG00000012903"
"129","ENSXMAG00000013068"
"130","ENSXMAG00000013138"
"131","ENSXMAG00000013323"
"132","ENSXMAG00000013363"
"133","ENSXMAG00000013622"
"134","ENSXMAG00000013789"
"135","ENSXMAG00000014064"
"136","ENSXMAG00000014192"
"137","ENSXMAG00000014200"
"138","ENSXMAG00000014349"
"139","ENSXMAG00000014427"
"140","ENSXMAG00000014621"
"141","ENSXMAG00000014733"
"142","ENSXMAG00000014994"
"143","ENSXMAG00000015089"
"144","ENSXMAG00000015133"
"145","ENSXMAG00000015137"
"146","ENSXMAG00000015301"
"147","ENSXMAG00000015310"
"148","ENSXMAG00000015528"
"149","ENSXMAG00000015552"
"150","ENSXMAG00000015603"
"151","ENSXMAG00000015688"
"152","ENSXMAG00000015698"
"153","ENSXMAG00000015702"
"154","ENSXMAG00000016093"
"155","ENSXMAG00000016207"
"156","ENSXMAG00000016429"
"157","ENSXMAG00000016478"
"158","ENSXMAG00000016513"
"159","ENSXMAG00000016552"
"160","ENSXMAG00000016615"
"161","ENSXMAG00000016729"
"162","ENSXMAG00000016758"
"163","ENSXMAG00000016789"
"164","ENSXMAG00000016825"
"165","ENSXMAG00000016829"
"166","ENSXMAG00000016993"
"167","ENSXMAG00000017155"
"168","ENSXMAG00000017190"
"169","ENSXMAG00000017210"
"170","ENSXMAG00000017236"
"171","ENSXMAG00000017576"
"172","ENSXMAG00000017894"
"173","ENSXMAG00000017934"
"174","ENSXMAG00000018032"
"175","ENSXMAG00000018057"
"176","ENSXMAG00000018072"
"177","ENSXMAG00000018173"
"178","ENSXMAG00000018244"
"179","ENSXMAG00000018618"
"180","ENSXMAG00000018644"
"181","ENSXMAG00000018679"
"182","ENSXMAG00000019025"
"183","ENSXMAG00000019151"
"184","ENSXMAG00000019447"
"185","ENSXMAG00000019536"
"186","ENSXMAG00000019655"
"187","ENSXMAG00000019794"
"188","ENSXMAG00000019810"
"189","ENSXMAG00000019811"
"190","ENSXMAG00000019817"
"191","ENSXMAG00000019885"
"192","ENSXMAG00000020203"
"193","ENSXMAG00000020227"
"194","ENSXMAG00000020328"
"195","ENSXMAG00000020520"
"196","ENSXMAG00000020536"
