GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000731	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	DNA synthesis involved in DNA repair	ENSXMAG00000011456	rev1
GO:0006054	0.0120499007655231	Inf	0.0120499007655231	1	1	N-acetylneuraminate metabolic process	ENSXMAG00000004821	renbp
GO:0006195	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	purine nucleotide catabolic process	ENSXMAG00000015552	PDE4D
GO:0006198	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	cAMP catabolic process	ENSXMAG00000015552	PDE4D
GO:0006301	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	postreplication repair	ENSXMAG00000011456	rev1
GO:0006376	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	mRNA splice site selection	ENSXMAG00000018644	luc7l
GO:0006432	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	phenylalanyl-tRNA aminoacylation	ENSXMAG00000008832	farsa
GO:0009154	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	purine ribonucleotide catabolic process	ENSXMAG00000015552	PDE4D
GO:0009214	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	cyclic nucleotide catabolic process	ENSXMAG00000015552	PDE4D
GO:0009261	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	ribonucleotide catabolic process	ENSXMAG00000015552	PDE4D
GO:0018027	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	peptidyl-lysine dimethylation	ENSXMAG00000005537	prdm12b
GO:0019262	0.0120499007655231	Inf	0.0120499007655231	1	1	N-acetylneuraminate catabolic process	ENSXMAG00000004821	renbp
GO:0019985	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	translesion synthesis	ENSXMAG00000011456	rev1
GO:0021511	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	spinal cord patterning	ENSXMAG00000005537	prdm12b
GO:0021513	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	spinal cord dorsal/ventral patterning	ENSXMAG00000005537	prdm12b
GO:0021514	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	ventral spinal cord interneuron differentiation	ENSXMAG00000005537	prdm12b
GO:0021521	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	ventral spinal cord interneuron specification	ENSXMAG00000005537	prdm12b
GO:0031058	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	positive regulation of histone modification	ENSXMAG00000005537	prdm12b
GO:0031060	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	regulation of histone methylation	ENSXMAG00000005537	prdm12b
GO:0031062	0.0120499007655231	Inf	0.0120499007655231	1	1	positive regulation of histone methylation	ENSXMAG00000005537	prdm12b
GO:0031401	0.0136094961733268	12.8934198331789	0.180748511482847	2	15	positive regulation of protein modification process	ENSXMAG00000004063,ENSXMAG00000005537	CAMK1,prdm12b
GO:0032147	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	activation of protein kinase activity	ENSXMAG00000004063	CAMK1
GO:0032270	0.0443031556910618	6.43466172381835	0.337397221434647	2	28	positive regulation of cellular protein metabolic process	ENSXMAG00000004063,ENSXMAG00000005537	CAMK1,prdm12b
GO:0033333	0.0414565594989674	6.69301204819277	0.325347320669124	2	27	fin development	ENSXMAG00000005269,ENSXMAG00000019536	gja1b,rpz
GO:0033336	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	caudal fin development	ENSXMAG00000005269	gja1b
GO:0035141	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	medial fin morphogenesis	ENSXMAG00000005269	gja1b
GO:0035143	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	caudal fin morphogenesis	ENSXMAG00000005269	gja1b
GO:0036123	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	histone H3-K9 dimethylation	ENSXMAG00000005537	prdm12b
GO:0042276	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	error-prone translesion synthesis	ENSXMAG00000011456	rev1
GO:0046348	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	amino sugar catabolic process	ENSXMAG00000004821	renbp
GO:0046470	0.0473452665076108	27.6428571428571	0.0481996030620924	1	4	phosphatidylcholine metabolic process	ENSXMAG00000006810	PNPLA6
GO:0048736	0.0472203083100534	6.1954484605087	0.34944712220017	2	29	appendage development	ENSXMAG00000005269,ENSXMAG00000019536	gja1b,rpz
GO:0051247	0.0472203083100534	6.1954484605087	0.34944712220017	2	29	positive regulation of protein metabolic process	ENSXMAG00000004063,ENSXMAG00000005537	CAMK1,prdm12b
GO:0051567	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	histone H3-K9 methylation	ENSXMAG00000005537	prdm12b
GO:0051570	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	regulation of histone H3-K9 methylation	ENSXMAG00000005537	prdm12b
GO:0051574	0.0120499007655231	Inf	0.0120499007655231	1	1	positive regulation of histone H3-K9 methylation	ENSXMAG00000005537	prdm12b
GO:0060259	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	regulation of feeding behavior	ENSXMAG00000002133	gnrh2
GO:0060272	0.0120499007655231	Inf	0.0120499007655231	1	1	embryonic skeletal joint morphogenesis	ENSXMAG00000005269	gja1b
GO:0060573	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	cell fate specification involved in pattern specification	ENSXMAG00000005537	prdm12b
GO:0060579	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	ventral spinal cord interneuron fate commitment	ENSXMAG00000005537	prdm12b
GO:0060581	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	cell fate commitment involved in pattern specification	ENSXMAG00000005537	prdm12b
GO:0061647	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	histone H3-K9 modification	ENSXMAG00000005537	prdm12b
GO:0072498	0.0357208547437791	41.4702380952381	0.0361497022965693	1	3	embryonic skeletal joint development	ENSXMAG00000005269	gja1b
GO:0086001	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	cardiac muscle cell action potential	ENSXMAG00000011736	kcnq1.1
GO:0098868	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	bone growth	ENSXMAG00000005269	gja1b
GO:1900109	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	regulation of histone H3-K9 dimethylation	ENSXMAG00000005537	prdm12b
GO:1900111	0.0120499007655231	Inf	0.0120499007655231	1	1	positive regulation of histone H3-K9 dimethylation	ENSXMAG00000005537	prdm12b
GO:1901136	0.0359835103906786	7.27710843373494	0.301247519138078	2	25	carbohydrate derivative catabolic process	ENSXMAG00000004821,ENSXMAG00000015552	renbp,PDE4D
GO:1901490	0.0239562893143574	82.9523809523809	0.0240998015310462	1	2	regulation of lymphangiogenesis	ENSXMAG00000001499	PRKD1
