"","x"
"1","ENSXMAG00000000109"
"2","ENSXMAG00000000130"
"3","ENSXMAG00000000136"
"4","ENSXMAG00000000149"
"5","ENSXMAG00000000190"
"6","ENSXMAG00000000206"
"7","ENSXMAG00000000267"
"8","ENSXMAG00000000313"
"9","ENSXMAG00000000526"
"10","ENSXMAG00000000614"
"11","ENSXMAG00000000717"
"12","ENSXMAG00000000743"
"13","ENSXMAG00000000869"
"14","ENSXMAG00000000887"
"15","ENSXMAG00000000898"
"16","ENSXMAG00000000940"
"17","ENSXMAG00000000981"
"18","ENSXMAG00000000989"
"19","ENSXMAG00000000999"
"20","ENSXMAG00000001090"
"21","ENSXMAG00000001296"
"22","ENSXMAG00000001306"
"23","ENSXMAG00000001368"
"24","ENSXMAG00000001392"
"25","ENSXMAG00000001612"
"26","ENSXMAG00000001652"
"27","ENSXMAG00000001697"
"28","ENSXMAG00000001775"
"29","ENSXMAG00000001818"
"30","ENSXMAG00000001823"
"31","ENSXMAG00000001826"
"32","ENSXMAG00000001923"
"33","ENSXMAG00000001926"
"34","ENSXMAG00000001956"
"35","ENSXMAG00000001962"
"36","ENSXMAG00000002053"
"37","ENSXMAG00000002104"
"38","ENSXMAG00000002127"
"39","ENSXMAG00000002213"
"40","ENSXMAG00000002278"
"41","ENSXMAG00000002344"
"42","ENSXMAG00000002355"
"43","ENSXMAG00000002381"
"44","ENSXMAG00000002385"
"45","ENSXMAG00000002391"
"46","ENSXMAG00000002431"
"47","ENSXMAG00000002533"
"48","ENSXMAG00000002678"
"49","ENSXMAG00000002679"
"50","ENSXMAG00000002728"
"51","ENSXMAG00000002741"
"52","ENSXMAG00000002774"
"53","ENSXMAG00000002897"
"54","ENSXMAG00000002899"
"55","ENSXMAG00000002915"
"56","ENSXMAG00000002948"
"57","ENSXMAG00000002973"
"58","ENSXMAG00000003007"
"59","ENSXMAG00000003080"
"60","ENSXMAG00000003148"
"61","ENSXMAG00000003151"
"62","ENSXMAG00000003297"
"63","ENSXMAG00000003348"
"64","ENSXMAG00000003513"
"65","ENSXMAG00000003537"
"66","ENSXMAG00000003590"
"67","ENSXMAG00000003632"
"68","ENSXMAG00000003734"
"69","ENSXMAG00000003739"
"70","ENSXMAG00000003807"
"71","ENSXMAG00000003845"
"72","ENSXMAG00000003868"
"73","ENSXMAG00000003924"
"74","ENSXMAG00000003939"
"75","ENSXMAG00000003954"
"76","ENSXMAG00000003987"
"77","ENSXMAG00000004006"
"78","ENSXMAG00000004039"
"79","ENSXMAG00000004049"
"80","ENSXMAG00000004060"
"81","ENSXMAG00000004120"
"82","ENSXMAG00000004156"
"83","ENSXMAG00000004166"
"84","ENSXMAG00000004228"
"85","ENSXMAG00000004263"
"86","ENSXMAG00000004348"
"87","ENSXMAG00000004350"
"88","ENSXMAG00000004357"
"89","ENSXMAG00000004359"
"90","ENSXMAG00000004423"
"91","ENSXMAG00000004469"
"92","ENSXMAG00000004535"
"93","ENSXMAG00000004536"
"94","ENSXMAG00000004566"
"95","ENSXMAG00000004646"
"96","ENSXMAG00000004837"
"97","ENSXMAG00000004965"
"98","ENSXMAG00000005021"
"99","ENSXMAG00000005153"
"100","ENSXMAG00000005241"
"101","ENSXMAG00000005312"
"102","ENSXMAG00000005316"
"103","ENSXMAG00000005447"
"104","ENSXMAG00000005470"
"105","ENSXMAG00000005518"
"106","ENSXMAG00000005588"
"107","ENSXMAG00000005590"
"108","ENSXMAG00000005621"
"109","ENSXMAG00000005642"
"110","ENSXMAG00000005674"
"111","ENSXMAG00000005739"
"112","ENSXMAG00000005742"
"113","ENSXMAG00000005798"
"114","ENSXMAG00000005824"
"115","ENSXMAG00000005832"
"116","ENSXMAG00000005850"
"117","ENSXMAG00000005937"
"118","ENSXMAG00000005966"
"119","ENSXMAG00000006018"
"120","ENSXMAG00000006073"
"121","ENSXMAG00000006196"
"122","ENSXMAG00000006367"
"123","ENSXMAG00000006403"
"124","ENSXMAG00000006428"
"125","ENSXMAG00000006455"
"126","ENSXMAG00000006457"
"127","ENSXMAG00000006532"
"128","ENSXMAG00000006572"
"129","ENSXMAG00000006594"
"130","ENSXMAG00000006599"
"131","ENSXMAG00000006635"
"132","ENSXMAG00000006697"
"133","ENSXMAG00000006723"
"134","ENSXMAG00000006729"
"135","ENSXMAG00000006833"
"136","ENSXMAG00000006944"
"137","ENSXMAG00000007025"
"138","ENSXMAG00000007044"
"139","ENSXMAG00000007083"
"140","ENSXMAG00000007176"
"141","ENSXMAG00000007296"
"142","ENSXMAG00000007335"
"143","ENSXMAG00000007427"
"144","ENSXMAG00000007454"
"145","ENSXMAG00000007486"
"146","ENSXMAG00000007585"
"147","ENSXMAG00000007608"
"148","ENSXMAG00000007660"
"149","ENSXMAG00000007707"
"150","ENSXMAG00000007742"
"151","ENSXMAG00000007751"
"152","ENSXMAG00000007793"
"153","ENSXMAG00000007796"
"154","ENSXMAG00000007811"
"155","ENSXMAG00000007847"
"156","ENSXMAG00000007911"
"157","ENSXMAG00000007913"
"158","ENSXMAG00000007954"
"159","ENSXMAG00000008015"
"160","ENSXMAG00000008023"
"161","ENSXMAG00000008131"
"162","ENSXMAG00000008187"
"163","ENSXMAG00000008207"
"164","ENSXMAG00000008237"
"165","ENSXMAG00000008292"
"166","ENSXMAG00000008349"
"167","ENSXMAG00000008356"
"168","ENSXMAG00000008395"
"169","ENSXMAG00000008434"
"170","ENSXMAG00000008545"
"171","ENSXMAG00000008716"
"172","ENSXMAG00000008730"
"173","ENSXMAG00000008734"
"174","ENSXMAG00000008751"
"175","ENSXMAG00000008761"
"176","ENSXMAG00000008854"
"177","ENSXMAG00000008938"
"178","ENSXMAG00000008965"
"179","ENSXMAG00000009072"
"180","ENSXMAG00000009089"
