GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000175	0.0225929833148402	10.29296875	0.239299370914025	2	10	3'-5'-exoribonuclease activity	ENSXMAG00000014783,ENSXMAG00000008730	parn,cnot6b
GO:0003676	0.0157620014138591	1.51094990568935	29.5056124336993	41	1233	nucleic acid binding	ENSXMAG00000014783,ENSXMAG00000015174,ENSXMAG00000015457,ENSXMAG00000016336,ENSXMAG00000002213,ENSXMAG00000005742,ENSXMAG00000009657,ENSXMAG00000010986,ENSXMAG00000012229,ENSXMAG00000013056,ENSXMAG00000015994,ENSXMAG00000016720,ENSXMAG00000000206,ENSXMAG00000001697,ENSXMAG00000002053,ENSXMAG00000003632,ENSXMAG00000004357,ENSXMAG00000005312,ENSXMAG00000005798,ENSXMAG00000009399,ENSXMAG00000009614,ENSXMAG00000011698,ENSXMAG00000015652,ENSXMAG00000016859,ENSXMAG00000017366,ENSXMAG00000017715,ENSXMAG00000017940,ENSXMAG00000019433,ENSXMAG00000003513,ENSXMAG00000006196,ENSXMAG00000006697,ENSXMAG00000007486,ENSXMAG00000008237,ENSXMAG00000008854,ENSXMAG00000014623,ENSXMAG00000015523,ENSXMAG00000015811,ENSXMAG00000016600,ENSXMAG00000016785,ENSXMAG00000018689,ENSXMAG00000020252	parn,kdm2ba,zhx3b,DHX30,METTL4,brip1,pparab,msh6,cuedc1b,irf5,mta3,msh3,lmx1bb,TNRC6A,ADARB1,parp1,TOP3B,ddx54,cpsf1,zc3h7a,UBE2K,rbm4.3,zgc:77151,CELF2,esrp2,hp1bp3,ilrun,PURA,igf2bp1,pabpn1,trmu,cmtr1,rbm46,ilf3b,dhx37,KAT6B,MTA1,setdb1b,sim1a,tia1,rag2
GO:0003950	0.0183604194338112	11.764880952381	0.215369433822622	2	9	NAD+ ADP-ribosyltransferase activity	ENSXMAG00000003632,ENSXMAG00000007454	parp1,parp16
GO:0004047	0.0239299370914025	Inf	0.0239299370914025	1	1	aminomethyltransferase activity	ENSXMAG00000019322	amt
GO:0004066	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	asparagine synthase (glutamine-hydrolyzing) activity	ENSXMAG00000016868	asns
GO:0004379	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	glycylpeptide N-tetradecanoyltransferase activity	ENSXMAG00000007811	nmt1b
GO:0004483	0.0239299370914025	Inf	0.0239299370914025	1	1	mRNA (nucleoside-2'-O-)-methyltransferase activity	ENSXMAG00000007486	cmtr1
GO:0004532	0.0271843158357373	9.14814814814815	0.263229308005427	2	11	exoribonuclease activity	ENSXMAG00000014783,ENSXMAG00000008730	parn,cnot6b
GO:0004535	0.011052952356653	16.475	0.167509559639817	2	7	poly(A)-specific ribonuclease activity	ENSXMAG00000014783,ENSXMAG00000008730	parn,cnot6b
GO:0004615	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	phosphomannomutase activity	ENSXMAG00000006944	PMM1
GO:0004774	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	succinate-CoA ligase activity	ENSXMAG00000005966	suclg1
GO:0004775	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	succinate-CoA ligase (ADP-forming) activity	ENSXMAG00000005966	suclg1
GO:0004776	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	succinate-CoA ligase (GDP-forming) activity	ENSXMAG00000005966	suclg1
GO:0004825	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	methionine-tRNA ligase activity	ENSXMAG00000017920	mars1
GO:0004843	0.000216698508483767	6.54497920380273	1.24435672875293	7	52	thiol-dependent deubiquitinase	ENSXMAG00000016414,ENSXMAG00000003148,ENSXMAG00000016279,ENSXMAG00000004156,ENSXMAG00000006635,ENSXMAG00000001612,ENSXMAG00000017793	USP19,usp47,CYLD,usp45,usp43a,USP7,usp39
GO:0004857	0.00543240384479845	27.4652777777778	0.119649685457012	2	5	enzyme inhibitor activity	ENSXMAG00000012841,ENSXMAG00000002973	oaz1a,anxa3a
GO:0004859	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	phospholipase inhibitor activity	ENSXMAG00000002973	anxa3a
GO:0005096	0.00742751442395067	2.39508604602944	5.36030590847416	12	224	GTPase activator activity	ENSXMAG00000019065,ENSXMAG00000003297,ENSXMAG00000004350,ENSXMAG00000003807,ENSXMAG00000004469,ENSXMAG00000011449,ENSXMAG00000012874,ENSXMAG00000016249,ENSXMAG00000000940,ENSXMAG00000015472,ENSXMAG00000018889,ENSXMAG00000019145	RALGAPA2,RASAL2,si:dkey-91m11.5,SYNGAP1,ARHGAP24,arhgef7a,TBCD,DEPDC5,kalrnb,DENND3,PSD2,rapgef4b
GO:0005158	0.0472901137758667	40.9948186528497	0.047859874182805	1	2	insulin receptor binding	ENSXMAG00000015145	irs2a
