born_on_date,born_month,born_year,collection,species_site,species,site,parents,tank_id,brood_no,brood_ID,individual,sl_mm,hw_mm,hw/sl,notes,gen
9-IIX-19,IIX,19,IIX-19,hybC1a,hyb,C1a,,,1,hybC1a_IIX-19_1,1,9.333,2.16,0.231436837,,UNK
9-IIX-19,IIX,19,IIX-19,hybC1a,hyb,C1a,,,1,hybC1a_IIX-19_1,2,9.091,2.095,0.230447696,,UNK
9-IIX-19,IIX,19,IIX-19,hybC1a,hyb,C1a,,,1,hybC1a_IIX-19_1,3,9.339,2.33,0.24949138,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,1,9.103,2.219,0.243765791,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,2,9.363,2.207,0.235715049,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,3,9.582,2.14,0.223335421,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,4,9.545,2.262,0.236982713,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,5,9.568,2.345,0.245087793,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,6,9.8,2.268,0.231428571,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,7,9.675,2.173,0.224599483,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,8,9.654,2.167,0.224466542,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,9,9.53,2.24,0.235047219,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,10,9.719,2.247,0.231196625,,UNK
13-IIX-19,IIX,19,IIX-19,hybDISP,hyb,DISP,,,1,hybDISP_IIX-19_1,11,9.227,2.159,0.233987211,,UNK
1-III-22,III,22,III-22,XbirCOAC,Xbir,COAC,,,1,XbirCOAC_III-22_1,1,11.346,2.506,0.220870791,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,1,9.241,1.862,0.201493345,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,2,8.787,1.824,0.207579379,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,3,9.285,1.727,0.185998923,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,4,9.576,2.142,0.223684211,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,5,10.221,1.88,0.183935036,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,6,10.15,1.838,0.181083744,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,7,9.393,1.86,0.198019802,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,8,10.384,1.598,0.153890601,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,9,10.445,1.796,0.171948301,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,10,9.312,2.102,0.225730241,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,11,9.208,1.832,0.198957428,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,12,9.362,2.177,0.232535783,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,13,10.379,1.897,0.182772907,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,14,10.479,2.176,0.207653402,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,15,9.319,1.544,0.165683013,,
3-XII-21,XII,21,XII-21,XbirCOAC,Xbir,COAC,,,2,XbirCOAC_XII-21_2,16,8.892,1.847,0.2077148,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,1,10.57,2.096,0.198297067,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,2,10.481,1.988,0.189676558,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,3,10.516,2.071,0.196937999,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,4,10.759,1.834,0.170461939,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,5,10.459,2.331,0.222870255,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,6,10.174,2.06,0.202476902,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,7,10.571,2.187,0.206886766,,
17-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,"S00138, Rotenone Trials",,3,XbirCOAC_II-22_3,8,11.334,2.231,0.196841362,,
14-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,S00138,TB1-1; TB3-3,4,XbirCOAC_II-22_4,1,8.95,2.115,0.236312849,,
14-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,S00138,TB1-1; TB3-3,4,XbirCOAC_II-22_4,2,10.117,2.093,0.20687951,,
14-II-22,II,22,II-22,XbirCOAC,Xbir,COAC,S00138,TB1-1; TB3-3,4,XbirCOAC_II-22_4,3,10.428,2.276,0.218258535,,
