"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"48680","GO:0008138","DUSP3",8860,"ENSXMAG00000017895","ISA"
"48681","GO:0016791","DUSP3",8860,"ENSXMAG00000017895","ISA"
"48682","GO:0016311","DUSP3",8860,"ENSXMAG00000017895","ISA"
"48683","GO:0006470","DUSP3",8860,"ENSXMAG00000017895","ISA"
"50914","GO:0003677","hoxd11a",196,"ENSXMAG00000000427","ISA"
"50915","GO:0006355","hoxd11a",196,"ENSXMAG00000000427","ISA"
"50916","GO:0005634","hoxd11a",196,"ENSXMAG00000000427","ISA"
"50917","GO:0000981","hoxd11a",196,"ENSXMAG00000000427","ISA"
"50918","GO:0006357","hoxd11a",196,"ENSXMAG00000000427","ISA"
"51163","GO:0016020","cacng7a",409,"ENSXMAG00000000890","ISA"
"51164","GO:0006811","cacng7a",409,"ENSXMAG00000000890","ISA"
"51165","GO:0005244","cacng7a",409,"ENSXMAG00000000890","ISA"
"51166","GO:0005262","cacng7a",409,"ENSXMAG00000000890","ISA"
"51167","GO:0006816","cacng7a",409,"ENSXMAG00000000890","ISA"
"51168","GO:0034765","cacng7a",409,"ENSXMAG00000000890","ISA"
"51169","GO:0070588","cacng7a",409,"ENSXMAG00000000890","ISA"
"52862","GO:0016020","CA12",1698,"ENSXMAG00000003380","ISA"
"52863","GO:0046872","CA12",1698,"ENSXMAG00000003380","ISA"
"52864","GO:0008270","CA12",1698,"ENSXMAG00000003380","ISA"
"52865","GO:0016829","CA12",1698,"ENSXMAG00000003380","ISA"
"52866","GO:0004089","CA12",1698,"ENSXMAG00000003380","ISA"
"54405","GO:0016887","OLA1",2688,"ENSXMAG00000005330","ISA"
"54406","GO:0005525","OLA1",2688,"ENSXMAG00000005330","ISA"
"54407","GO:0005524","OLA1",2688,"ENSXMAG00000005330","ISA"
"54426","GO:0003677","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54427","GO:0006355","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54428","GO:0005634","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54429","GO:0046872","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54430","GO:0000981","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54431","GO:0006357","lhx1a",2691,"ENSXMAG00000005342","ISA"
"54432","GO:0048513","lhx1a",2691,"ENSXMAG00000005342","ISA"
"58039","GO:0016020","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58040","GO:0055085","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58041","GO:0005216","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58042","GO:0006811","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58043","GO:0070588","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58044","GO:0005262","trpc2b",5163,"ENSXMAG00000010372","ISA"
"58566","GO:0016020","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58567","GO:0016740","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58568","GO:0006629","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58569","GO:0009922","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58570","GO:0102756","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58571","GO:0006631","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58572","GO:0006633","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58573","GO:0008610","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58574","GO:0044249","elovl8a",5519,"ENSXMAG00000011120","ISA"
"58575","GO:0044255","elovl8a",5519,"ENSXMAG00000011120","ISA"
"59588","GO:0007015","fscn2a",6200,"ENSXMAG00000012516","ISA"
"59589","GO:0005737","fscn2a",6200,"ENSXMAG00000012516","ISA"
"59590","GO:0005856","fscn2a",6200,"ENSXMAG00000012516","ISA"
"59591","GO:0003779","fscn2a",6200,"ENSXMAG00000012516","ISA"
"59592","GO:0051015","fscn2a",6200,"ENSXMAG00000012516","ISA"
"59593","GO:0030674","fscn2a",6200,"ENSXMAG00000012516","ISA"
"64527","GO:0003677","etv1",9384,"ENSXMAG00000018944","ISA"
"64528","GO:0003700","etv1",9384,"ENSXMAG00000018944","ISA"
"64529","GO:0006355","etv1",9384,"ENSXMAG00000018944","ISA"
"64530","GO:0005634","etv1",9384,"ENSXMAG00000018944","ISA"
"64531","GO:0006357","etv1",9384,"ENSXMAG00000018944","ISA"
"64532","GO:0043565","etv1",9384,"ENSXMAG00000018944","ISA"
