"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"3894","GO:0003677","hmgxb4a",2274,"ENSXMAG00000004489","ISA"
"3895","GO:0005634","hmgxb4a",2274,"ENSXMAG00000004489","ISA"
"4640","GO:0008277","pdcl",2607,"ENSXMAG00000005181","ISA"
"4641","GO:0007601","pdcl",2607,"ENSXMAG00000005181","ISA"
"15655","GO:0005682","cd2bp2",8979,"ENSXMAG00000018137","ISA"
"15656","GO:0005515","cd2bp2",8979,"ENSXMAG00000018137","ISA"
"17158","GO:0000166","pkma",19,"ENSXMAG00000000039","ISA"
"17159","GO:0046872","pkma",19,"ENSXMAG00000000039","ISA"
"17160","GO:0003824","pkma",19,"ENSXMAG00000000039","ISA"
"17161","GO:0005524","pkma",19,"ENSXMAG00000000039","ISA"
"17162","GO:0016301","pkma",19,"ENSXMAG00000000039","ISA"
"17163","GO:0016740","pkma",19,"ENSXMAG00000000039","ISA"
"17164","GO:0016310","pkma",19,"ENSXMAG00000000039","ISA"
"17165","GO:0000287","pkma",19,"ENSXMAG00000000039","ISA"
"17166","GO:0006096","pkma",19,"ENSXMAG00000000039","ISA"
"17167","GO:0004743","pkma",19,"ENSXMAG00000000039","ISA"
"17168","GO:0030955","pkma",19,"ENSXMAG00000000039","ISA"
"17169","GO:0002040","pkma",19,"ENSXMAG00000000039","ISA"
"19856","GO:0005576","dkk3a",1576,"ENSXMAG00000003146","ISA"
"19857","GO:0030178","dkk3a",1576,"ENSXMAG00000003146","ISA"
"19858","GO:0007275","dkk3a",1576,"ENSXMAG00000003146","ISA"
"22512","GO:0005634","nol12",3073,"ENSXMAG00000006120","ISA"
"22513","GO:0005730","nol12",3073,"ENSXMAG00000006120","ISA"
"26407","GO:0005634","baz1b",5418,"ENSXMAG00000010907","ISA"
"26408","GO:0046872","baz1b",5418,"ENSXMAG00000010907","ISA"
"26409","GO:0006338","baz1b",5418,"ENSXMAG00000010907","ISA"
"26410","GO:0043231","baz1b",5418,"ENSXMAG00000010907","ISA"
"26411","GO:0005515","baz1b",5418,"ENSXMAG00000010907","ISA"
"26412","GO:0000785","baz1b",5418,"ENSXMAG00000010907","ISA"
"26413","GO:0090535","baz1b",5418,"ENSXMAG00000010907","ISA"
"26414","GO:0140801","baz1b",5418,"ENSXMAG00000010907","ISA"
"27030","GO:0005634","hirip3",5773,"ENSXMAG00000011617","ISA"
"29043","GO:0003677","gtf2f1",6925,"ENSXMAG00000014047","ISA"
"29044","GO:0005634","gtf2f1",6925,"ENSXMAG00000014047","ISA"
"29045","GO:0006367","gtf2f1",6925,"ENSXMAG00000014047","ISA"
"29046","GO:0032968","gtf2f1",6925,"ENSXMAG00000014047","ISA"
"31977","GO:0003724","ddx23",8620,"ENSXMAG00000017387","ISA"
"31978","GO:0000166","ddx23",8620,"ENSXMAG00000017387","ISA"
"31979","GO:0003676","ddx23",8620,"ENSXMAG00000017387","ISA"
"31980","GO:0005524","ddx23",8620,"ENSXMAG00000017387","ISA"
"31981","GO:0016787","ddx23",8620,"ENSXMAG00000017387","ISA"
"31982","GO:0004386","ddx23",8620,"ENSXMAG00000017387","ISA"
"34762","GO:0005515","pak1ip1",448,"ENSXMAG00000001001","ISA"
"39271","GO:0046872","csrp2",3134,"ENSXMAG00000006257","ISA"
"39272","GO:0048513","csrp2",3134,"ENSXMAG00000006257","ISA"
"40227","GO:0000062","acbd3",3715,"ENSXMAG00000007475","ISA"
"45255","GO:0005634","nop58",6738,"ENSXMAG00000013666","ISA"
"45256","GO:0042254","nop58",6738,"ENSXMAG00000013666","ISA"
"45257","GO:0005730","nop58",6738,"ENSXMAG00000013666","ISA"
