"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"29","GO:0016020","cd151l",8,"ENSXMAG00000000019","ISA"
"114","GO:0006955","il12a",69,"ENSXMAG00000000152","ISA"
"115","GO:0005615","il12a",69,"ENSXMAG00000000152","ISA"
"116","GO:0008083","il12a",69,"ENSXMAG00000000152","ISA"
"117","GO:0007165","il12a",69,"ENSXMAG00000000152","ISA"
"118","GO:0005576","il12a",69,"ENSXMAG00000000152","ISA"
"119","GO:0005125","il12a",69,"ENSXMAG00000000152","ISA"
"120","GO:0005143","il12a",69,"ENSXMAG00000000152","ISA"
"281","GO:0016020","slc7a3a",152,"ENSXMAG00000000319","ISA"
"282","GO:0005886","slc7a3a",152,"ENSXMAG00000000319","ISA"
"283","GO:0055085","slc7a3a",152,"ENSXMAG00000000319","ISA"
"284","GO:0022857","slc7a3a",152,"ENSXMAG00000000319","ISA"
"285","GO:0006865","slc7a3a",152,"ENSXMAG00000000319","ISA"
"286","GO:0006631","slc7a3a",152,"ENSXMAG00000000319","ISA"
"287","GO:0006641","slc7a3a",152,"ENSXMAG00000000319","ISA"
"288","GO:1903826","slc7a3a",152,"ENSXMAG00000000319","ISA"
"289","GO:0061459","slc7a3a",152,"ENSXMAG00000000319","ISA"
"341","GO:0016020","nlgn2b",168,"ENSXMAG00000000369","ISA"
"342","GO:0005886","nlgn2b",168,"ENSXMAG00000000369","ISA"
"343","GO:0045202","nlgn2b",168,"ENSXMAG00000000369","ISA"
"344","GO:0007155","nlgn2b",168,"ENSXMAG00000000369","ISA"
"345","GO:0042043","nlgn2b",168,"ENSXMAG00000000369","ISA"
"346","GO:0007416","nlgn2b",168,"ENSXMAG00000000369","ISA"
"394","GO:0016020","yipf1",214,"ENSXMAG00000000466","ISA"
"395","GO:0016192","yipf1",214,"ENSXMAG00000000466","ISA"
"396","GO:0000139","yipf1",214,"ENSXMAG00000000466","ISA"
"397","GO:0005794","yipf1",214,"ENSXMAG00000000466","ISA"
"398","GO:0031902","yipf1",214,"ENSXMAG00000000466","ISA"
"399","GO:0010008","yipf1",214,"ENSXMAG00000000466","ISA"
"400","GO:0031267","yipf1",214,"ENSXMAG00000000466","ISA"
"441","GO:0016020","RNF145",224,"ENSXMAG00000000480","ISA"
"442","GO:0046872","RNF145",224,"ENSXMAG00000000480","ISA"
"443","GO:0008270","RNF145",224,"ENSXMAG00000000480","ISA"
"521","GO:0016020","BNIP1",236,"ENSXMAG00000000497","ISA"
"522","GO:0006890","BNIP1",236,"ENSXMAG00000000497","ISA"
"523","GO:0005484","BNIP1",236,"ENSXMAG00000000497","ISA"
"524","GO:0061025","BNIP1",236,"ENSXMAG00000000497","ISA"
"525","GO:0046982","BNIP1",236,"ENSXMAG00000000497","ISA"
"526","GO:0005783","BNIP1",236,"ENSXMAG00000000497","ISA"
"608","GO:0015031","stxbp3",278,"ENSXMAG00000000568","ISA"
"609","GO:0016192","stxbp3",278,"ENSXMAG00000000568","ISA"
"676","GO:0003223","klf2b",301,"ENSXMAG00000000640","ISA"
"677","GO:0042662","klf2b",301,"ENSXMAG00000000640","ISA"
"678","GO:0042665","klf2b",301,"ENSXMAG00000000640","ISA"
"679","GO:0007507","klf2b",301,"ENSXMAG00000000640","ISA"
"735","GO:0005737","mtmr6",329,"ENSXMAG00000000703","ISA"
"736","GO:0016791","mtmr6",329,"ENSXMAG00000000703","ISA"
"737","GO:0016311","mtmr6",329,"ENSXMAG00000000703","ISA"
"738","GO:0006629","mtmr6",329,"ENSXMAG00000000703","ISA"
"739","GO:0004438","mtmr6",329,"ENSXMAG00000000703","ISA"
"772","GO:0016020","dhrs7ca",356,"ENSXMAG00000000760","ISA"
"773","GO:0016491","dhrs7ca",356,"ENSXMAG00000000760","ISA"
"775","GO:0016020","LDLRAD3",360,"ENSXMAG00000000769","ISA"
"776","GO:0005515","LDLRAD3",360,"ENSXMAG00000000769","ISA"
"894","GO:0000045","atg16l1",386,"ENSXMAG00000000829","ISA"
"895","GO:0005515","atg16l1",386,"ENSXMAG00000000829","ISA"
"896","GO:0006807","atg16l1",386,"ENSXMAG00000000829","ISA"
"897","GO:0044238","atg16l1",386,"ENSXMAG00000000829","ISA"
"898","GO:0043170","atg16l1",386,"ENSXMAG00000000829","ISA"
"919","GO:0030154","unc45a",402,"ENSXMAG00000000874","ISA"
"920","GO:0048471","unc45a",402,"ENSXMAG00000000874","ISA"
"921","GO:0005515","unc45a",402,"ENSXMAG00000000874","ISA"
"922","GO:0007517","unc45a",402,"ENSXMAG00000000874","ISA"
"1124","GO:0016020","mief1",517,"ENSXMAG00000001151","ISA"
"1125","GO:0005739","mief1",517,"ENSXMAG00000001151","ISA"
"1126","GO:0005741","mief1",517,"ENSXMAG00000001151","ISA"
"1127","GO:0007005","mief1",517,"ENSXMAG00000001151","ISA"
"1448","GO:0016020","selenos",660,"ENSXMAG00000001446","ISA"
"1449","GO:0005737","selenos",660,"ENSXMAG00000001446","ISA"
"1450","GO:0006886","selenos",660,"ENSXMAG00000001446","ISA"
"1451","GO:0005783","selenos",660,"ENSXMAG00000001446","ISA"
"1452","GO:0005789","selenos",660,"ENSXMAG00000001446","ISA"
"1473","GO:0016020","dram1",669,"ENSXMAG00000001465","ISA"
"1474","GO:0110165","dram1",669,"ENSXMAG00000001465","ISA"
"1492","GO:0048593","ccnd1",684,"ENSXMAG00000001483","ISA"
"1493","GO:0061074","ccnd1",684,"ENSXMAG00000001483","ISA"
"1494","GO:0070050","ccnd1",684,"ENSXMAG00000001483","ISA"
"1516","GO:0008021","sypa",716,"ENSXMAG00000001545","ISA"
"1517","GO:0016020","sypa",716,"ENSXMAG00000001545","ISA"
"1534","GO:0015031","VPS52",725,"ENSXMAG00000001565","ISA"
"1535","GO:0005794","VPS52",725,"ENSXMAG00000001565","ISA"
"1543","GO:0016020","cyb5a",734,"ENSXMAG00000001579","ISA"
"1544","GO:0046872","cyb5a",734,"ENSXMAG00000001579","ISA"
"1545","GO:0020037","cyb5a",734,"ENSXMAG00000001579","ISA"
"1546","GO:0071466","cyb5a",734,"ENSXMAG00000001579","ISA"
"1547","GO:0016491","cyb5a",734,"ENSXMAG00000001579","ISA"
"1618","GO:0005634","AFF4",763,"ENSXMAG00000001642","ISA"
"1619","GO:0010468","AFF4",763,"ENSXMAG00000001642","ISA"
"1642","GO:0005515","tsku",783,"ENSXMAG00000001682","ISA"
"1669","GO:0003677","gtf2f2a",796,"ENSXMAG00000001717","ISA"
"1670","GO:0005634","gtf2f2a",796,"ENSXMAG00000001717","ISA"
"1671","GO:0006367","gtf2f2a",796,"ENSXMAG00000001717","ISA"
"1672","GO:0006366","gtf2f2a",796,"ENSXMAG00000001717","ISA"
"1673","GO:0005674","gtf2f2a",796,"ENSXMAG00000001717","ISA"
"1684","GO:0016020","LY75",807,"ENSXMAG00000001737","ISA"
"1685","GO:0030246","LY75",807,"ENSXMAG00000001737","ISA"
"1686","GO:0006897","LY75",807,"ENSXMAG00000001737","ISA"
"2086","GO:0006457","ppid",1039,"ENSXMAG00000002165","ISA"
"2087","GO:0003755","ppid",1039,"ENSXMAG00000002165","ISA"
"2088","GO:0000413","ppid",1039,"ENSXMAG00000002165","ISA"
