"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"19654","GO:0005576","apoa1b",1428,"ENSXMAG00000002874","ISA"
"19655","GO:0008289","apoa1b",1428,"ENSXMAG00000002874","ISA"
"19656","GO:0006869","apoa1b",1428,"ENSXMAG00000002874","ISA"
"19657","GO:0042157","apoa1b",1428,"ENSXMAG00000002874","ISA"
"27864","GO:0003700","creb3l3a",6242,"ENSXMAG00000012615","ISA"
"27865","GO:0006355","creb3l3a",6242,"ENSXMAG00000012615","ISA"
"27866","GO:0005634","creb3l3a",6242,"ENSXMAG00000012615","ISA"
"30026","GO:0007165","DTHD1",7536,"ENSXMAG00000015296","ISA"
"30027","GO:0005515","DTHD1",7536,"ENSXMAG00000015296","ISA"
"37714","GO:0016491","aldh8a1",2202,"ENSXMAG00000004351","ISA"
"37715","GO:0016620","aldh8a1",2202,"ENSXMAG00000004351","ISA"
"37716","GO:0001889","aldh8a1",2202,"ENSXMAG00000004351","ISA"
"38245","GO:0016787","urahb",2540,"ENSXMAG00000005033","ISA"
"38246","GO:0033971","urahb",2540,"ENSXMAG00000005033","ISA"
"38247","GO:0006144","urahb",2540,"ENSXMAG00000005033","ISA"
"38719","GO:0005509","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"38720","GO:0005576","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"38721","GO:0004623","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"38722","GO:0006644","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"38723","GO:0016042","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"38724","GO:0050482","pla2g12b",2797,"ENSXMAG00000005555","ISA"
"39466","GO:0016020","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39467","GO:0046872","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39468","GO:0016787","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39469","GO:0008270","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39470","GO:0006508","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39471","GO:0008233","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39472","GO:0008237","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"39473","GO:0004177","anpepb.1",3244,"ENSXMAG00000006489","ISA"
"40219","GO:0016020","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40220","GO:0005737","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40221","GO:0005886","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40222","GO:0016491","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40223","GO:0005829","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40224","GO:0016324","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40225","GO:0046185","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"40226","GO:0008106","akr1a1a",3714,"ENSXMAG00000007474","ISA"
"41709","GO:0007165","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41710","GO:0007186","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41711","GO:0016020","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41712","GO:0005886","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41713","GO:0004930","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41714","GO:0031410","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41715","GO:0042995","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41716","GO:0045202","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41717","GO:0098793","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41718","GO:0005901","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41719","GO:0004993","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41720","GO:0098664","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41721","GO:0030424","HTR2A",4605,"ENSXMAG00000009303","ISA"
"41722","GO:0030425","HTR2A",4605,"ENSXMAG00000009303","ISA"
"42868","GO:0005615","serpina1l",5313,"ENSXMAG00000010698","ISA"
"42869","GO:0004867","serpina1l",5313,"ENSXMAG00000010698","ISA"
"45923","GO:0046872","pvalb8",7221,"ENSXMAG00000014657","ISA"
"45924","GO:0005509","pvalb8",7221,"ENSXMAG00000014657","ISA"
"45925","GO:0043167","pvalb8",7221,"ENSXMAG00000014657","ISA"
"48791","GO:0005509","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"48792","GO:0005576","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"48793","GO:0004623","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"48794","GO:0006644","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"48795","GO:0016042","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"48796","GO:0050482","PLA2G12B",8919,"ENSXMAG00000018014","ISA"
"51794","GO:0016787","cndp1",754,"ENSXMAG00000001622","ISA"
"55544","GO:0005509","epdr1",3385,"ENSXMAG00000006780","ISA"
"55545","GO:0005576","epdr1",3385,"ENSXMAG00000006780","ISA"
"55546","GO:0007160","epdr1",3385,"ENSXMAG00000006780","ISA"
"55547","GO:0110165","epdr1",3385,"ENSXMAG00000006780","ISA"
"64322","GO:0000280","apoa2",9206,"ENSXMAG00000018597","ISA"
"64323","GO:0043009","apoa2",9206,"ENSXMAG00000018597","ISA"
"64324","GO:0055113","apoa2",9206,"ENSXMAG00000018597","ISA"
"65712","GO:0016020","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65713","GO:0006813","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65714","GO:0006811","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65715","GO:0005244","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65716","GO:0034765","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65717","GO:0005242","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
"65718","GO:1990573","kcnj1a.6",9950,"ENSXMAG00000020290","ISA"
