GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001637	1.71806085208613e-10	90.7382113821138	0.192426298260762	7	12	G protein-coupled chemoattractant receptor activity	ENSXMAG00000003684,ENSXMAG00000006858,ENSXMAG00000016924,ENSXMAG00000020259,ENSXMAG00000006850,ENSXMAG00000020050,ENSXMAG00000013226	cxcr4a,cxcr3.2,XCR1,ccr12a,CXCR3,CCR9
GO:0001653	6.73832736772242e-05	7.90757381258023	1.02627359072407	7	64	peptide receptor activity	ENSXMAG00000003684,ENSXMAG00000006858,ENSXMAG00000016924,ENSXMAG00000020259,ENSXMAG00000006850,ENSXMAG00000020050,ENSXMAG00000013226	cxcr4a,cxcr3.2,XCR1,ccr12a,CXCR3,CCR9
GO:0003865	0.03181585815988	61.8294573643411	0.0320710497101271	1	2	3-oxo-5-alpha-steroid 4-dehydrogenase activity	ENSXMAG00000006388	srd5a2b
GO:0003993	0.03181585815988	61.8294573643411	0.0320710497101271	1	2	acid phosphatase activity	ENSXMAG00000005225	acp5a
GO:0004298	0.00853321246148927	17.7901785714286	0.144319723695572	2	9	threonine-type endopeptidase activity	ENSXMAG00000014635,ENSXMAG00000014628	psmb13a,psmb12
GO:0004345	0.03181585815988	61.8294573643411	0.0320710497101271	1	2	glucose-6-phosphate dehydrogenase activity	ENSXMAG00000010738	G6PD
GO:0004470	0.0473450300832875	30.9108527131783	0.0481065745651906	1	3	malic enzyme activity	ENSXMAG00000006865	me1
GO:0004471	0.0473450300832875	30.9108527131783	0.0481065745651906	1	3	malate dehydrogenase (decarboxylating) (NAD+) activity	ENSXMAG00000006865	me1
GO:0004531	0.03181585815988	61.8294573643411	0.0320710497101271	1	2	deoxyribonuclease II activity	ENSXMAG00000017960	DNASE2B
GO:0004713	5.22774442814834e-06	8.16632231404959	1.29887751326015	9	81	protein tyrosine kinase activity	ENSXMAG00000018936,ENSXMAG00000000300,ENSXMAG00000002656,ENSXMAG00000004194,ENSXMAG00000014011,ENSXMAG00000009161,ENSXMAG00000009665,ENSXMAG00000011176,ENSXMAG00000004917	lck,BTK,zap70,HCK,fes,ptk6b,tec,lyn,ntrk2b
GO:0004715	2.03807641341921e-08	22.6771204561654	0.497101270506969	8	31	non-membrane spanning protein tyrosine kinase activity	ENSXMAG00000018936,ENSXMAG00000000300,ENSXMAG00000002656,ENSXMAG00000004194,ENSXMAG00000014011,ENSXMAG00000009161,ENSXMAG00000009665,ENSXMAG00000011176	lck,BTK,zap70,HCK,fes,ptk6b,tec,lyn
GO:0004816	0.03181585815988	61.8294573643411	0.0320710497101271	1	2	asparagine-tRNA ligase activity	ENSXMAG00000011755	NARS1
