GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000295	0.0437966525381546	Inf	0.418650548908351	2	2	adenine nucleotide transmembrane transporter activity	ENSXMAG00000012911,ENSXMAG00000017004	slc25a4,slc33a1
GO:0000774	0.0437966525381546	Inf	0.418650548908351	2	2	adenyl-nucleotide exchange factor activity	ENSXMAG00000009382,ENSXMAG00000011390	bag2,grpel1
GO:0003697	0.00258155093232717	6.63343195266272	2.30257801899593	7	11	single-stranded DNA binding	ENSXMAG00000000592,ENSXMAG00000006775,ENSXMAG00000001516,ENSXMAG00000002305,ENSXMAG00000007920,ENSXMAG00000008619,ENSXMAG00000016215	rad51,ssbp2a,rad18,hmces,ercc4,mcm10,polr3c
GO:0003700	0.0324158101491819	1.28857292104626	68.030714197607	82	325	DNA-binding transcription factor activity	ENSXMAG00000001054,ENSXMAG00000001243,ENSXMAG00000002200,ENSXMAG00000002653,ENSXMAG00000002688,ENSXMAG00000003079,ENSXMAG00000003269,ENSXMAG00000003908,ENSXMAG00000005165,ENSXMAG00000007283,ENSXMAG00000008039,ENSXMAG00000008538,ENSXMAG00000008754,ENSXMAG00000010311,ENSXMAG00000010611,ENSXMAG00000012884,ENSXMAG00000013231,ENSXMAG00000015619,ENSXMAG00000017105,ENSXMAG00000017389,ENSXMAG00000017899,ENSXMAG00000018099,ENSXMAG00000018934,ENSXMAG00000019406,ENSXMAG00000001522,ENSXMAG00000001638,ENSXMAG00000001667,ENSXMAG00000003545,ENSXMAG00000003748,ENSXMAG00000004336,ENSXMAG00000004377,ENSXMAG00000004396,ENSXMAG00000004738,ENSXMAG00000004753,ENSXMAG00000005372,ENSXMAG00000005948,ENSXMAG00000006136,ENSXMAG00000006355,ENSXMAG00000006964,ENSXMAG00000007143,ENSXMAG00000007238,ENSXMAG00000007492,ENSXMAG00000007553,ENSXMAG00000008892,ENSXMAG00000011280,ENSXMAG00000013351,ENSXMAG00000014275,ENSXMAG00000014488,ENSXMAG00000015423,ENSXMAG00000017066,ENSXMAG00000018968,ENSXMAG00000019691,ENSXMAG00000019692,ENSXMAG00000019914,ENSXMAG00000000504,ENSXMAG00000000761,ENSXMAG00000001735,ENSXMAG00000003093,ENSXMAG00000003446,ENSXMAG00000003544,ENSXMAG00000003906,ENSXMAG00000004363,ENSXMAG00000009102,ENSXMAG00000010462,ENSXMAG00000012852,ENSXMAG00000013755,ENSXMAG00000013891,ENSXMAG00000017330,ENSXMAG00000017348,ENSXMAG00000018461,ENSXMAG00000019112,ENSXMAG00000019787,ENSXMAG00000000193,ENSXMAG00000001877,ENSXMAG00000007786,ENSXMAG00000013188,ENSXMAG00000013865,ENSXMAG00000015726,ENSXMAG00000015842,ENSXMAG00000017028,ENSXMAG00000019529,ENSXMAG00000020363	hoxa5a,fli1,mitfa,atf4b,zgc:101100,foxf1,foxo3,lhx2b,stat5a,alx4b,atf4a,NFIB,nfixb,NR2E3,stat6,PAX7,atf6,bmal1a,fli1rs,hlx1,meox1,tead3b,nr1d1,nr2f1a,NR3C1,rfx4,ches1,lhx6a,MYRF,pparaa,creb3l2,runx1,klf6a,mafb,tbx3a,hsf4,esr2a,mycla,srfb,irf6,NFIX,nkx2.4b,pgr,BMAL2,nr4a2a,prdm1a,rxrba,VSX2,tead1a,thrb,lhx4,cebpg,cebpa,mafba,CREBRF,nfatc1,rxraa,isl2a,tfap2e,nfe2l1a,june,creb3l1,foxd1,foxi3b,GMEB2,irf3,CREB5,PPARG,NFATC3,lhx8a,nkx2.2a,twist1b,nfkb2,mnx2b,irx6a,nr4a3,arnt2,rfx6,nr2e3,foxf2a,pou3f1,tal2
GO:0003779	0.0162463951671538	1.51700703121501	31.6081164425805	43	151	actin binding	ENSXMAG00000000373,ENSXMAG00000000382,ENSXMAG00000001281,ENSXMAG00000001843,ENSXMAG00000002379,ENSXMAG00000002413,ENSXMAG00000002715,ENSXMAG00000003144,ENSXMAG00000003376,ENSXMAG00000003662,ENSXMAG00000004913,ENSXMAG00000004927,ENSXMAG00000006007,ENSXMAG00000007029,ENSXMAG00000007593,ENSXMAG00000007610,ENSXMAG00000008074,ENSXMAG00000008955,ENSXMAG00000010441,ENSXMAG00000011780,ENSXMAG00000014545,ENSXMAG00000015332,ENSXMAG00000015461,ENSXMAG00000015558,ENSXMAG00000016083,ENSXMAG00000016525,ENSXMAG00000003128,ENSXMAG00000004018,ENSXMAG00000004840,ENSXMAG00000006213,ENSXMAG00000006275,ENSXMAG00000006838,ENSXMAG00000007968,ENSXMAG00000008962,ENSXMAG00000014297,ENSXMAG00000016886,ENSXMAG00000017242,ENSXMAG00000018031,ENSXMAG00000007560,ENSXMAG00000010396,ENSXMAG00000006293,ENSXMAG00000012164,ENSXMAG00000018395	UACA,dbnla,flii,gsna,myo1cb,nf2a,ctnnal1,TPM1,tpm4a,rai14,MYO3B,myh11a,LMOD1,ablim1a,capza1b,myo6a,arpc2,MYH9,vcla,myo1ca,actn1,FMNL2,parvaa,vclb,spire2,FLNC,MICAL2,scinlb,myo1eb,nav3,MYH10,MYO10,tmsb4x,CALD1,nf2b,FMNL1,tln2a,pleca,tpm2,ablim3,PHACTR1,CLMN,IPP
GO:0004001	0.0437966525381546	Inf	0.418650548908351	2	2	adenosine kinase activity	ENSXMAG00000010413,ENSXMAG00000015542	adka,adkb
GO:0004180	0.0233478097677041	2.52716854376605	5.23313186135439	10	25	carboxypeptidase activity	ENSXMAG00000005506,ENSXMAG00000003340,ENSXMAG00000007857,ENSXMAG00000014607,ENSXMAG00000015825,ENSXMAG00000016574,ENSXMAG00000019269,ENSXMAG00000015364,ENSXMAG00000019113,ENSXMAG00000013886	CPZ,AGBL4,cpe,CPXM1,CPXM2,agbl2,AEBP1,cpvl
GO:0004181	0.0133782345763757	3.10162645411461	4.18650548908351	9	20	metallocarboxypeptidase activity	ENSXMAG00000005506,ENSXMAG00000003340,ENSXMAG00000007857,ENSXMAG00000014607,ENSXMAG00000015825,ENSXMAG00000016574,ENSXMAG00000019269,ENSXMAG00000015364,ENSXMAG00000019113	CPZ,AGBL4,cpe,CPXM1,CPXM2,agbl2,AEBP1
GO:0004222	0.00699790931684643	2.04030578813251	13.1874922906131	22	63	metalloendopeptidase activity	ENSXMAG00000001177,ENSXMAG00000007790,ENSXMAG00000009137,ENSXMAG00000012321,ENSXMAG00000012509,ENSXMAG00000015155,ENSXMAG00000019046,ENSXMAG00000000900,ENSXMAG00000000901,ENSXMAG00000003680,ENSXMAG00000003843,ENSXMAG00000004942,ENSXMAG00000016474,ENSXMAG00000017153,ENSXMAG00000000356,ENSXMAG00000001178,ENSXMAG00000004709,ENSXMAG00000009810,ENSXMAG00000013737,ENSXMAG00000001547,ENSXMAG00000008354,ENSXMAG00000010382	ADAMTS17,mmp2,ADAMTS1,adamts15a,MMP23B,ADAMTS14,ADAMTS6,bmp1a,adam9,phex,MMP15,ADAM12,MMEL1,thop1,MIPEP,MMP24,ADAM17,MMP11,mmp14a,YME1L1,adam28
GO:0004675	0.0368558605469538	3.24558587479936	2.72122856790428	6	13	transmembrane receptor protein serine/threonine kinase activity	ENSXMAG00000011072,ENSXMAG00000000566,ENSXMAG00000002106,ENSXMAG00000011304,ENSXMAG00000017124,ENSXMAG00000004259	acvrl1,tgfbr1b,acvr2aa,ACVR1C,bmpr1ba,bmpr1aa
