"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"6990","GO:0000166","MYO6",3955,"ENSXMAG00000007951","ISA"
"6991","GO:0005524","MYO6",3955,"ENSXMAG00000007951","ISA"
"6992","GO:0005794","MYO6",3955,"ENSXMAG00000007951","ISA"
"6993","GO:0003774","MYO6",3955,"ENSXMAG00000007951","ISA"
"6994","GO:0003779","MYO6",3955,"ENSXMAG00000007951","ISA"
"6995","GO:0051015","MYO6",3955,"ENSXMAG00000007951","ISA"
"6996","GO:0016459","MYO6",3955,"ENSXMAG00000007951","ISA"
"6997","GO:0005905","MYO6",3955,"ENSXMAG00000007951","ISA"
"6998","GO:0030136","MYO6",3955,"ENSXMAG00000007951","ISA"
"6999","GO:0005515","MYO6",3955,"ENSXMAG00000007951","ISA"
"7000","GO:0007605","MYO6",3955,"ENSXMAG00000007951","ISA"
"7001","GO:0030175","MYO6",3955,"ENSXMAG00000007951","ISA"
"7002","GO:0032587","MYO6",3955,"ENSXMAG00000007951","ISA"
"7003","GO:0005902","MYO6",3955,"ENSXMAG00000007951","ISA"
"7004","GO:0048731","MYO6",3955,"ENSXMAG00000007951","ISA"
"7340","GO:0005576","bgnb",4150,"ENSXMAG00000008350","ISA"
"7341","GO:0005515","bgnb",4150,"ENSXMAG00000008350","ISA"
"12885","GO:0036211","ttll6",7358,"ENSXMAG00000014927","ISA"
"29018","GO:0016020","GDPD5",6910,"ENSXMAG00000014022","ISA"
"29019","GO:0006629","GDPD5",6910,"ENSXMAG00000014022","ISA"
"29020","GO:0008081","GDPD5",6910,"ENSXMAG00000014022","ISA"
"31887","GO:0005975","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31888","GO:0016491","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31889","GO:0016616","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31890","GO:0051287","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31891","GO:0042803","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31892","GO:0006072","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31893","GO:0009331","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31894","GO:0046168","gpd1a",8554,"ENSXMAG00000017239","ISA"
"31895","GO:0047952","gpd1a",8554,"ENSXMAG00000017239","ISA"
"33717","GO:0016020","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33718","GO:0016740","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33719","GO:0016757","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33720","GO:0006486","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33721","GO:0000139","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33722","GO:0005794","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"33723","GO:0016758","b3gnt7",9777,"ENSXMAG00000019802","ISA"
"49704","GO:0046872","MSS51",9442,"ENSXMAG00000019041","ISA"
"50919","GO:0003677","hoxd10a",197,"ENSXMAG00000000431","ISA"
"50920","GO:0006355","hoxd10a",197,"ENSXMAG00000000431","ISA"
"50921","GO:0005634","hoxd10a",197,"ENSXMAG00000000431","ISA"
"50922","GO:0000981","hoxd10a",197,"ENSXMAG00000000431","ISA"
"50923","GO:0006357","hoxd10a",197,"ENSXMAG00000000431","ISA"
"55352","GO:0016042","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55353","GO:0004435","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55354","GO:0006629","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55355","GO:0008081","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55356","GO:0035556","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55357","GO:0007165","PLCB2",3261,"ENSXMAG00000006531","ISA"
"55358","GO:0005509","PLCB2",3261,"ENSXMAG00000006531","ISA"
"57446","GO:0007165","gpr37b",4718,"ENSXMAG00000009526","ISA"
"57447","GO:0007186","gpr37b",4718,"ENSXMAG00000009526","ISA"
"57448","GO:0016020","gpr37b",4718,"ENSXMAG00000009526","ISA"
"57449","GO:0005886","gpr37b",4718,"ENSXMAG00000009526","ISA"
"57450","GO:0004930","gpr37b",4718,"ENSXMAG00000009526","ISA"
