"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"35","GO:0016020","nptnb",16,"ENSXMAG00000000035","ISA"
"36","GO:0007155","nptnb",16,"ENSXMAG00000000035","ISA"
"37","GO:0005886","nptnb",16,"ENSXMAG00000000035","ISA"
"38","GO:0007411","nptnb",16,"ENSXMAG00000000035","ISA"
"39","GO:0005515","nptnb",16,"ENSXMAG00000000035","ISA"
"84","GO:0035556","asb15b",48,"ENSXMAG00000000116","ISA"
"85","GO:0016567","asb15b",48,"ENSXMAG00000000116","ISA"
"86","GO:0005515","asb15b",48,"ENSXMAG00000000116","ISA"
"371","GO:0016020","fndc5b",190,"ENSXMAG00000000414","ISA"
"372","GO:0005515","fndc5b",190,"ENSXMAG00000000414","ISA"
"444","GO:0007163","prkci",225,"ENSXMAG00000000481","ISA"
"445","GO:0000166","prkci",225,"ENSXMAG00000000481","ISA"
"446","GO:0004672","prkci",225,"ENSXMAG00000000481","ISA"
"447","GO:0005524","prkci",225,"ENSXMAG00000000481","ISA"
"448","GO:0006468","prkci",225,"ENSXMAG00000000481","ISA"
"449","GO:0005737","prkci",225,"ENSXMAG00000000481","ISA"
"450","GO:0046872","prkci",225,"ENSXMAG00000000481","ISA"
"451","GO:0016301","prkci",225,"ENSXMAG00000000481","ISA"
"452","GO:0016740","prkci",225,"ENSXMAG00000000481","ISA"
"453","GO:0016310","prkci",225,"ENSXMAG00000000481","ISA"
"454","GO:0004674","prkci",225,"ENSXMAG00000000481","ISA"
"455","GO:0004697","prkci",225,"ENSXMAG00000000481","ISA"
"456","GO:0000132","prkci",225,"ENSXMAG00000000481","ISA"
"457","GO:0001738","prkci",225,"ENSXMAG00000000481","ISA"
"458","GO:0001841","prkci",225,"ENSXMAG00000000481","ISA"
"459","GO:0007097","prkci",225,"ENSXMAG00000000481","ISA"
"460","GO:0007405","prkci",225,"ENSXMAG00000000481","ISA"
"461","GO:0007420","prkci",225,"ENSXMAG00000000481","ISA"
"462","GO:0007502","prkci",225,"ENSXMAG00000000481","ISA"
"463","GO:0007507","prkci",225,"ENSXMAG00000000481","ISA"
"464","GO:0008078","prkci",225,"ENSXMAG00000000481","ISA"
