GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000993	0.0130906417560758	Inf	0.22893795485383	2	2	RNA polymerase II complex binding	ENSXMAG00000006872,ENSXMAG00000012427	pcf11,pcif1
GO:0001098	0.0362807015134768	15.5032397408207	0.343406932280745	2	3	basal transcription machinery binding	ENSXMAG00000006872,ENSXMAG00000012427	pcf11,pcif1
GO:0001099	0.0362807015134768	15.5032397408207	0.343406932280745	2	3	basal RNA polymerase II transcription machinery binding	ENSXMAG00000006872,ENSXMAG00000012427	pcf11,pcif1
GO:0003676	0.0160898155540456	1.22691363950259	141.140249167386	164	1233	nucleic acid binding	ENSXMAG00000000338,ENSXMAG00000000827,ENSXMAG00000001795,ENSXMAG00000001963,ENSXMAG00000002227,ENSXMAG00000002980,ENSXMAG00000003023,ENSXMAG00000003787,ENSXMAG00000004904,ENSXMAG00000005445,ENSXMAG00000006522,ENSXMAG00000006974,ENSXMAG00000007309,ENSXMAG00000007745,ENSXMAG00000007881,ENSXMAG00000008480,ENSXMAG00000010069,ENSXMAG00000011848,ENSXMAG00000014535,ENSXMAG00000014912,ENSXMAG00000015644,ENSXMAG00000016475,ENSXMAG00000016767,ENSXMAG00000016975,ENSXMAG00000016984,ENSXMAG00000017099,ENSXMAG00000017447,ENSXMAG00000017836,ENSXMAG00000018061,ENSXMAG00000018160,ENSXMAG00000018636,ENSXMAG00000018780,ENSXMAG00000019187,ENSXMAG00000000666,ENSXMAG00000000693,ENSXMAG00000001192,ENSXMAG00000002429,ENSXMAG00000002998,ENSXMAG00000003098,ENSXMAG00000003378,ENSXMAG00000003510,ENSXMAG00000004032,ENSXMAG00000004669,ENSXMAG00000005015,ENSXMAG00000005244,ENSXMAG00000006338,ENSXMAG00000006816,ENSXMAG00000008341,ENSXMAG00000008591,ENSXMAG00000008850,ENSXMAG00000009584,ENSXMAG00000009758,ENSXMAG00000009877,ENSXMAG00000009881,ENSXMAG00000010142,ENSXMAG00000010716,ENSXMAG00000010747,ENSXMAG00000011033,ENSXMAG00000011644,ENSXMAG00000012033,ENSXMAG00000012662,ENSXMAG00000012755,ENSXMAG00000013158,ENSXMAG00000013796,ENSXMAG00000013844,ENSXMAG00000015345,ENSXMAG00000015363,ENSXMAG00000015369,ENSXMAG00000015448,ENSXMAG00000015721,ENSXMAG00000015985,ENSXMAG00000016133,ENSXMAG00000016160,ENSXMAG00000016861,ENSXMAG00000017451,ENSXMAG00000017476,ENSXMAG00000017562,ENSXMAG00000017682,ENSXMAG00000017907,ENSXMAG00000018000,ENSXMAG00000018063,ENSXMAG00000018237,ENSXMAG00000018411,ENSXMAG00000018857,ENSXMAG00000019037,ENSXMAG00000020192,ENSXMAG00000000397,ENSXMAG00000001438,ENSXMAG00000001825,ENSXMAG00000001905,ENSXMAG00000002058,ENSXMAG00000002206,ENSXMAG00000002426,ENSXMAG00000002540,ENSXMAG00000002608,ENSXMAG00000003179,ENSXMAG00000004638,ENSXMAG00000004970,ENSXMAG00000005030,ENSXMAG00000005196,ENSXMAG00000005286,ENSXMAG00000005531,ENSXMAG00000005903,ENSXMAG00000006141,ENSXMAG00000006676,ENSXMAG00000006844,ENSXMAG00000008026,ENSXMAG00000008797,ENSXMAG00000008957,ENSXMAG00000009020,ENSXMAG00000009151,ENSXMAG00000009167,ENSXMAG00000009265,ENSXMAG00000009600,ENSXMAG00000009669,ENSXMAG00000010816,ENSXMAG00000011303,ENSXMAG00000011305,ENSXMAG00000012464,ENSXMAG00000012853,ENSXMAG00000013157,ENSXMAG00000013436,ENSXMAG00000013564,ENSXMAG00000014017,ENSXMAG00000014035,ENSXMAG00000014594,ENSXMAG00000015121,ENSXMAG00000015760,ENSXMAG00000016928,ENSXMAG00000000022,ENSXMAG00000000242,ENSXMAG00000000917,ENSXMAG00000001490,ENSXMAG00000001955,ENSXMAG00000002316,ENSXMAG00000002436,ENSXMAG00000002905,ENSXMAG00000004215,ENSXMAG00000004317,ENSXMAG00000005729,ENSXMAG00000006334,ENSXMAG00000006872,ENSXMAG00000007623,ENSXMAG00000007850,ENSXMAG00000007990,ENSXMAG00000008628,ENSXMAG00000008741,ENSXMAG00000010129,ENSXMAG00000010241,ENSXMAG00000010449,ENSXMAG00000010515,ENSXMAG00000010633,ENSXMAG00000011421,ENSXMAG00000014057,ENSXMAG00000014260,ENSXMAG00000014879,ENSXMAG00000016384,ENSXMAG00000016418,ENSXMAG00000016907,ENSXMAG00000017187,ENSXMAG00000017918,ENSXMAG00000017969,ENSXMAG00000018673,ENSXMAG00000019200	rbm14a,fmr1,HMBOX1,NFX1,trnt1,zcchc17,ubp1,hdlbpa,arid4a,zranb2,xrcc1,brca2,bach1a,pole,syncripl,PDS5B,nfyal,tufm,stat5b,rps2,YTHDF1,CELF3,elk3,tmpob,CNOT4,rbm39b,cnot7,tarbp2,eif3g,sart3,iars2,LARP1,mrpl16,fxr1,ZFHX4,eif3jb,ubr5,pdcd5,eif3k,kdm5ba,foxk1,POLR1A,E2F1,rfx3,ZFAND3,ARID1B,cdc5l,BPTF,cluha,snrpe,adnpa,l3mbtl2,RBPJ,ankhd1,paip1,ARID1A,sf3b6,tdrd7a,foxk2a,tbxta,zgc:163098,smndc1,FOXK2,eif3c,akap8l,TOP1,SHPRH,NFKB1,snrpf,dicer1,kdm2aa,HERC2,pbrm1l,SRBD1,baz2a,ubap2b,iars1,PUM2,DHX8,SRP72,dnmt1,MSI1,GPBP1L1,zgc:158376,pola1,RBM15,ATF2,srsf9,elp3,HSF1,snrnp200,RAVER2,dgcr8,upf1,u2surp,nfyc,pdcd11,epas1b,lemd3,ythdc1,etv5a,spic,MARK4,n4bp1,RFX7,hmgb1b,cherp,cbl,hnrnpaba,sfswap,LSM3,nr3c1,eif4g2a,TARBP1,n4bp2,ERF,top2a,dhx9,POLRMT,RFX1,fosl1a,nr2f5,pbx2,rbm24b,usp25,mif4gda,rxrbb,NKX2-8,clocka,ddb1,xrn2,POLG,dhx36,CAMTA2,GAR1,FBXO21,eif1,SATB2,dnajc21,pus10,sf3b3,pcf11,dcp2,mta2,LONP1,HMGXB3,rad23aa,ZNF335,pin4,ppardb,kat6a,MBD5,TLX3,KDM2B,pax6b,pax2b,tert,zbtb11,PNPT1,ISL2,ddit3,rpf1,eif4bb,fbxo18
GO:0003682	0.0286584728933789	2.72057546145494	3.09066239052671	7	27	chromatin binding	ENSXMAG00000016926,ENSXMAG00000016160,ENSXMAG00000018063,ENSXMAG00000013674,ENSXMAG00000007850,ENSXMAG00000013306,ENSXMAG00000016342	nipbla,pbrm1l,dnmt1,NKAP,mta2,eaf1,ctcf
GO:0003712	0.0127054493986316	2.33810043668122	5.95238682619958	12	52	transcription coregulator activity	ENSXMAG00000000519,ENSXMAG00000011929,ENSXMAG00000002967,ENSXMAG00000004093,ENSXMAG00000005364,ENSXMAG00000008978,ENSXMAG00000000108,ENSXMAG00000000274,ENSXMAG00000003691,ENSXMAG00000007630,ENSXMAG00000013306,ENSXMAG00000018961	TCERG1,CREBBP,SFMBT2,bcl9,hsbp1a,ctbp1,med13a,med12,EP300,bcl9l,eaf1,med15
GO:0003723	0.0139587799055453	1.38685388685389	48.9927223387196	64	428	RNA binding	ENSXMAG00000000338,ENSXMAG00000000827,ENSXMAG00000002227,ENSXMAG00000003787,ENSXMAG00000005445,ENSXMAG00000007881,ENSXMAG00000011848,ENSXMAG00000014912,ENSXMAG00000015644,ENSXMAG00000016475,ENSXMAG00000016984,ENSXMAG00000017099,ENSXMAG00000017836,ENSXMAG00000018061,ENSXMAG00000018160,ENSXMAG00000018636,ENSXMAG00000018780,ENSXMAG00000019187,ENSXMAG00000000666,ENSXMAG00000001192,ENSXMAG00000002429,ENSXMAG00000003098,ENSXMAG00000008591,ENSXMAG00000008850,ENSXMAG00000009881,ENSXMAG00000010142,ENSXMAG00000010747,ENSXMAG00000011033,ENSXMAG00000012662,ENSXMAG00000012755,ENSXMAG00000013796,ENSXMAG00000015448,ENSXMAG00000015721,ENSXMAG00000017562,ENSXMAG00000017682,ENSXMAG00000018000,ENSXMAG00000018237,ENSXMAG00000018411,ENSXMAG00000020192,ENSXMAG00000001438,ENSXMAG00000001825,ENSXMAG00000002206,ENSXMAG00000002426,ENSXMAG00000002540,ENSXMAG00000002608,ENSXMAG00000005196,ENSXMAG00000006141,ENSXMAG00000008026,ENSXMAG00000008957,ENSXMAG00000009020,ENSXMAG00000009151,ENSXMAG00000009265,ENSXMAG00000009600,ENSXMAG00000011305,ENSXMAG00000014017,ENSXMAG00000014594,ENSXMAG00000002316,ENSXMAG00000002905,ENSXMAG00000005729,ENSXMAG00000006872,ENSXMAG00000007623,ENSXMAG00000016907,ENSXMAG00000017969,ENSXMAG00000018673	rbm14a,fmr1,trnt1,hdlbpa,zranb2,syncripl,tufm,rps2,YTHDF1,CELF3,CNOT4,rbm39b,tarbp2,eif3g,sart3,iars2,LARP1,mrpl16,fxr1,eif3jb,ubr5,eif3k,cluha,snrpe,ankhd1,paip1,sf3b6,tdrd7a,zgc:163098,smndc1,eif3c,snrpf,dicer1,iars1,PUM2,SRP72,MSI1,GPBP1L1,RBM15,srsf9,elp3,RAVER2,dgcr8,upf1,u2surp,ythdc1,n4bp1,cherp,hnrnpaba,sfswap,LSM3,eif4g2a,TARBP1,dhx9,rbm24b,mif4gda,GAR1,eif1,pus10,pcf11,dcp2,PNPT1,rpf1,eif4bb
GO:0003824	0.0376422543150718	1.13732922467353	363.553472307882	389	3176	catalytic activity	ENSXMAG00000000024,ENSXMAG00000000211,ENSXMAG00000000325,ENSXMAG00000000545,ENSXMAG00000000948,ENSXMAG00000001164,ENSXMAG00000001254,ENSXMAG00000001469,ENSXMAG00000001721,ENSXMAG00000002227,ENSXMAG00000002512,ENSXMAG00000002594,ENSXMAG00000003519,ENSXMAG00000004548,ENSXMAG00000005276,ENSXMAG00000005497,ENSXMAG00000006673,ENSXMAG00000007314,ENSXMAG00000007364,ENSXMAG00000007745,ENSXMAG00000007765,ENSXMAG00000008300,ENSXMAG00000008612,ENSXMAG00000008819,ENSXMAG00000009184,ENSXMAG00000009195,ENSXMAG00000009922,ENSXMAG00000010081,ENSXMAG00000010290,ENSXMAG00000010446,ENSXMAG00000010813,ENSXMAG00000011848,ENSXMAG00000011913,ENSXMAG00000011929,ENSXMAG00000011935,ENSXMAG00000012027,ENSXMAG00000012460,ENSXMAG00000014316,ENSXMAG00000014350,ENSXMAG00000015128,ENSXMAG00000016110,ENSXMAG00000016262,ENSXMAG00000016660,ENSXMAG00000016892,ENSXMAG00000016945,ENSXMAG00000016984,ENSXMAG00000017139,ENSXMAG00000017264,ENSXMAG00000017411,ENSXMAG00000017447,ENSXMAG00000017487,ENSXMAG00000018088,ENSXMAG00000018291,ENSXMAG00000018636,ENSXMAG00000018776,ENSXMAG00000018921,ENSXMAG00000019214,ENSXMAG00000019355,ENSXMAG00000019422,ENSXMAG00000019866,ENSXMAG00000000076,ENSXMAG00000000493,ENSXMAG00000000747,ENSXMAG00000000797,ENSXMAG00000001437,ENSXMAG00000001454,ENSXMAG00000001538,ENSXMAG00000001803,ENSXMAG00000001846,ENSXMAG00000001932,ENSXMAG00000002082,ENSXMAG00000002306,ENSXMAG00000002429,ENSXMAG00000002542,ENSXMAG00000002591,ENSXMAG00000003006,ENSXMAG00000003296,ENSXMAG00000003378,ENSXMAG00000003479,ENSXMAG00000003963,ENSXMAG00000004032,ENSXMAG00000004209,ENSXMAG00000004254,ENSXMAG00000004614,ENSXMAG00000004922,ENSXMAG00000005050,ENSXMAG00000005399,ENSXMAG00000005677,ENSXMAG00000005765,ENSXMAG00000005875,ENSXMAG00000005918,ENSXMAG00000005975,ENSXMAG00000006429,ENSXMAG00000006566,ENSXMAG00000006917,ENSXMAG00000007880,ENSXMAG00000007981,ENSXMAG00000008071,ENSXMAG00000008233,ENSXMAG00000008661,ENSXMAG00000008665,ENSXMAG00000008699,ENSXMAG00000008786,ENSXMAG00000008978,ENSXMAG00000009142,ENSXMAG00000009209,ENSXMAG00000009354,ENSXMAG00000009437,ENSXMAG00000009731,ENSXMAG00000009806,ENSXMAG00000009913,ENSXMAG00000010644,ENSXMAG00000011389,ENSXMAG00000011476,ENSXMAG00000011794,ENSXMAG00000011825,ENSXMAG00000012034,ENSXMAG00000012200,ENSXMAG00000012432,ENSXMAG00000012532,ENSXMAG00000012558,ENSXMAG00000012847,ENSXMAG00000013132,ENSXMAG00000013164,ENSXMAG00000013187,ENSXMAG00000013559,ENSXMAG00000014198,ENSXMAG00000014278,ENSXMAG00000014405,ENSXMAG00000014515,ENSXMAG00000014989,ENSXMAG00000015012,ENSXMAG00000015345,ENSXMAG00000015363,ENSXMAG00000015451,ENSXMAG00000015721,ENSXMAG00000015793,ENSXMAG00000015903,ENSXMAG00000015985,ENSXMAG00000016114,ENSXMAG00000016133,ENSXMAG00000016221,ENSXMAG00000016302,ENSXMAG00000016386,ENSXMAG00000016499,ENSXMAG00000016851,ENSXMAG00000017133,ENSXMAG00000017253,ENSXMAG00000017552,ENSXMAG00000017562,ENSXMAG00000017907,ENSXMAG00000017972,ENSXMAG00000018021,ENSXMAG00000018063,ENSXMAG00000018139,ENSXMAG00000018145,ENSXMAG00000018390,ENSXMAG00000018838,ENSXMAG00000019037,ENSXMAG00000000241,ENSXMAG00000000494,ENSXMAG00000000549,ENSXMAG00000000586,ENSXMAG00000000828,ENSXMAG00000000851,ENSXMAG00000000877,ENSXMAG00000001363,ENSXMAG00000001825,ENSXMAG00000002058,ENSXMAG00000002089,ENSXMAG00000002237,ENSXMAG00000002378,ENSXMAG00000002403,ENSXMAG00000002442,ENSXMAG00000002540,ENSXMAG00000002768,ENSXMAG00000002775,ENSXMAG00000003004,ENSXMAG00000003042,ENSXMAG00000003142,ENSXMAG00000003196,ENSXMAG00000003414,ENSXMAG00000003494,ENSXMAG00000003540,ENSXMAG00000004037,ENSXMAG00000004090,ENSXMAG00000004345,ENSXMAG00000004637,ENSXMAG00000004648,ENSXMAG00000004897,ENSXMAG00000004939,ENSXMAG00000005037,ENSXMAG00000005081,ENSXMAG00000005169,ENSXMAG00000005369,ENSXMAG00000005398,ENSXMAG00000005423,ENSXMAG00000005903,ENSXMAG00000006329,ENSXMAG00000006356,ENSXMAG00000006471,ENSXMAG00000006581,ENSXMAG00000006926,ENSXMAG00000007222,ENSXMAG00000007446,ENSXMAG00000007535,ENSXMAG00000007758,ENSXMAG00000007830,ENSXMAG00000008128,ENSXMAG00000008130,ENSXMAG00000008574,ENSXMAG00000008689,ENSXMAG00000008797,ENSXMAG00000009070,ENSXMAG00000009187,ENSXMAG00000009467,ENSXMAG00000009600,ENSXMAG00000009854,ENSXMAG00000010323,ENSXMAG00000010327,ENSXMAG00000010809,ENSXMAG00000010828,ENSXMAG00000010910,ENSXMAG00000010967,ENSXMAG00000011303,ENSXMAG00000011305,ENSXMAG00000011323,ENSXMAG00000011880,ENSXMAG00000012004,ENSXMAG00000012464,ENSXMAG00000012704,ENSXMAG00000012812,ENSXMAG00000012879,ENSXMAG00000013115,ENSXMAG00000013155,ENSXMAG00000013416,ENSXMAG00000013461,ENSXMAG00000013537,ENSXMAG00000013582,ENSXMAG00000013626,ENSXMAG00000013681,ENSXMAG00000013732,ENSXMAG00000014035,ENSXMAG00000014059,ENSXMAG00000014598,ENSXMAG00000014972,ENSXMAG00000015073,ENSXMAG00000015186,ENSXMAG00000015262,ENSXMAG00000015378,ENSXMAG00000015506,ENSXMAG00000015571,ENSXMAG00000015682,ENSXMAG00000015696,ENSXMAG00000015785,ENSXMAG00000015880,ENSXMAG00000015931,ENSXMAG00000015956,ENSXMAG00000016109,ENSXMAG00000016234,ENSXMAG00000016371,ENSXMAG00000016520,ENSXMAG00000016640,ENSXMAG00000016835,ENSXMAG00000016848,ENSXMAG00000017017,ENSXMAG00000017060,ENSXMAG00000017166,ENSXMAG00000017258,ENSXMAG00000017369,ENSXMAG00000018028,ENSXMAG00000018170,ENSXMAG00000018487,ENSXMAG00000018544,ENSXMAG00000018686,ENSXMAG00000018842,ENSXMAG00000018969,ENSXMAG00000018982,ENSXMAG00000019002,ENSXMAG00000019034,ENSXMAG00000019136,ENSXMAG00000019957,ENSXMAG00000000242,ENSXMAG00000000683,ENSXMAG00000000917,ENSXMAG00000001110,ENSXMAG00000001163,ENSXMAG00000001490,ENSXMAG00000001814,ENSXMAG00000002171,ENSXMAG00000002418,ENSXMAG00000002545,ENSXMAG00000002551,ENSXMAG00000002736,ENSXMAG00000002856,ENSXMAG00000002972,ENSXMAG00000003430,ENSXMAG00000003691,ENSXMAG00000003822,ENSXMAG00000003859,ENSXMAG00000004153,ENSXMAG00000004167,ENSXMAG00000004238,ENSXMAG00000004787,ENSXMAG00000004935,ENSXMAG00000004949,ENSXMAG00000004986,ENSXMAG00000004993,ENSXMAG00000005339,ENSXMAG00000005559,ENSXMAG00000005729,ENSXMAG00000005775,ENSXMAG00000006032,ENSXMAG00000006123,ENSXMAG00000006274,ENSXMAG00000006413,ENSXMAG00000006578,ENSXMAG00000006841,ENSXMAG00000007001,ENSXMAG00000007003,ENSXMAG00000007103,ENSXMAG00000007159,ENSXMAG00000007189,ENSXMAG00000007569,ENSXMAG00000007623,ENSXMAG00000007990,ENSXMAG00000008474,ENSXMAG00000008582,ENSXMAG00000008684,ENSXMAG00000009185,ENSXMAG00000009281,ENSXMAG00000009317,ENSXMAG00000009402,ENSXMAG00000009465,ENSXMAG00000009550,ENSXMAG00000009791,ENSXMAG00000009880,ENSXMAG00000010199,ENSXMAG00000010241,ENSXMAG00000010515,ENSXMAG00000010851,ENSXMAG00000010900,ENSXMAG00000011132,ENSXMAG00000011392,ENSXMAG00000011552,ENSXMAG00000012051,ENSXMAG00000012122,ENSXMAG00000012123,ENSXMAG00000012427,ENSXMAG00000012608,ENSXMAG00000012635,ENSXMAG00000012775,ENSXMAG00000013102,ENSXMAG00000013304,ENSXMAG00000013493,ENSXMAG00000013703,ENSXMAG00000014002,ENSXMAG00000014057,ENSXMAG00000014126,ENSXMAG00000014437,ENSXMAG00000014454,ENSXMAG00000014460,ENSXMAG00000014549,ENSXMAG00000015078,ENSXMAG00000015100,ENSXMAG00000015152,ENSXMAG00000015491,ENSXMAG00000015797,ENSXMAG00000015819,ENSXMAG00000015876,ENSXMAG00000015898,ENSXMAG00000015990,ENSXMAG00000016243,ENSXMAG00000016375,ENSXMAG00000016384,ENSXMAG00000016625,ENSXMAG00000016693,ENSXMAG00000016907,ENSXMAG00000017092,ENSXMAG00000017148,ENSXMAG00000017274,ENSXMAG00000017429,ENSXMAG00000017442,ENSXMAG00000018428,ENSXMAG00000018590,ENSXMAG00000018648,ENSXMAG00000018972,ENSXMAG00000019200,ENSXMAG00000019281	taldo1,oxsr1a,RAB39B,ptdss2,ercc6l,CTDSPL2,ckmt2a,znf598,wdsub1,trnt1,NT5M,nosip,RANBP2,pak1,ALDH1L2,cdc14ab,AKT1,usp16,csk,pole,FBXO40,cyp20a1,tlk2,nagk,akr1b1.1,bdh1,ran,NRDC,srpk1a,aox1,phf8,tufm,PLD1,CREBBP,mink1,ATP11A,stk10,rhot1a,STT3B,TP53I3,CPS1,kat7b,sdhb,rhoab,psmc5,CNOT4,nkiras1,inpp5l,cyb5r3,cnot7,WNK2,smpd2a,atl2,iars2,phkg2,tsr3,TPP2,arih2,ch25hl2,PHOSPHO1,stub1,psmb5,PTPRM,DGKD,mical1,LARS1,MME,pfkfb4b,AAK1,ptpn4a,pde8a,senp5,ubr5,carm1,acad11,EPM2A,hm13,kdm5ba,ATAD2B,fkbp4,POLR1A,man1b1b,pcyox1,msl2b,araf,cybrd1,ppa2,phyhd1,ctdp1,mdh1aa,ruvbl2,pycr3,PKN1,MGAT5B,naa20,sgpl1,prdx3,gatb,ehmt2,ndst1a,limk1a,zgc:101765,lrwd1,ctbp1,MAST1,hectd1,USP32,UBE3A,atg3,bmp2k,MAN1B1,atg4c,ube4b,mtm1,sat1b,nudt9,adpgk,si:dkey-10o6.2,PIK3C2B,atp13a2,stk35,eef2kmt,dnm2a,lnx2b,adcy2b,npepps,mtr,ptp4a1,pomt2,MSRB1,ybey,TOP1,SHPRH,GALNT10,dicer1,prmt2,rab6bb,kdm2aa,vps4a,HERC2,gsr,trit1,UBR2,CAMKV,igf1rb,sec11a,KCNAB2,PIAS1,iars1,DHX8,eya3,anapc11,dnmt1,ftsj3,wscd2,erbb2,csnk1g2a,pola1,dpysl4,ADAMTS7,pip4k2aa,PIK3CA,PIK3R4,MAN2A2,OGDH,GAA,elp3,snrnp200,arl13b,ak4,TXNRD2,azin1a,cdk4,upf1,pomgnt2,lrrk2,JAK2,atp5f1c,trpt1,pak4,mmut,pip4p2,LCTL,acsl1b,mtmr3,WWP1,mfn2,KDM7A,notum2,tyro3,CDK19,KALRN,dffb,cad,MAST2,CENPV,MARK4,ephx2,GNPAT,MAST3,gne,PTK7,pgm3,ZDHHC14,psmb7,inpp5f,kdm1a,ebp,pcxb,pfkfb3,cbl,abcb7,psen1,HLCS,TARBP1,zgc:154142,slkb,HACD3,gsk3ab,HUWE1,sptlc2b,porb,top2a,dhx9,sms,hsd17b12b,zdhhc1,POLRMT,pde6ga,ephb4a,fkbp8,tnni3k,pdp1,rab11ba,asmtl,cdc42bpb,ocrl,UBR1,BMPR2,zdhhc5a,usp25,RNF5,ccdc57,ndufv1,galnt2,BRSK2,fa2h,fbxo30a,mical2b,atp10d,st6galnac1.1,arl3b,LONRF3,plcxd3,qars1,pofut2,nt5dc2,hsd17b4,lypla2,uros,ACADSB,dhtkd1,p4ha1a,extl3,arl2,bap1,capn7,P4HTM,usp9,mfn1b,atp2a1l,mocs1,MAP3K10,PDE8B,fnta,hmgcrb,USP31,SHMT2,ptpn23a,b3galt6,xrn2,aco2,POLG,eno2,tpi1a,dhx36,umps,alg6,ptgs2b,rnf19a,KSR2,tbk1,pcsk7,ADGB,csnk1db,EP300,mettl22,L3HYPDH,rab33ba,mpx,rab4b,ippk,PNPLA7,TLK1,map3k7,PIGO,prkcba,pi4k2b,pus10,ULK2,ppp5c,shmt2,zdhhc17,AGAP1,prkcaa,CLPX,rras2,KDM6A,tph1a,rnf217,PGAP1,nt5c2l1,dcp2,LONP1,AIPL1,cdk17,RNF146,rock2a,ATR,AMPD3,gars1,rhogc,fut11,zdhhc5b,uggt1,arl15a,pin4,kat6a,agbl5,nlk1,dhh,tlk1b,atp2a1,xylt2,TENT5D,pcif1,RNF123,LOXL4,neu3.1,zgc:92907,ATP11C,dhrs7,pnpo,acer3,KDM2B,rnpepl1,adam10a,PTEN,ikbkb,ipmkb,man1a2,DTX1,ctsba,dapk1,hacd3,arih1,dtx4a,chd1l,ppm1bb,rab36,pigk,tert,atp1a3a,pde6gb,PNPT1,gna13a,FUT8,GNA14,ATG7,npr1a,rbks,CHD7,insrb,shrprbck1r,fbxo18,CHDH
GO:0004088	0.0130906417560758	Inf	0.22893795485383	2	2	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	ENSXMAG00000016110,ENSXMAG00000005369	CPS1,cad
GO:0004372	0.0362807015134768	15.5032397408207	0.343406932280745	2	3	glycine hydroxymethyltransferase activity	ENSXMAG00000019034,ENSXMAG00000006123	SHMT2,shmt2
