"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"30261","GO:0016020","OTOF",7660,"ENSXMAG00000015543","ISA"
"30262","GO:0046872","OTOF",7660,"ENSXMAG00000015543","ISA"
"30263","GO:0098793","OTOF",7660,"ENSXMAG00000015543","ISA"
"30264","GO:0010996","OTOF",7660,"ENSXMAG00000015543","ISA"
"30265","GO:0050885","OTOF",7660,"ENSXMAG00000015543","ISA"
"30266","GO:0036465","OTOF",7660,"ENSXMAG00000015543","ISA"
"35297","GO:0003677","shox",795,"ENSXMAG00000001716","ISA"
"35298","GO:0006355","shox",795,"ENSXMAG00000001716","ISA"
"35299","GO:0005634","shox",795,"ENSXMAG00000001716","ISA"
"35300","GO:0000981","shox",795,"ENSXMAG00000001716","ISA"
"35301","GO:0006357","shox",795,"ENSXMAG00000001716","ISA"
"35302","GO:0001503","shox",795,"ENSXMAG00000001716","ISA"
"35303","GO:0008283","shox",795,"ENSXMAG00000001716","ISA"
"35304","GO:0030282","shox",795,"ENSXMAG00000001716","ISA"
"35305","GO:0033339","shox",795,"ENSXMAG00000001716","ISA"
"50515","GO:0007186","lpar5b",9918,"ENSXMAG00000020218","ISA"
"50516","GO:0016020","lpar5b",9918,"ENSXMAG00000020218","ISA"
"50517","GO:0004930","lpar5b",9918,"ENSXMAG00000020218","ISA"
"53251","GO:0008083","fgf17",2005,"ENSXMAG00000003974","ISA"
"53252","GO:0007165","fgf17",2005,"ENSXMAG00000003974","ISA"
"53253","GO:0007399","fgf17",2005,"ENSXMAG00000003974","ISA"
"53254","GO:0007498","fgf17",2005,"ENSXMAG00000003974","ISA"
"53255","GO:0009952","fgf17",2005,"ENSXMAG00000003974","ISA"
"53256","GO:0042664","fgf17",2005,"ENSXMAG00000003974","ISA"
"56466","GO:0016020","tm4sf21b",4082,"ENSXMAG00000008218","ISA"
"57368","GO:0016829","irg1l",4661,"ENSXMAG00000009409","ISA"
"58928","GO:0016020","sv2ba",5746,"ENSXMAG00000011573","ISA"
"58929","GO:0055085","sv2ba",5746,"ENSXMAG00000011573","ISA"
"58930","GO:0022857","sv2ba",5746,"ENSXMAG00000011573","ISA"
"58931","GO:0007268","sv2ba",5746,"ENSXMAG00000011573","ISA"
"58932","GO:0045202","sv2ba",5746,"ENSXMAG00000011573","ISA"
"62145","GO:0007165","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62146","GO:0007186","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62147","GO:0016020","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62148","GO:0005886","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62149","GO:0004930","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62150","GO:0004985","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62151","GO:0038003","oprd1b",7774,"ENSXMAG00000015741","ISA"
"62152","GO:0071315","oprd1b",7774,"ENSXMAG00000015741","ISA"
"63435","GO:0007165","exorh",8583,"ENSXMAG00000017297","ISA"
"63436","GO:0007186","exorh",8583,"ENSXMAG00000017297","ISA"
"63437","GO:0016020","exorh",8583,"ENSXMAG00000017297","ISA"
"63438","GO:0046872","exorh",8583,"ENSXMAG00000017297","ISA"
"63439","GO:0004930","exorh",8583,"ENSXMAG00000017297","ISA"
"63440","GO:0050896","exorh",8583,"ENSXMAG00000017297","ISA"
"63441","GO:0007601","exorh",8583,"ENSXMAG00000017297","ISA"
"63442","GO:0009881","exorh",8583,"ENSXMAG00000017297","ISA"
"63443","GO:0007602","exorh",8583,"ENSXMAG00000017297","ISA"
"65357","GO:0046983","bhlhe23",9816,"ENSXMAG00000019916","ISA"
"65664","GO:0007165","or15.37",9921,"ENSXMAG00000020222","ISA"
"65665","GO:0007186","or15.37",9921,"ENSXMAG00000020222","ISA"
"65666","GO:0016020","or15.37",9921,"ENSXMAG00000020222","ISA"
"65667","GO:0005886","or15.37",9921,"ENSXMAG00000020222","ISA"
"65668","GO:0004930","or15.37",9921,"ENSXMAG00000020222","ISA"
"65669","GO:0004984","or15.37",9921,"ENSXMAG00000020222","ISA"
"65670","GO:0007608","or15.37",9921,"ENSXMAG00000020222","ISA"
"65671","GO:0050896","or15.37",9921,"ENSXMAG00000020222","ISA"
"65672","GO:0050911","or15.37",9921,"ENSXMAG00000020222","ISA"
