"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"105","GO:0016020","slc15a4",56,"ENSXMAG00000000131","ISA"
"106","GO:0055085","slc15a4",56,"ENSXMAG00000000131","ISA"
"107","GO:0022857","slc15a4",56,"ENSXMAG00000000131","ISA"
"108","GO:0015293","slc15a4",56,"ENSXMAG00000000131","ISA"
"109","GO:0006857","slc15a4",56,"ENSXMAG00000000131","ISA"
"2260","GO:0003676","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2261","GO:0004523","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2262","GO:0046872","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2263","GO:0016787","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2264","GO:0000287","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2265","GO:0004518","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2266","GO:0004519","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"2267","GO:0090502","rnaseh1",1154,"ENSXMAG00000002357","ISA"
"5254","GO:0005737","eef1b2",3048,"ENSXMAG00000006050","ISA"
"5255","GO:0003746","eef1b2",3048,"ENSXMAG00000006050","ISA"
"5256","GO:0006412","eef1b2",3048,"ENSXMAG00000006050","ISA"
"5257","GO:0006414","eef1b2",3048,"ENSXMAG00000006050","ISA"
"5258","GO:0005853","eef1b2",3048,"ENSXMAG00000006050","ISA"
"6377","GO:0016020","ifngr2",3682,"ENSXMAG00000007398","ISA"
"6378","GO:0005515","ifngr2",3682,"ENSXMAG00000007398","ISA"
"8083","GO:0016020","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8084","GO:0005886","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8085","GO:0005216","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8086","GO:0006811","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8087","GO:0004888","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8088","GO:0005230","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8089","GO:0034220","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8090","GO:0045202","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8091","GO:0045211","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8092","GO:1902476","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8093","GO:0004890","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8094","GO:0005254","gabrr2a",4575,"ENSXMAG00000009234","ISA"
"8095","GO:0006821","gabrr2a",4575,"ENSXMAG00000009234","ISA"
