"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"50","GO:0016020","STX2",29,"ENSXMAG00000000062","ISA"
"51","GO:0006886","STX2",29,"ENSXMAG00000000062","ISA"
"52","GO:0016192","STX2",29,"ENSXMAG00000000062","ISA"
"53","GO:0005484","STX2",29,"ENSXMAG00000000062","ISA"
"54","GO:0061025","STX2",29,"ENSXMAG00000000062","ISA"
"159","GO:0016020","armh3",103,"ENSXMAG00000000219","ISA"
"495","GO:0003677","tbx2a",227,"ENSXMAG00000000486","ISA"
"496","GO:0003700","tbx2a",227,"ENSXMAG00000000486","ISA"
"497","GO:0006355","tbx2a",227,"ENSXMAG00000000486","ISA"
"498","GO:0005634","tbx2a",227,"ENSXMAG00000000486","ISA"
"499","GO:0045893","tbx2a",227,"ENSXMAG00000000486","ISA"
"500","GO:0000978","tbx2a",227,"ENSXMAG00000000486","ISA"
"501","GO:0009790","tbx2a",227,"ENSXMAG00000000486","ISA"
"502","GO:0003205","tbx2a",227,"ENSXMAG00000000486","ISA"
"503","GO:0035050","tbx2a",227,"ENSXMAG00000000486","ISA"
"504","GO:0048793","tbx2a",227,"ENSXMAG00000000486","ISA"
"505","GO:0060037","tbx2a",227,"ENSXMAG00000000486","ISA"
"506","GO:0072019","tbx2a",227,"ENSXMAG00000000486","ISA"
"507","GO:0072068","tbx2a",227,"ENSXMAG00000000486","ISA"
"545","GO:0000166","tkfc",250,"ENSXMAG00000000517","ISA"
"546","GO:0005524","tkfc",250,"ENSXMAG00000000517","ISA"
"547","GO:0016301","tkfc",250,"ENSXMAG00000000517","ISA"
"548","GO:0016740","tkfc",250,"ENSXMAG00000000517","ISA"
"549","GO:0016310","tkfc",250,"ENSXMAG00000000517","ISA"
"550","GO:0004371","tkfc",250,"ENSXMAG00000000517","ISA"
"551","GO:0006071","tkfc",250,"ENSXMAG00000000517","ISA"
"552","GO:0034012","tkfc",250,"ENSXMAG00000000517","ISA"
"572","GO:0016020","MLLT10",261,"ENSXMAG00000000542","ISA"
"573","GO:0046872","MLLT10",261,"ENSXMAG00000000542","ISA"
"574","GO:0060070","MLLT10",261,"ENSXMAG00000000542","ISA"
"575","GO:0060729","MLLT10",261,"ENSXMAG00000000542","ISA"
"740","GO:0016020","sgce",333,"ENSXMAG00000000709","ISA"
"741","GO:0005856","sgce",333,"ENSXMAG00000000709","ISA"
"742","GO:0005886","sgce",333,"ENSXMAG00000000709","ISA"
"743","GO:0016012","sgce",333,"ENSXMAG00000000709","ISA"
"781","GO:0000287","eno4",363,"ENSXMAG00000000773","ISA"
"782","GO:0006096","eno4",363,"ENSXMAG00000000773","ISA"
"783","GO:0016829","eno4",363,"ENSXMAG00000000773","ISA"
"784","GO:0004634","eno4",363,"ENSXMAG00000000773","ISA"
"785","GO:0000015","eno4",363,"ENSXMAG00000000773","ISA"
"923","GO:0000166","DNAH5",405,"ENSXMAG00000000884","ISA"
"924","GO:0005524","DNAH5",405,"ENSXMAG00000000884","ISA"
"925","GO:0005737","DNAH5",405,"ENSXMAG00000000884","ISA"
"926","GO:0005856","DNAH5",405,"ENSXMAG00000000884","ISA"
"927","GO:0005874","DNAH5",405,"ENSXMAG00000000884","ISA"
"928","GO:0007018","DNAH5",405,"ENSXMAG00000000884","ISA"
"929","GO:0008569","DNAH5",405,"ENSXMAG00000000884","ISA"
"930","GO:0030286","DNAH5",405,"ENSXMAG00000000884","ISA"
"931","GO:0051959","DNAH5",405,"ENSXMAG00000000884","ISA"
"932","GO:0045505","DNAH5",405,"ENSXMAG00000000884","ISA"
"933","GO:0005930","DNAH5",405,"ENSXMAG00000000884","ISA"
"957","GO:0016020","mppe1",425,"ENSXMAG00000000933","ISA"
"958","GO:0005794","mppe1",425,"ENSXMAG00000000933","ISA"
"959","GO:0008081","mppe1",425,"ENSXMAG00000000933","ISA"
"960","GO:0016787","mppe1",425,"ENSXMAG00000000933","ISA"
"961","GO:0006506","mppe1",425,"ENSXMAG00000000933","ISA"
"962","GO:0006888","mppe1",425,"ENSXMAG00000000933","ISA"
"963","GO:0005793","mppe1",425,"ENSXMAG00000000933","ISA"
"964","GO:0033116","mppe1",425,"ENSXMAG00000000933","ISA"
"1016","GO:0016020","snx10a",463,"ENSXMAG00000001035","ISA"
"1017","GO:0006886","snx10a",463,"ENSXMAG00000001035","ISA"
"1018","GO:0035091","snx10a",463,"ENSXMAG00000001035","ISA"
"1019","GO:0005768","snx10a",463,"ENSXMAG00000001035","ISA"
"1020","GO:0001947","snx10a",463,"ENSXMAG00000001035","ISA"
"1021","GO:0060271","snx10a",463,"ENSXMAG00000001035","ISA"
"1022","GO:0070121","snx10a",463,"ENSXMAG00000001035","ISA"
"1023","GO:0070986","snx10a",463,"ENSXMAG00000001035","ISA"
"1048","GO:0000166","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1049","GO:0004672","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1050","GO:0005524","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1051","GO:0006468","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1052","GO:0000165","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1053","GO:0004707","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1054","GO:0016301","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1055","GO:0016740","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1056","GO:0016310","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1057","GO:0004674","zgc:171775",483,"ENSXMAG00000001076","ISA"
"1234","GO:0015377","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1235","GO:0015379","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1236","GO:0022857","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1237","GO:0055085","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1238","GO:0006811","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1239","GO:0016020","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1240","GO:0071805","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1241","GO:0006813","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1242","GO:0015293","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1243","GO:1902476","SLC12A6",552,"ENSXMAG00000001221","ISA"
"1342","GO:0016020","GGA1",601,"ENSXMAG00000001318","ISA"
"1343","GO:0006886","GGA1",601,"ENSXMAG00000001318","ISA"
"1344","GO:0015031","GGA1",601,"ENSXMAG00000001318","ISA"
"1345","GO:0016192","GGA1",601,"ENSXMAG00000001318","ISA"
"1346","GO:0005794","GGA1",601,"ENSXMAG00000001318","ISA"
"1347","GO:0005802","GGA1",601,"ENSXMAG00000001318","ISA"
"1348","GO:0035091","GGA1",601,"ENSXMAG00000001318","ISA"
"1349","GO:0043130","GGA1",601,"ENSXMAG00000001318","ISA"
"1350","GO:0010008","GGA1",601,"ENSXMAG00000001318","ISA"
"1351","GO:0031901","GGA1",601,"ENSXMAG00000001318","ISA"
"1352","GO:0031267","GGA1",601,"ENSXMAG00000001318","ISA"
"1353","GO:0051641","GGA1",601,"ENSXMAG00000001318","ISA"
"1380","GO:0005198","inab",623,"ENSXMAG00000001377","ISA"
"1381","GO:0005882","inab",623,"ENSXMAG00000001377","ISA"
"1382","GO:0048812","inab",623,"ENSXMAG00000001377","ISA"
"1631","GO:0046872","gmpr2",772,"ENSXMAG00000001666","ISA"
"1632","GO:0003824","gmpr2",772,"ENSXMAG00000001666","ISA"
"1633","GO:0016491","gmpr2",772,"ENSXMAG00000001666","ISA"
"1634","GO:0009117","gmpr2",772,"ENSXMAG00000001666","ISA"
"1635","GO:0006144","gmpr2",772,"ENSXMAG00000001666","ISA"
"1636","GO:0003920","gmpr2",772,"ENSXMAG00000001666","ISA"
"1637","GO:0006163","gmpr2",772,"ENSXMAG00000001666","ISA"
"1638","GO:1902560","gmpr2",772,"ENSXMAG00000001666","ISA"
"1893","GO:0000166","PRKDC",898,"ENSXMAG00000001907","ISA"
"1894","GO:0005524","PRKDC",898,"ENSXMAG00000001907","ISA"
