"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"940","GO:0016020","sun1b",413,"ENSXMAG00000000898","ISA"
"1975","GO:0003924","MRAS",925,"ENSXMAG00000001962","ISA"
"1976","GO:0007165","MRAS",925,"ENSXMAG00000001962","ISA"
"1977","GO:0016020","MRAS",925,"ENSXMAG00000001962","ISA"
"1978","GO:0005525","MRAS",925,"ENSXMAG00000001962","ISA"
"1979","GO:0003925","MRAS",925,"ENSXMAG00000001962","ISA"
"2060","GO:0016020","TAPT1",1009,"ENSXMAG00000002104","ISA"
"2061","GO:0051216","TAPT1",1009,"ENSXMAG00000002104","ISA"
"2062","GO:0001503","TAPT1",1009,"ENSXMAG00000002104","ISA"
"2574","GO:0000166","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2575","GO:0005524","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2576","GO:0008017","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2577","GO:0003774","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2578","GO:0003777","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2579","GO:0007018","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2580","GO:0005515","KIF21A",1353,"ENSXMAG00000002728","ISA"
"2581","GO:0048731","KIF21A",1353,"ENSXMAG00000002728","ISA"
"3471","GO:0016020","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3472","GO:0046872","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3473","GO:0006886","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3474","GO:0006887","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3475","GO:0045202","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3476","GO:0005515","RIMS2",1979,"ENSXMAG00000003924","ISA"
"3477","GO:0031267","RIMS2",1979,"ENSXMAG00000003924","ISA"
"5119","GO:0016020","surf1",2936,"ENSXMAG00000005824","ISA"
"5120","GO:0005739","surf1",2936,"ENSXMAG00000005824","ISA"
"5121","GO:0005743","surf1",2936,"ENSXMAG00000005824","ISA"
"5831","GO:0046872","EGLN1",3359,"ENSXMAG00000006729","ISA"
"5832","GO:0005506","EGLN1",3359,"ENSXMAG00000006729","ISA"
"5833","GO:0016705","EGLN1",3359,"ENSXMAG00000006729","ISA"
"5834","GO:0016491","EGLN1",3359,"ENSXMAG00000006729","ISA"
"5835","GO:0051213","EGLN1",3359,"ENSXMAG00000006729","ISA"
"5836","GO:0031418","EGLN1",3359,"ENSXMAG00000006729","ISA"
"7138","GO:0070072","ccdc115",4039,"ENSXMAG00000008131","ISA"
"8135","GO:0016020","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8136","GO:0016787","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8137","GO:0004721","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8138","GO:0004725","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8139","GO:0016791","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8140","GO:0006470","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8141","GO:0016311","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8142","GO:0005515","PTPRO",4607,"ENSXMAG00000009306","ISA"
"8645","GO:0007186","adgrg6",4960,"ENSXMAG00000009992","ISA"
"8646","GO:0016020","adgrg6",4960,"ENSXMAG00000009992","ISA"
"8647","GO:0005886","adgrg6",4960,"ENSXMAG00000009992","ISA"
"8648","GO:0004930","adgrg6",4960,"ENSXMAG00000009992","ISA"
"8649","GO:0004888","adgrg6",4960,"ENSXMAG00000009992","ISA"
"8650","GO:0007166","adgrg6",4960,"ENSXMAG00000009992","ISA"
"12784","GO:0003676","parn",7285,"ENSXMAG00000014783","ISA"
"12785","GO:0005737","parn",7285,"ENSXMAG00000014783","ISA"
"12786","GO:0046872","parn",7285,"ENSXMAG00000014783","ISA"
"12787","GO:0016787","parn",7285,"ENSXMAG00000014783","ISA"
"12788","GO:0005634","parn",7285,"ENSXMAG00000014783","ISA"
"12789","GO:0003723","parn",7285,"ENSXMAG00000014783","ISA"
"12790","GO:0004518","parn",7285,"ENSXMAG00000014783","ISA"
"12791","GO:0090503","parn",7285,"ENSXMAG00000014783","ISA"
"12792","GO:0006402","parn",7285,"ENSXMAG00000014783","ISA"
"12793","GO:0004527","parn",7285,"ENSXMAG00000014783","ISA"
"12794","GO:0004535","parn",7285,"ENSXMAG00000014783","ISA"
"13063","GO:0003677","kdm2ba",7483,"ENSXMAG00000015174","ISA"
"13064","GO:0046872","kdm2ba",7483,"ENSXMAG00000015174","ISA"
"13065","GO:0008270","kdm2ba",7483,"ENSXMAG00000015174","ISA"
"13066","GO:0005515","kdm2ba",7483,"ENSXMAG00000015174","ISA"
"13067","GO:0019538","kdm2ba",7483,"ENSXMAG00000015174","ISA"
"13226","GO:0042981","DLG5",7553,"ENSXMAG00000015335","ISA"
"13227","GO:0005515","DLG5",7553,"ENSXMAG00000015335","ISA"
"13328","GO:0003677","zhx3b",7618,"ENSXMAG00000015457","ISA"
"13329","GO:0005634","zhx3b",7618,"ENSXMAG00000015457","ISA"
"14094","GO:0000166","DHX30",8093,"ENSXMAG00000016336","ISA"
"14095","GO:0003676","DHX30",8093,"ENSXMAG00000016336","ISA"
"14096","GO:0005524","DHX30",8093,"ENSXMAG00000016336","ISA"
"14097","GO:0016787","DHX30",8093,"ENSXMAG00000016336","ISA"
"14098","GO:0004386","DHX30",8093,"ENSXMAG00000016336","ISA"
"14099","GO:0003724","DHX30",8093,"ENSXMAG00000016336","ISA"
"14100","GO:0035176","DHX30",8093,"ENSXMAG00000016336","ISA"
"14101","GO:0042749","DHX30",8093,"ENSXMAG00000016336","ISA"
"14102","GO:1900034","DHX30",8093,"ENSXMAG00000016336","ISA"
"14161","GO:0046872","USP19",8132,"ENSXMAG00000016414","ISA"
"14162","GO:0004843","USP19",8132,"ENSXMAG00000016414","ISA"
"14163","GO:0006511","USP19",8132,"ENSXMAG00000016414","ISA"
"14164","GO:0016579","USP19",8132,"ENSXMAG00000016414","ISA"
"14165","GO:0016020","USP19",8132,"ENSXMAG00000016414","ISA"
"16395","GO:0005737","NLRC3",9413,"ENSXMAG00000018992","ISA"
"16396","GO:0042981","NLRC3",9413,"ENSXMAG00000018992","ISA"
"16397","GO:0002376","NLRC3",9413,"ENSXMAG00000018992","ISA"
"16398","GO:0045087","NLRC3",9413,"ENSXMAG00000018992","ISA"
"16399","GO:0005515","NLRC3",9413,"ENSXMAG00000018992","ISA"
"16453","GO:0005634","RALGAPA2",9458,"ENSXMAG00000019065","ISA"
"16454","GO:0005096","RALGAPA2",9458,"ENSXMAG00000019065","ISA"
"16455","GO:0043547","RALGAPA2",9458,"ENSXMAG00000019065","ISA"
"16456","GO:0051056","RALGAPA2",9458,"ENSXMAG00000019065","ISA"
"17225","GO:0005856","LMOD2",43,"ENSXMAG00000000109","ISA"
"17226","GO:0005523","LMOD2",43,"ENSXMAG00000000109","ISA"
"17227","GO:0051694","LMOD2",43,"ENSXMAG00000000109","ISA"
"17277","GO:0030837","kank2",86,"ENSXMAG00000000190","ISA"
"17278","GO:0032836","kank2",86,"ENSXMAG00000000190","ISA"
"17279","GO:0072015","kank2",86,"ENSXMAG00000000190","ISA"
"17280","GO:0005515","kank2",86,"ENSXMAG00000000190","ISA"
"17670","GO:0005634","nup58",339,"ENSXMAG00000000717","ISA"
"17671","GO:0015031","nup58",339,"ENSXMAG00000000717","ISA"
"17672","GO:0017056","nup58",339,"ENSXMAG00000000717","ISA"
"17673","GO:0005643","nup58",339,"ENSXMAG00000000717","ISA"
"17674","GO:0006913","nup58",339,"ENSXMAG00000000717","ISA"
"17675","GO:0008139","nup58",339,"ENSXMAG00000000717","ISA"
"17676","GO:0005635","nup58",339,"ENSXMAG00000000717","ISA"
"17911","GO:0046872","zc3h15",443,"ENSXMAG00000000989","ISA"
"17940","GO:0007015","FSCN1",446,"ENSXMAG00000000999","ISA"
"17941","GO:0005737","FSCN1",446,"ENSXMAG00000000999","ISA"
"17942","GO:0005856","FSCN1",446,"ENSXMAG00000000999","ISA"
"17943","GO:0003779","FSCN1",446,"ENSXMAG00000000999","ISA"
"17944","GO:0051015","FSCN1",446,"ENSXMAG00000000999","ISA"
"17945","GO:0030674","FSCN1",446,"ENSXMAG00000000999","ISA"
"18997","GO:0003676","METTL4",1071,"ENSXMAG00000002213","ISA"
"18998","GO:0008168","METTL4",1071,"ENSXMAG00000002213","ISA"
"18999","GO:0032259","METTL4",1071,"ENSXMAG00000002213","ISA"
"19000","GO:0008757","METTL4",1071,"ENSXMAG00000002213","ISA"
"19001","GO:0043414","METTL4",1071,"ENSXMAG00000002213","ISA"
"19002","GO:0140640","METTL4",1071,"ENSXMAG00000002213","ISA"
"19003","GO:0009451","METTL4",1071,"ENSXMAG00000002213","ISA"
"19861","GO:0004843","usp47",1578,"ENSXMAG00000003148","ISA"
"19862","GO:0006511","usp47",1578,"ENSXMAG00000003148","ISA"
"19863","GO:0016579","usp47",1578,"ENSXMAG00000003148","ISA"
"19963","GO:0043087","RASAL2",1653,"ENSXMAG00000003297","ISA"
"19964","GO:0005096","RASAL2",1653,"ENSXMAG00000003297","ISA"
"20049","GO:0006811","ATP6V1C1",1680,"ENSXMAG00000003348","ISA"
"20050","GO:0046961","ATP6V1C1",1680,"ENSXMAG00000003348","ISA"
"20051","GO:1902600","ATP6V1C1",1680,"ENSXMAG00000003348","ISA"
"20052","GO:0033180","ATP6V1C1",1680,"ENSXMAG00000003348","ISA"
"20053","GO:0015078","ATP6V1C1",1680,"ENSXMAG00000003348","ISA"
