"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"2989","GO:0003924","rab25a",1623,"ENSXMAG00000003233","ISA"
"2990","GO:0005525","rab25a",1623,"ENSXMAG00000003233","ISA"
"2991","GO:0030866","rab25a",1623,"ENSXMAG00000003233","ISA"
"2992","GO:0032465","rab25a",1623,"ENSXMAG00000003233","ISA"
"2993","GO:2001135","rab25a",1623,"ENSXMAG00000003233","ISA"
"7588","GO:0016020","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"7589","GO:0005886","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"7590","GO:0035725","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"7591","GO:0044341","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"7592","GO:0005436","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"7593","GO:0016324","SLC34A1",4333,"ENSXMAG00000008720","ISA"
"37620","GO:0016020","xkr6b",2152,"ENSXMAG00000004252","ISA"
"37621","GO:0005886","xkr6b",2152,"ENSXMAG00000004252","ISA"
"38913","GO:0016020","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38914","GO:0005576","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38915","GO:0005102","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38916","GO:0016055","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38917","GO:0007275","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38918","GO:0048513","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38919","GO:0010468","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38920","GO:0060070","wnt3a",2918,"ENSXMAG00000005789","ISA"
"38929","GO:0003677","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38930","GO:0003700","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38931","GO:0006355","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38932","GO:0005634","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38933","GO:0014032","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38934","GO:0014036","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38935","GO:0043049","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38936","GO:0060788","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38937","GO:0071696","tfap2c",2927,"ENSXMAG00000005803","ISA"
"38938","GO:0071698","tfap2c",2927,"ENSXMAG00000005803","ISA"
"40087","GO:0016020","cldn8.2",3638,"ENSXMAG00000007306","ISA"
"40088","GO:0005886","cldn8.2",3638,"ENSXMAG00000007306","ISA"
"40089","GO:0005198","cldn8.2",3638,"ENSXMAG00000007306","ISA"
"40090","GO:0005923","cldn8.2",3638,"ENSXMAG00000007306","ISA"
"40091","GO:0070161","cldn8.2",3638,"ENSXMAG00000007306","ISA"
"41287","GO:0000166","ACLY",4367,"ENSXMAG00000008800","ISA"
"41288","GO:0005737","ACLY",4367,"ENSXMAG00000008800","ISA"
"41289","GO:0046872","ACLY",4367,"ENSXMAG00000008800","ISA"
"41290","GO:0003824","ACLY",4367,"ENSXMAG00000008800","ISA"
"41291","GO:0005524","ACLY",4367,"ENSXMAG00000008800","ISA"
"41292","GO:0016740","ACLY",4367,"ENSXMAG00000008800","ISA"
"41293","GO:0006629","ACLY",4367,"ENSXMAG00000008800","ISA"
