"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"2450","GO:0005634","nop53",1277,"ENSXMAG00000002589","ISA"
"2451","GO:0042254","nop53",1277,"ENSXMAG00000002589","ISA"
"2452","GO:0005730","nop53",1277,"ENSXMAG00000002589","ISA"
"2453","GO:0005654","nop53",1277,"ENSXMAG00000002589","ISA"
"2454","GO:0000027","nop53",1277,"ENSXMAG00000002589","ISA"
"6411","GO:0000166","riok2",3696,"ENSXMAG00000007425","ISA"
"6412","GO:0004672","riok2",3696,"ENSXMAG00000007425","ISA"
"6413","GO:0005524","riok2",3696,"ENSXMAG00000007425","ISA"
"6414","GO:0006468","riok2",3696,"ENSXMAG00000007425","ISA"
"6415","GO:0046872","riok2",3696,"ENSXMAG00000007425","ISA"
"6416","GO:0016301","riok2",3696,"ENSXMAG00000007425","ISA"
"6417","GO:0016740","riok2",3696,"ENSXMAG00000007425","ISA"
"6418","GO:0016310","riok2",3696,"ENSXMAG00000007425","ISA"
"6419","GO:0004674","riok2",3696,"ENSXMAG00000007425","ISA"
"8562","GO:0000166","cdk8",4923,"ENSXMAG00000009914","ISA"
"8563","GO:0004672","cdk8",4923,"ENSXMAG00000009914","ISA"
"8564","GO:0005524","cdk8",4923,"ENSXMAG00000009914","ISA"
"8565","GO:0006468","cdk8",4923,"ENSXMAG00000009914","ISA"
"8566","GO:0005737","cdk8",4923,"ENSXMAG00000009914","ISA"
"8567","GO:0004674","cdk8",4923,"ENSXMAG00000009914","ISA"
"13052","GO:0006511","CUL3",7477,"ENSXMAG00000015159","ISA"
"13053","GO:0016567","CUL3",7477,"ENSXMAG00000015159","ISA"
"13054","GO:0031625","CUL3",7477,"ENSXMAG00000015159","ISA"
"13055","GO:0031461","CUL3",7477,"ENSXMAG00000015159","ISA"
"13197","GO:0005634","prpf40a",7539,"ENSXMAG00000015299","ISA"
"13198","GO:0045292","prpf40a",7539,"ENSXMAG00000015299","ISA"
"13199","GO:0005515","prpf40a",7539,"ENSXMAG00000015299","ISA"
"13317","GO:0000166","MTG2",7612,"ENSXMAG00000015450","ISA"
"13318","GO:0003924","MTG2",7612,"ENSXMAG00000015450","ISA"
"13319","GO:0005525","MTG2",7612,"ENSXMAG00000015450","ISA"
"13320","GO:0000287","MTG2",7612,"ENSXMAG00000015450","ISA"
"13321","GO:0042254","MTG2",7612,"ENSXMAG00000015450","ISA"
"14032","GO:0005515","rrp9",8073,"ENSXMAG00000016308","ISA"
"16216","GO:0016020","maco1b",9296,"ENSXMAG00000018786","ISA"
"16217","GO:0005634","maco1b",9296,"ENSXMAG00000018786","ISA"
"16218","GO:0005783","maco1b",9296,"ENSXMAG00000018786","ISA"
"16219","GO:0005789","maco1b",9296,"ENSXMAG00000018786","ISA"
"16220","GO:0031965","maco1b",9296,"ENSXMAG00000018786","ISA"
"16221","GO:0023041","maco1b",9296,"ENSXMAG00000018786","ISA"
"16222","GO:0030867","maco1b",9296,"ENSXMAG00000018786","ISA"
"17054","GO:0006408","phax",9911,"ENSXMAG00000020204","ISA"
"17055","GO:0005634","phax",9911,"ENSXMAG00000020204","ISA"
"17056","GO:0005737","phax",9911,"ENSXMAG00000020204","ISA"
"17057","GO:0015031","phax",9911,"ENSXMAG00000020204","ISA"
"17058","GO:0003723","phax",9911,"ENSXMAG00000020204","ISA"
"17112","GO:0006364","rrp15",9955,"ENSXMAG00000020298","ISA"
"20172","GO:0003723","atxn2",1750,"ENSXMAG00000003481","ISA"
"20766","GO:0005737","RPL5",2074,"ENSXMAG00000004091","ISA"
"20767","GO:0003735","RPL5",2074,"ENSXMAG00000004091","ISA"
"20768","GO:0006412","RPL5",2074,"ENSXMAG00000004091","ISA"
"20769","GO:0005840","RPL5",2074,"ENSXMAG00000004091","ISA"
"20770","GO:0008097","RPL5",2074,"ENSXMAG00000004091","ISA"
"20771","GO:1990904","RPL5",2074,"ENSXMAG00000004091","ISA"
"22124","GO:0045162","SCLT1",2843,"ENSXMAG00000005636","ISA"
"22720","GO:0030544","dnajc2",3198,"ENSXMAG00000006390","ISA"
"22721","GO:0005737","dnajc2",3198,"ENSXMAG00000006390","ISA"
"22722","GO:0043022","dnajc2",3198,"ENSXMAG00000006390","ISA"
"22723","GO:0005829","dnajc2",3198,"ENSXMAG00000006390","ISA"
"22724","GO:0006450","dnajc2",3198,"ENSXMAG00000006390","ISA"
"22725","GO:0051083","dnajc2",3198,"ENSXMAG00000006390","ISA"
"23668","GO:0003676","tfip11",3745,"ENSXMAG00000007524","ISA"
"23669","GO:0005634","tfip11",3745,"ENSXMAG00000007524","ISA"
"23670","GO:0006397","tfip11",3745,"ENSXMAG00000007524","ISA"
"23671","GO:0008380","tfip11",3745,"ENSXMAG00000007524","ISA"
"23672","GO:0005681","tfip11",3745,"ENSXMAG00000007524","ISA"
"23673","GO:0006807","tfip11",3745,"ENSXMAG00000007524","ISA"
"23674","GO:0044238","tfip11",3745,"ENSXMAG00000007524","ISA"
"23675","GO:0043170","tfip11",3745,"ENSXMAG00000007524","ISA"
"23676","GO:0000390","tfip11",3745,"ENSXMAG00000007524","ISA"
"24111","GO:0046872","pef1",4057,"ENSXMAG00000008164","ISA"
"24112","GO:0005509","pef1",4057,"ENSXMAG00000008164","ISA"
"24128","GO:0006355","lrrfip2",4066,"ENSXMAG00000008181","ISA"
"24871","GO:0005634","RSBN1L",4517,"ENSXMAG00000009125","ISA"
"27099","GO:0003676","fxr2",5801,"ENSXMAG00000011669","ISA"
"27100","GO:0005737","fxr2",5801,"ENSXMAG00000011669","ISA"
"27101","GO:0003723","fxr2",5801,"ENSXMAG00000011669","ISA"
"27102","GO:0006417","fxr2",5801,"ENSXMAG00000011669","ISA"
"27103","GO:0003729","fxr2",5801,"ENSXMAG00000011669","ISA"
"28890","GO:0019905","txlng",6825,"ENSXMAG00000013855","ISA"
"29529","GO:0000166","riok1",7180,"ENSXMAG00000014572","ISA"
"29530","GO:0005524","riok1",7180,"ENSXMAG00000014572","ISA"
"29531","GO:0005737","riok1",7180,"ENSXMAG00000014572","ISA"
"29532","GO:0046872","riok1",7180,"ENSXMAG00000014572","ISA"
"29533","GO:0016787","riok1",7180,"ENSXMAG00000014572","ISA"
"29534","GO:0016301","riok1",7180,"ENSXMAG00000014572","ISA"
"29535","GO:0016740","riok1",7180,"ENSXMAG00000014572","ISA"
"29536","GO:0016310","riok1",7180,"ENSXMAG00000014572","ISA"
"29537","GO:0004674","riok1",7180,"ENSXMAG00000014572","ISA"
"29538","GO:0042254","riok1",7180,"ENSXMAG00000014572","ISA"
"29539","GO:0106310","riok1",7180,"ENSXMAG00000014572","ISA"
"29748","GO:0046872","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29749","GO:0016787","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29750","GO:0004721","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29751","GO:0006470","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29752","GO:0043169","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29753","GO:0004722","ppm1g",7344,"ENSXMAG00000014897","ISA"
"29754","GO:0007417","ppm1g",7344,"ENSXMAG00000014897","ISA"
"50934","GO:0003676","htatsf1",231,"ENSXMAG00000000490","ISA"
"50935","GO:0003723","htatsf1",231,"ENSXMAG00000000490","ISA"
"50936","GO:0000398","htatsf1",231,"ENSXMAG00000000490","ISA"
"55648","GO:0003729","zgc:158803",3446,"ENSXMAG00000006903","ISA"
"55649","GO:0006376","zgc:158803",3446,"ENSXMAG00000006903","ISA"
"55650","GO:0005685","zgc:158803",3446,"ENSXMAG00000006903","ISA"
"62350","GO:0005515","znf131",7880,"ENSXMAG00000015940","ISA"
