GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003724	0.041567564510585	2.36320352153798	3.25644504748982	7	48	RNA helicase activity	ENSXMAG00000004847,ENSXMAG00000005078,ENSXMAG00000013293,ENSXMAG00000018853,ENSXMAG00000008138,ENSXMAG00000008312,ENSXMAG00000004555	DHX29,ddx17,dhx16,ddx19b,ddx42,ddx46,DDX1
GO:0003756	0.0088430623859586	10.3560329067642	0.474898236092266	3	7	protein disulfide isomerase activity	ENSXMAG00000005999,ENSXMAG00000017501,ENSXMAG00000000792	txndc5,pdia8,pdia5
GO:0003887	0.0431151709917837	4.59963436928702	0.814111261872456	3	12	DNA-directed DNA polymerase activity	ENSXMAG00000005603,ENSXMAG00000007601,ENSXMAG00000014540	primpol,dntt,polb
GO:0004016	0.00200537401485099	11.0652014652015	0.610583446404342	4	9	adenylate cyclase activity	ENSXMAG00000006304,ENSXMAG00000006920,ENSXMAG00000016360,ENSXMAG00000017286	adcy1a,adcy8,adcy7,ADCY6
GO:0004386	0.00607942918236184	2.41504655493482	5.97014925373134	13	88	helicase activity	ENSXMAG00000004847,ENSXMAG00000005078,ENSXMAG00000012613,ENSXMAG00000013293,ENSXMAG00000013600,ENSXMAG00000018853,ENSXMAG00000001847,ENSXMAG00000008138,ENSXMAG00000008312,ENSXMAG00000015625,ENSXMAG00000010009,ENSXMAG00000003946,ENSXMAG00000004555	DHX29,ddx17,DHX32,dhx16,DDX24,ddx19b,ruvbl1,ddx42,ddx46,xrcc5,ddx51,pif1,DDX1
GO:0004645	0.0251464726759549	13.786496350365	0.271370420624152	2	4	1,4-alpha-oligoglucan phosphorylase activity	ENSXMAG00000007739,ENSXMAG00000011040	pygmb,pygma
GO:0004842	0.0248265943070806	1.9643146303943	7.12347354138399	13	105	ubiquitin-protein transferase activity	ENSXMAG00000008313,ENSXMAG00000008753,ENSXMAG00000009868,ENSXMAG00000010629,ENSXMAG00000012825,ENSXMAG00000015255,ENSXMAG00000007223,ENSXMAG00000010830,ENSXMAG00000014263,ENSXMAG00000018747,ENSXMAG00000003878,ENSXMAG00000007202,ENSXMAG00000008728	smurf2,uhrf1,herc3,dtx3,HECTD2,dtx2,fancl,trip12,ANKIB1,RNF40,prkn,TRIM3,UBE4A
GO:0005216	0.034963240177063	1.53765470946088	17.0963364993216	25	252	ion channel activity	ENSXMAG00000005701,ENSXMAG00000007895,ENSXMAG00000009607,ENSXMAG00000012211,ENSXMAG00000015171,ENSXMAG00000017268,ENSXMAG00000018363,ENSXMAG00000019257,ENSXMAG00000003226,ENSXMAG00000010055,ENSXMAG00000011387,ENSXMAG00000015525,ENSXMAG00000015884,ENSXMAG00000016609,ENSXMAG00000000515,ENSXMAG00000001583,ENSXMAG00000003342,ENSXMAG00000004418,ENSXMAG00000012145,ENSXMAG00000017065,ENSXMAG00000017195,ENSXMAG00000018611,ENSXMAG00000005616,ENSXMAG00000008788,ENSXMAG00000012341	p2rx1,SCN8A,kcnk1b,kcnk10b,tmem63c,CACNA2D2,GRID1,glra1,KCNMA1,ATP6V1A,TMEM38B,trpm6,glrba,cacnb2b,chrna7a,kcnc3b,KCNT1,HCN1,kcnj13,kcnh1a,GRIK5,kcnk5a,chrnb3a,KCNN1,clcnk
GO:0005231	0.0491157832675833	2.76403669724771	2.03527815468114	5	30	excitatory extracellular ligand-gated ion channel activity	ENSXMAG00000005701,ENSXMAG00000019257,ENSXMAG00000015884,ENSXMAG00000000515,ENSXMAG00000005616	p2rx1,glra1,glrba,chrna7a,chrnb3a
GO:0005237	0.0131631173740932	27.5766423357664	0.203527815468114	2	3	inhibitory extracellular ligand-gated ion channel activity	ENSXMAG00000019257,ENSXMAG00000015884	glra1,glrba
