"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"41479","GO:0003677","NFATC1",4499,"ENSXMAG00000009087","ISA"
"41480","GO:0003700","NFATC1",4499,"ENSXMAG00000009087","ISA"
"41481","GO:0006355","NFATC1",4499,"ENSXMAG00000009087","ISA"
"41482","GO:0110165","NFATC1",4499,"ENSXMAG00000009087","ISA"
"43522","GO:0016020","SEZ6L2",5745,"ENSXMAG00000011571","ISA"
"45262","GO:0008083","fgf11a",6739,"ENSXMAG00000013668","ISA"
"45263","GO:0007165","fgf11a",6739,"ENSXMAG00000013668","ISA"
"47966","GO:0003700","mespba",8424,"ENSXMAG00000016981","ISA"
"47967","GO:0005634","mespba",8424,"ENSXMAG00000016981","ISA"
"47968","GO:0046983","mespba",8424,"ENSXMAG00000016981","ISA"
"47969","GO:0006355","mespba",8424,"ENSXMAG00000016981","ISA"
"50686","GO:0016020","zgc:113223",50,"ENSXMAG00000000120","ISA"
"52722","GO:0016020","ch25hl1.2",1506,"ENSXMAG00000003017","ISA"
"52723","GO:0005506","ch25hl1.2",1506,"ENSXMAG00000003017","ISA"
"52724","GO:0016491","ch25hl1.2",1506,"ENSXMAG00000003017","ISA"
"52725","GO:0008610","ch25hl1.2",1506,"ENSXMAG00000003017","ISA"
"53675","GO:0016020","cdh1",2281,"ENSXMAG00000004500","ISA"
"53676","GO:0005886","cdh1",2281,"ENSXMAG00000004500","ISA"
"53677","GO:0007155","cdh1",2281,"ENSXMAG00000004500","ISA"
"53678","GO:0005509","cdh1",2281,"ENSXMAG00000004500","ISA"
"53679","GO:0007156","cdh1",2281,"ENSXMAG00000004500","ISA"
"53680","GO:0098609","cdh1",2281,"ENSXMAG00000004500","ISA"
"53681","GO:0060429","cdh1",2281,"ENSXMAG00000004500","ISA"
"57621","GO:0046872","PPM1K",4861,"ENSXMAG00000009792","ISA"
"57622","GO:0016787","PPM1K",4861,"ENSXMAG00000009792","ISA"
"57623","GO:0004721","PPM1K",4861,"ENSXMAG00000009792","ISA"
"57624","GO:0006470","PPM1K",4861,"ENSXMAG00000009792","ISA"
"57625","GO:0043169","PPM1K",4861,"ENSXMAG00000009792","ISA"
"57626","GO:0004722","PPM1K",4861,"ENSXMAG00000009792","ISA"
"59049","GO:0006096","aldoca",5830,"ENSXMAG00000011729","ISA"
"59050","GO:0016829","aldoca",5830,"ENSXMAG00000011729","ISA"
"59051","GO:0004332","aldoca",5830,"ENSXMAG00000011729","ISA"
"59098","GO:0016020","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59099","GO:0006813","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59100","GO:0006811","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59101","GO:0006814","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59102","GO:0005890","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59103","GO:0001964","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59104","GO:0007507","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59105","GO:0042472","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59106","GO:0048840","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"59107","GO:0048923","atp1b2b",5868,"ENSXMAG00000011811","ISA"
"63752","GO:0016020","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"63753","GO:0005886","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"63754","GO:0017154","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"63755","GO:0071526","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"63756","GO:0007411","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"63757","GO:0005515","PLXNA2",8809,"ENSXMAG00000017769","ISA"
"64027","GO:0003677","SMARCE1",8998,"ENSXMAG00000018179","ISA"
"64028","GO:0005634","SMARCE1",8998,"ENSXMAG00000018179","ISA"
"64239","GO:0005509","matn3b",9156,"ENSXMAG00000018481","ISA"
"64240","GO:0005576","matn3b",9156,"ENSXMAG00000018481","ISA"
"64241","GO:0048513","matn3b",9156,"ENSXMAG00000018481","ISA"
"64871","GO:0016787","si:dkey-72l14.3",9614,"ENSXMAG00000019362","ISA"
"64872","GO:0016798","si:dkey-72l14.3",9614,"ENSXMAG00000019362","ISA"
"64873","GO:0005975","si:dkey-72l14.3",9614,"ENSXMAG00000019362","ISA"
"64874","GO:0008152","si:dkey-72l14.3",9614,"ENSXMAG00000019362","ISA"
"64875","GO:0004415","si:dkey-72l14.3",9614,"ENSXMAG00000019362","ISA"
"65571","GO:0046983","FERD3L",9890,"ENSXMAG00000020141","ISA"
"65626","GO:0007165","or70b1",9910,"ENSXMAG00000020197","ISA"
"65627","GO:0007186","or70b1",9910,"ENSXMAG00000020197","ISA"
"65628","GO:0016020","or70b1",9910,"ENSXMAG00000020197","ISA"
"65629","GO:0004930","or70b1",9910,"ENSXMAG00000020197","ISA"
"65630","GO:0004984","or70b1",9910,"ENSXMAG00000020197","ISA"
"65631","GO:0050911","or70b1",9910,"ENSXMAG00000020197","ISA"
