GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000463	0.0194937678364882	12.7481203007519	0.227955769776014	2	6	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ENSXMAG00000002921,ENSXMAG00000010409	rpl35,rpl7
GO:0000470	0.0194937678364882	12.7481203007519	0.227955769776014	2	6	maturation of LSU-rRNA	ENSXMAG00000002921,ENSXMAG00000010409	rpl35,rpl7
GO:0002262	0.00138882201313374	4.76265376083888	1.7096682733201	7	45	myeloid cell homeostasis	ENSXMAG00000002921,ENSXMAG00000006553,ENSXMAG00000012175,ENSXMAG00000012396,ENSXMAG00000015532,ENSXMAG00000015871,ENSXMAG00000004894	rpl35,rps14,rps9,rpl18,rplp1,sptb,rps15a
GO:0002520	0.0272196782497309	2.04677658651289	5.69889424440034	11	150	immune system development	ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000004585,ENSXMAG00000006553,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012396,ENSXMAG00000015532,ENSXMAG00000015871,ENSXMAG00000004894,ENSXMAG00000016881	rps7,rpl35,rpl22,rps14,rpl22l1,rps9,rpl18,rplp1,sptb,rps15a,taf3
GO:0006359	0.0379926282960023	Inf	0.0379926282960023	1	1	regulation of transcription by RNA polymerase III	ENSXMAG00000002299	maf1b
GO:0006383	0.0346065934408007	8.49624060150376	0.303941026368018	2	8	transcription by RNA polymerase III	ENSXMAG00000002299,ENSXMAG00000004604	maf1b,polr3f
GO:0006396	0.0418720099157123	1.65365504275035	10.7899064360646	17	284	RNA processing	ENSXMAG00000000787,ENSXMAG00000001862,ENSXMAG00000002921,ENSXMAG00000004585,ENSXMAG00000006645,ENSXMAG00000010409,ENSXMAG00000011483,ENSXMAG00000012049,ENSXMAG00000013125,ENSXMAG00000016967,ENSXMAG00000017733,ENSXMAG00000005737,ENSXMAG00000007383,ENSXMAG00000009245,ENSXMAG00000019205,ENSXMAG00000008415,ENSXMAG00000013463	ago2,puf60b,rpl35,rpl22,nol11,rpl7,nop2,rpl22l1,tyw1,rngtt,gcfc2,SYMPK,papolg,utp25,trmt10c,ints10,rbm8a
GO:0006412	4.24018613436648e-23	8.52032218445631	7.67451091579246	45	202	translation	ENSXMAG00000000787,ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000005141,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000008099,ENSXMAG00000008471,ENSXMAG00000008940,ENSXMAG00000009240,ENSXMAG00000009586,ENSXMAG00000010070,ENSXMAG00000010836,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014999,ENSXMAG00000015293,ENSXMAG00000015532,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000003221,ENSXMAG00000004894,ENSXMAG00000005190,ENSXMAG00000007975,ENSXMAG00000017217,ENSXMAG00000005178,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000002821,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000017136	ago2,rps7,rpl35,rpl5b,rps24,rpl22,rps3,rpl10,rpl37,rps6,rps14,zgc:114188,rps3a,rpl19,rack1,rps11,rpl9,eef1g,rpl23a,rpl22l1,rps9,rps13,rpl18,rpl39,rps15,rps28,rps5,rps8a,eif4eb,rplp1,rps27a,rpl36a,rpl14,rpl13,rps15a,rpl28,rpl36,rpl38,RPL27A,rpl26,rplp2,rpl18a,rpl17,rpl31,rpl15
GO:0006414	0.0334885336973981	4.79009433962264	0.721859937624043	3	19	translational elongation	ENSXMAG00000010070,ENSXMAG00000015532,ENSXMAG00000011027	eef1g,rplp1,rplp2
GO:0006518	2.14510397765324e-21	7.57873012637587	8.3963708534165	45	221	peptide metabolic process	ENSXMAG00000000787,ENSXMAG00000002346,ENSXMAG00000002921,ENSXMAG00000003143,ENSXMAG00000003162,ENSXMAG00000004585,ENSXMAG00000004703,ENSXMAG00000004788,ENSXMAG00000005141,ENSXMAG00000005833,ENSXMAG00000006553,ENSXMAG00000006593,ENSXMAG00000008099,ENSXMAG00000008471,ENSXMAG00000008940,ENSXMAG00000009240,ENSXMAG00000009586,ENSXMAG00000010070,ENSXMAG00000010836,ENSXMAG00000012049,ENSXMAG00000012175,ENSXMAG00000012360,ENSXMAG00000012396,ENSXMAG00000013690,ENSXMAG00000013910,ENSXMAG00000013950,ENSXMAG00000014201,ENSXMAG00000014999,ENSXMAG00000015293,ENSXMAG00000015532,ENSXMAG00000000171,ENSXMAG00000000305,ENSXMAG00000000361,ENSXMAG00000003221,ENSXMAG00000004894,ENSXMAG00000005190,ENSXMAG00000007975,ENSXMAG00000017217,ENSXMAG00000005178,ENSXMAG00000010281,ENSXMAG00000011027,ENSXMAG00000002821,ENSXMAG00000012219,ENSXMAG00000012419,ENSXMAG00000017136	ago2,rps7,rpl35,rpl5b,rps24,rpl22,rps3,rpl10,rpl37,rps6,rps14,zgc:114188,rps3a,rpl19,rack1,rps11,rpl9,eef1g,rpl23a,rpl22l1,rps9,rps13,rpl18,rpl39,rps15,rps28,rps5,rps8a,eif4eb,rplp1,rps27a,rpl36a,rpl14,rpl13,rps15a,rpl28,rpl36,rpl38,RPL27A,rpl26,rplp2,rpl18a,rpl17,rpl31,rpl15
