"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"8","GO:0016020","MADD",3,"ENSXMAG00000000012","ISA"
"9","GO:0005737","MADD",3,"ENSXMAG00000000012","ISA"
"10","GO:0005886","MADD",3,"ENSXMAG00000000012","ISA"
"11","GO:0006915","MADD",3,"ENSXMAG00000000012","ISA"
"12","GO:0005085","MADD",3,"ENSXMAG00000000012","ISA"
"28","GO:0003677","arl14ep",6,"ENSXMAG00000000016","ISA"
"62","GO:0003677","poll",34,"ENSXMAG00000000075","ISA"
"63","GO:0005634","poll",34,"ENSXMAG00000000075","ISA"
"64","GO:0046872","poll",34,"ENSXMAG00000000075","ISA"
"65","GO:0016740","poll",34,"ENSXMAG00000000075","ISA"
"66","GO:0006260","poll",34,"ENSXMAG00000000075","ISA"
"67","GO:0003887","poll",34,"ENSXMAG00000000075","ISA"
"68","GO:0016779","poll",34,"ENSXMAG00000000075","ISA"
"69","GO:0034061","poll",34,"ENSXMAG00000000075","ISA"
"70","GO:0006259","poll",34,"ENSXMAG00000000075","ISA"
"71","GO:0006281","poll",34,"ENSXMAG00000000075","ISA"
"72","GO:0006974","poll",34,"ENSXMAG00000000075","ISA"
"73","GO:0071897","poll",34,"ENSXMAG00000000075","ISA"
"87","GO:0005737","mgrn1b",49,"ENSXMAG00000000117","ISA"
"88","GO:0046872","mgrn1b",49,"ENSXMAG00000000117","ISA"
"89","GO:0016740","mgrn1b",49,"ENSXMAG00000000117","ISA"
"90","GO:0016567","mgrn1b",49,"ENSXMAG00000000117","ISA"
"91","GO:0061630","mgrn1b",49,"ENSXMAG00000000117","ISA"
"92","GO:0004842","mgrn1b",49,"ENSXMAG00000000117","ISA"
"104","GO:0016757","GLT1D1",55,"ENSXMAG00000000129","ISA"
"144","GO:0001525","angptl2b",92,"ENSXMAG00000000203","ISA"
"145","GO:0002244","angptl2b",92,"ENSXMAG00000000203","ISA"
"146","GO:0045747","angptl2b",92,"ENSXMAG00000000203","ISA"
"147","GO:0060216","angptl2b",92,"ENSXMAG00000000203","ISA"
"148","GO:0016020","jupa",97,"ENSXMAG00000000209","ISA"
"149","GO:0007155","jupa",97,"ENSXMAG00000000209","ISA"
"150","GO:0045296","jupa",97,"ENSXMAG00000000209","ISA"
"151","GO:0005515","jupa",97,"ENSXMAG00000000209","ISA"
"160","GO:0000166","TYK2",104,"ENSXMAG00000000220","ISA"
"161","GO:0016020","TYK2",104,"ENSXMAG00000000220","ISA"
"162","GO:0004672","TYK2",104,"ENSXMAG00000000220","ISA"
"163","GO:0005524","TYK2",104,"ENSXMAG00000000220","ISA"
"164","GO:0006468","TYK2",104,"ENSXMAG00000000220","ISA"
"165","GO:0004713","TYK2",104,"ENSXMAG00000000220","ISA"
"166","GO:0005856","TYK2",104,"ENSXMAG00000000220","ISA"
"167","GO:0016301","TYK2",104,"ENSXMAG00000000220","ISA"
"168","GO:0016740","TYK2",104,"ENSXMAG00000000220","ISA"
"169","GO:0016310","TYK2",104,"ENSXMAG00000000220","ISA"
"170","GO:0035556","TYK2",104,"ENSXMAG00000000220","ISA"
"171","GO:0004715","TYK2",104,"ENSXMAG00000000220","ISA"
"172","GO:0012505","TYK2",104,"ENSXMAG00000000220","ISA"
"173","GO:0016020","emp2",105,"ENSXMAG00000000221","ISA"
"174","GO:0003093","emp2",105,"ENSXMAG00000000221","ISA"
"246","GO:0016787","ctdsplb",130,"ENSXMAG00000000280","ISA"
"247","GO:0004721","ctdsplb",130,"ENSXMAG00000000280","ISA"
"248","GO:0016791","ctdsplb",130,"ENSXMAG00000000280","ISA"
"249","GO:0008420","ctdsplb",130,"ENSXMAG00000000280","ISA"
"250","GO:0006357","ctdsplb",130,"ENSXMAG00000000280","ISA"
"251","GO:0004722","ctdsplb",130,"ENSXMAG00000000280","ISA"
"252","GO:0017018","ctdsplb",130,"ENSXMAG00000000280","ISA"
"253","GO:0005576","COL12A1",132,"ENSXMAG00000000284","ISA"
"254","GO:0005581","COL12A1",132,"ENSXMAG00000000284","ISA"
"255","GO:0005515","COL12A1",132,"ENSXMAG00000000284","ISA"
"256","GO:0110165","COL12A1",132,"ENSXMAG00000000284","ISA"
"257","GO:0016020","nsg2",136,"ENSXMAG00000000291","ISA"
"258","GO:0032051","nsg2",136,"ENSXMAG00000000291","ISA"
