"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"81","GO:0016020","slc2a15b",47,"ENSXMAG00000000115","ISA"
"82","GO:0055085","slc2a15b",47,"ENSXMAG00000000115","ISA"
"83","GO:0022857","slc2a15b",47,"ENSXMAG00000000115","ISA"
"175","GO:0016020","GRIN2A",106,"ENSXMAG00000000222","ISA"
"176","GO:0005886","GRIN2A",106,"ENSXMAG00000000222","ISA"
"177","GO:0005216","GRIN2A",106,"ENSXMAG00000000222","ISA"
"178","GO:0006811","GRIN2A",106,"ENSXMAG00000000222","ISA"
"179","GO:0038023","GRIN2A",106,"ENSXMAG00000000222","ISA"
"180","GO:0055085","GRIN2A",106,"ENSXMAG00000000222","ISA"
"181","GO:0045202","GRIN2A",106,"ENSXMAG00000000222","ISA"
"182","GO:0045211","GRIN2A",106,"ENSXMAG00000000222","ISA"
"183","GO:0004970","GRIN2A",106,"ENSXMAG00000000222","ISA"
"184","GO:0015276","GRIN2A",106,"ENSXMAG00000000222","ISA"
"185","GO:0034220","GRIN2A",106,"ENSXMAG00000000222","ISA"
"186","GO:0035235","GRIN2A",106,"ENSXMAG00000000222","ISA"
"187","GO:0097060","GRIN2A",106,"ENSXMAG00000000222","ISA"
"188","GO:0017146","GRIN2A",106,"ENSXMAG00000000222","ISA"
"189","GO:0022890","GRIN2A",106,"ENSXMAG00000000222","ISA"
"217","GO:0007624","ENOX2",111,"ENSXMAG00000000239","ISA"
"218","GO:0003676","ENOX2",111,"ENSXMAG00000000239","ISA"
"219","GO:0003723","ENOX2",111,"ENSXMAG00000000239","ISA"
"220","GO:0016491","ENOX2",111,"ENSXMAG00000000239","ISA"
"221","GO:0009897","ENOX2",111,"ENSXMAG00000000239","ISA"
"237","GO:0016020","atp6ap1a",126,"ENSXMAG00000000272","ISA"
"389","GO:0046872","ablim3",210,"ENSXMAG00000000456","ISA"
"390","GO:0048513","ablim3",210,"ENSXMAG00000000456","ISA"
"658","GO:0003676","msi2a",293,"ENSXMAG00000000608","ISA"
"659","GO:0005737","msi2a",293,"ENSXMAG00000000608","ISA"
"660","GO:0003723","msi2a",293,"ENSXMAG00000000608","ISA"
"1047","GO:0044599","ap5z1",480,"ENSXMAG00000001068","ISA"
"1110","GO:0003677","polm",512,"ENSXMAG00000001138","ISA"
"1111","GO:0005634","polm",512,"ENSXMAG00000001138","ISA"
"1112","GO:0046872","polm",512,"ENSXMAG00000001138","ISA"
"1113","GO:0016740","polm",512,"ENSXMAG00000001138","ISA"
"1114","GO:0003887","polm",512,"ENSXMAG00000001138","ISA"
"1115","GO:0016779","polm",512,"ENSXMAG00000001138","ISA"
"1116","GO:0034061","polm",512,"ENSXMAG00000001138","ISA"
"1117","GO:0006259","polm",512,"ENSXMAG00000001138","ISA"
"1118","GO:0006281","polm",512,"ENSXMAG00000001138","ISA"
"1119","GO:0071897","polm",512,"ENSXMAG00000001138","ISA"
"1298","GO:0016020","clic3",574,"ENSXMAG00000001265","ISA"
"1299","GO:1902476","clic3",574,"ENSXMAG00000001265","ISA"
"1300","GO:0005254","clic3",574,"ENSXMAG00000001265","ISA"
"1301","GO:0006821","clic3",574,"ENSXMAG00000001265","ISA"
"1302","GO:0034707","clic3",574,"ENSXMAG00000001265","ISA"
"1605","GO:0000166","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1606","GO:0016020","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1607","GO:0004672","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1608","GO:0005524","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1609","GO:0006468","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1610","GO:0005737","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1611","GO:0004674","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1612","GO:0004675","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1613","GO:0007178","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1614","GO:0046872","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1615","GO:0016301","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1616","GO:0016740","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1617","GO:0016310","bmpr1bb",761,"ENSXMAG00000001635","ISA"
"1711","GO:0016020","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1712","GO:0046872","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1713","GO:0016787","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1714","GO:0008270","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1715","GO:0004222","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1716","GO:0006508","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1717","GO:0008233","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1718","GO:0008237","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1719","GO:0045766","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1720","GO:0005515","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1721","GO:0048856","mep1a.2",821,"ENSXMAG00000001763","ISA"
"1722","GO:0016020","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1723","GO:0046872","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1724","GO:0016787","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1725","GO:0008270","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1726","GO:0004222","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1727","GO:0006508","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1728","GO:0008233","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1729","GO:0008237","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1730","GO:0005515","mep1a.1",824,"ENSXMAG00000001768","ISA"
"1757","GO:0016020","TMEM184C",851,"ENSXMAG00000001820","ISA"
"1758","GO:0110165","TMEM184C",851,"ENSXMAG00000001820","ISA"
"1967","GO:0046872","prickle2b",923,"ENSXMAG00000001960","ISA"
"1968","GO:0008270","prickle2b",923,"ENSXMAG00000001960","ISA"
"1969","GO:0003407","prickle2b",923,"ENSXMAG00000001960","ISA"
"1970","GO:0032402","prickle2b",923,"ENSXMAG00000001960","ISA"
"1971","GO:0060271","prickle2b",923,"ENSXMAG00000001960","ISA"
"1972","GO:0070121","prickle2b",923,"ENSXMAG00000001960","ISA"
"1973","GO:0048513","prickle2b",923,"ENSXMAG00000001960","ISA"
"1991","GO:0007186","pth2ra",933,"ENSXMAG00000001976","ISA"
"1992","GO:0016020","pth2ra",933,"ENSXMAG00000001976","ISA"
"1993","GO:0005886","pth2ra",933,"ENSXMAG00000001976","ISA"
"1994","GO:0004930","pth2ra",933,"ENSXMAG00000001976","ISA"
"1995","GO:0004888","pth2ra",933,"ENSXMAG00000001976","ISA"
"1996","GO:0007166","pth2ra",933,"ENSXMAG00000001976","ISA"
"2243","GO:0016787","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2244","GO:0003824","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2245","GO:0016791","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2246","GO:0046856","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2247","GO:0004445","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2248","GO:0052658","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2249","GO:0052659","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2250","GO:0110165","inpp5ka",1144,"ENSXMAG00000002328","ISA"
"2373","GO:0006809","nos1",1235,"ENSXMAG00000002504","ISA"
"2374","GO:0004517","nos1",1235,"ENSXMAG00000002504","ISA"
"2375","GO:0046872","nos1",1235,"ENSXMAG00000002504","ISA"
"2376","GO:0005516","nos1",1235,"ENSXMAG00000002504","ISA"
"2377","GO:0020037","nos1",1235,"ENSXMAG00000002504","ISA"
"2378","GO:0016491","nos1",1235,"ENSXMAG00000002504","ISA"
"2379","GO:0050660","nos1",1235,"ENSXMAG00000002504","ISA"
"2380","GO:0010181","nos1",1235,"ENSXMAG00000002504","ISA"
"2381","GO:0050661","nos1",1235,"ENSXMAG00000002504","ISA"
"2382","GO:0001889","nos1",1235,"ENSXMAG00000002504","ISA"
"2383","GO:0007210","nos1",1235,"ENSXMAG00000002504","ISA"
"2384","GO:0007263","nos1",1235,"ENSXMAG00000002504","ISA"
"2385","GO:0021517","nos1",1235,"ENSXMAG00000002504","ISA"
"2386","GO:0048668","nos1",1235,"ENSXMAG00000002504","ISA"
"2387","GO:0060218","nos1",1235,"ENSXMAG00000002504","ISA"
"2388","GO:0005515","nos1",1235,"ENSXMAG00000002504","ISA"
"2389","GO:0042383","nos1",1235,"ENSXMAG00000002504","ISA"
"2390","GO:0043197","nos1",1235,"ENSXMAG00000002504","ISA"
"2395","GO:0016192","hps1",1247,"ENSXMAG00000002534","ISA"
"2831","GO:0004672","SCYL1",1530,"ENSXMAG00000003069","ISA"
"2832","GO:0005524","SCYL1",1530,"ENSXMAG00000003069","ISA"
"2833","GO:0006468","SCYL1",1530,"ENSXMAG00000003069","ISA"
"3147","GO:0005737","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3148","GO:0005856","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3149","GO:0003779","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3150","GO:0034314","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3151","GO:0005885","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3152","GO:0015629","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3153","GO:0005515","arpc1a",1731,"ENSXMAG00000003448","ISA"
"3245","GO:0005737","ELMO2",1830,"ENSXMAG00000003634","ISA"
"3246","GO:0006915","ELMO2",1830,"ENSXMAG00000003634","ISA"
"3247","GO:0017124","ELMO2",1830,"ENSXMAG00000003634","ISA"
"3248","GO:0006909","ELMO2",1830,"ENSXMAG00000003634","ISA"
