"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1","GO:0005737","bbox1",1,"ENSXMAG00000000010","ISA"
"2","GO:0046872","bbox1",1,"ENSXMAG00000000010","ISA"
"3","GO:0005506","bbox1",1,"ENSXMAG00000000010","ISA"
"4","GO:0016491","bbox1",1,"ENSXMAG00000000010","ISA"
"5","GO:0051213","bbox1",1,"ENSXMAG00000000010","ISA"
"6","GO:0008336","bbox1",1,"ENSXMAG00000000010","ISA"
"7","GO:0045329","bbox1",1,"ENSXMAG00000000010","ISA"
"436","GO:0016020","itga11a",223,"ENSXMAG00000000479","ISA"
"437","GO:0046872","itga11a",223,"ENSXMAG00000000479","ISA"
"438","GO:0007155","itga11a",223,"ENSXMAG00000000479","ISA"
"439","GO:0007229","itga11a",223,"ENSXMAG00000000479","ISA"
"440","GO:0008305","itga11a",223,"ENSXMAG00000000479","ISA"
"489","GO:0046872","ppm1db",226,"ENSXMAG00000000484","ISA"
"490","GO:0016787","ppm1db",226,"ENSXMAG00000000484","ISA"
"491","GO:0004721","ppm1db",226,"ENSXMAG00000000484","ISA"
"492","GO:0006470","ppm1db",226,"ENSXMAG00000000484","ISA"
"493","GO:0043169","ppm1db",226,"ENSXMAG00000000484","ISA"
"494","GO:0004722","ppm1db",226,"ENSXMAG00000000484","ISA"
"690","GO:0003779","zgc:86896",303,"ENSXMAG00000000643","ISA"
"691","GO:0034314","zgc:86896",303,"ENSXMAG00000000643","ISA"
"692","GO:0005885","zgc:86896",303,"ENSXMAG00000000643","ISA"
"693","GO:0015629","zgc:86896",303,"ENSXMAG00000000643","ISA"
"694","GO:0005515","zgc:86896",303,"ENSXMAG00000000643","ISA"
"770","GO:0016020","ano1a",354,"ENSXMAG00000000754","ISA"
"771","GO:0046983","ano1a",354,"ENSXMAG00000000754","ISA"
"777","GO:0032790","gfm2",362,"ENSXMAG00000000772","ISA"
"778","GO:0005739","gfm2",362,"ENSXMAG00000000772","ISA"
"779","GO:0005525","gfm2",362,"ENSXMAG00000000772","ISA"
"780","GO:0003924","gfm2",362,"ENSXMAG00000000772","ISA"
"839","GO:0003677","rag1",381,"ENSXMAG00000000820","ISA"
"840","GO:0005634","rag1",381,"ENSXMAG00000000820","ISA"
"841","GO:0046872","rag1",381,"ENSXMAG00000000820","ISA"
"842","GO:0016787","rag1",381,"ENSXMAG00000000820","ISA"
"843","GO:0008152","rag1",381,"ENSXMAG00000000820","ISA"
"844","GO:0016740","rag1",381,"ENSXMAG00000000820","ISA"
"845","GO:0003824","rag1",381,"ENSXMAG00000000820","ISA"
"846","GO:0006325","rag1",381,"ENSXMAG00000000820","ISA"
"847","GO:0043565","rag1",381,"ENSXMAG00000000820","ISA"
"848","GO:0008270","rag1",381,"ENSXMAG00000000820","ISA"
"849","GO:0004518","rag1",381,"ENSXMAG00000000820","ISA"
"850","GO:0004519","rag1",381,"ENSXMAG00000000820","ISA"
"851","GO:0006310","rag1",381,"ENSXMAG00000000820","ISA"
"852","GO:0061630","rag1",381,"ENSXMAG00000000820","ISA"
"853","GO:0004842","rag1",381,"ENSXMAG00000000820","ISA"
"854","GO:0010390","rag1",381,"ENSXMAG00000000820","ISA"
"855","GO:0042803","rag1",381,"ENSXMAG00000000820","ISA"
"856","GO:0042393","rag1",381,"ENSXMAG00000000820","ISA"
"857","GO:0030183","rag1",381,"ENSXMAG00000000820","ISA"
"858","GO:0033077","rag1",381,"ENSXMAG00000000820","ISA"
"859","GO:0033151","rag1",381,"ENSXMAG00000000820","ISA"
"860","GO:0016020","accs",382,"ENSXMAG00000000823","ISA"
"861","GO:0003824","accs",382,"ENSXMAG00000000823","ISA"
"862","GO:0030170","accs",382,"ENSXMAG00000000823","ISA"
"863","GO:0009058","accs",382,"ENSXMAG00000000823","ISA"
"1012","GO:0005634","cbx3a",460,"ENSXMAG00000001027","ISA"
"1013","GO:0000792","cbx3a",460,"ENSXMAG00000001027","ISA"
"1062","GO:0007165","ltb4r",490,"ENSXMAG00000001091","ISA"
"1063","GO:0007186","ltb4r",490,"ENSXMAG00000001091","ISA"
"1064","GO:0016020","ltb4r",490,"ENSXMAG00000001091","ISA"
"1065","GO:0005886","ltb4r",490,"ENSXMAG00000001091","ISA"
"1066","GO:0004930","ltb4r",490,"ENSXMAG00000001091","ISA"
"1067","GO:0001632","ltb4r",490,"ENSXMAG00000001091","ISA"
"1068","GO:0004974","ltb4r",490,"ENSXMAG00000001091","ISA"
"1069","GO:0055113","ltb4r",490,"ENSXMAG00000001091","ISA"
"1070","GO:0061737","ltb4r",490,"ENSXMAG00000001091","ISA"
"1071","GO:0009986","ltb4r",490,"ENSXMAG00000001091","ISA"
"1186","GO:0003677","dek",525,"ENSXMAG00000001162","ISA"
"1187","GO:0005634","dek",525,"ENSXMAG00000001162","ISA"
"1188","GO:0006325","dek",525,"ENSXMAG00000001162","ISA"
"1248","GO:0016020","CERS3",554,"ENSXMAG00000001224","ISA"
"1249","GO:0003677","CERS3",554,"ENSXMAG00000001224","ISA"
"1250","GO:0005634","CERS3",554,"ENSXMAG00000001224","ISA"
"1251","GO:0005789","CERS3",554,"ENSXMAG00000001224","ISA"
"1252","GO:0006665","CERS3",554,"ENSXMAG00000001224","ISA"
"1253","GO:0046513","CERS3",554,"ENSXMAG00000001224","ISA"
"1254","GO:0050291","CERS3",554,"ENSXMAG00000001224","ISA"
"1399","GO:0005634","tsr1",635,"ENSXMAG00000001397","ISA"
"1400","GO:0042254","tsr1",635,"ENSXMAG00000001397","ISA"
"1401","GO:0005730","tsr1",635,"ENSXMAG00000001397","ISA"
"1402","GO:0000166","camk1gb",638,"ENSXMAG00000001406","ISA"
"1403","GO:0004672","camk1gb",638,"ENSXMAG00000001406","ISA"
"1404","GO:0005524","camk1gb",638,"ENSXMAG00000001406","ISA"
"1405","GO:0006468","camk1gb",638,"ENSXMAG00000001406","ISA"
"1406","GO:0005737","camk1gb",638,"ENSXMAG00000001406","ISA"
"1407","GO:0004674","camk1gb",638,"ENSXMAG00000001406","ISA"
"1408","GO:0045475","camk1gb",638,"ENSXMAG00000001406","ISA"
"1419","GO:0016462","nudt4a",640,"ENSXMAG00000001409","ISA"
"1420","GO:0016787","nudt4a",640,"ENSXMAG00000001409","ISA"
"1506","GO:0016020","mybpc1",690,"ENSXMAG00000001498","ISA"
