"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"26137","GO:0016020","slc1a7a",5257,"ENSXMAG00000010563","ISA"
"26138","GO:0015293","slc1a7a",5257,"ENSXMAG00000010563","ISA"
"26139","GO:1902475","slc1a7a",5257,"ENSXMAG00000010563","ISA"
"29106","GO:0005737","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29107","GO:0046872","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29108","GO:0005794","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29109","GO:0042995","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29110","GO:0016567","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29111","GO:0048471","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29112","GO:0005515","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29113","GO:0030027","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"29114","GO:0009966","sh3rf1",6971,"ENSXMAG00000014129","ISA"
"33038","GO:0000166","sting1",9312,"ENSXMAG00000018826","ISA"
"33039","GO:0016020","sting1",9312,"ENSXMAG00000018826","ISA"
"33040","GO:0002218","sting1",9312,"ENSXMAG00000018826","ISA"
"33041","GO:0048471","sting1",9312,"ENSXMAG00000018826","ISA"
"33042","GO:0033116","sting1",9312,"ENSXMAG00000018826","ISA"
"33043","GO:0002230","sting1",9312,"ENSXMAG00000018826","ISA"
"33044","GO:0009615","sting1",9312,"ENSXMAG00000018826","ISA"
"33045","GO:0010506","sting1",9312,"ENSXMAG00000018826","ISA"
"33046","GO:0016239","sting1",9312,"ENSXMAG00000018826","ISA"
"33047","GO:0032481","sting1",9312,"ENSXMAG00000018826","ISA"
"33048","GO:0038061","sting1",9312,"ENSXMAG00000018826","ISA"
"33049","GO:0045087","sting1",9312,"ENSXMAG00000018826","ISA"
"33050","GO:0005783","sting1",9312,"ENSXMAG00000018826","ISA"
"33051","GO:0000421","sting1",9312,"ENSXMAG00000018826","ISA"
"33052","GO:0002753","sting1",9312,"ENSXMAG00000018826","ISA"
"35674","GO:0005509","anxa5a",984,"ENSXMAG00000002063","ISA"
"35675","GO:0005544","anxa5a",984,"ENSXMAG00000002063","ISA"
"35676","GO:0050819","anxa5a",984,"ENSXMAG00000002063","ISA"
"39875","GO:0016020","RIC3",3472,"ENSXMAG00000006965","ISA"
"39876","GO:0005783","RIC3",3472,"ENSXMAG00000006965","ISA"
"43160","GO:0005856","FRMD7",5483,"ENSXMAG00000011030","ISA"
"44806","GO:0051082","dnajb1a",6462,"ENSXMAG00000013097","ISA"
"44807","GO:0006457","dnajb1a",6462,"ENSXMAG00000013097","ISA"
"51529","GO:0016020","CABP7",634,"ENSXMAG00000001396","ISA"
"51530","GO:0046872","CABP7",634,"ENSXMAG00000001396","ISA"
"51531","GO:0005509","CABP7",634,"ENSXMAG00000001396","ISA"
"52284","GO:0016020","lrit3a",1114,"ENSXMAG00000002285","ISA"
"52285","GO:0005515","lrit3a",1114,"ENSXMAG00000002285","ISA"
"57531","GO:0016020","gja2",4778,"ENSXMAG00000009630","ISA"
"57532","GO:0005886","gja2",4778,"ENSXMAG00000009630","ISA"
"57533","GO:0007154","gja2",4778,"ENSXMAG00000009630","ISA"
"57534","GO:0005922","gja2",4778,"ENSXMAG00000009630","ISA"
"57535","GO:0005921","gja2",4778,"ENSXMAG00000009630","ISA"
"57536","GO:0110165","gja2",4778,"ENSXMAG00000009630","ISA"
"57537","GO:0070161","gja2",4778,"ENSXMAG00000009630","ISA"
"57683","GO:0016787","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57684","GO:0003824","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57685","GO:0004518","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57686","GO:0004519","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57687","GO:0004536","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57688","GO:0006308","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57689","GO:0002088","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57690","GO:0060041","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"57691","GO:0070306","dnase1l1l",4898,"ENSXMAG00000009859","ISA"
"58115","GO:0005576","WNT8A",5213,"ENSXMAG00000010466","ISA"
"58116","GO:0005102","WNT8A",5213,"ENSXMAG00000010466","ISA"
"58117","GO:0016055","WNT8A",5213,"ENSXMAG00000010466","ISA"
"58118","GO:0007275","WNT8A",5213,"ENSXMAG00000010466","ISA"
"58119","GO:0048513","WNT8A",5213,"ENSXMAG00000010466","ISA"
"58911","GO:0046872","cabp5b",5743,"ENSXMAG00000011565","ISA"
"58912","GO:0005509","cabp5b",5743,"ENSXMAG00000011565","ISA"
"61778","GO:0003677","pou4f4",7560,"ENSXMAG00000015351","ISA"
"61779","GO:0003700","pou4f4",7560,"ENSXMAG00000015351","ISA"
"61780","GO:0006355","pou4f4",7560,"ENSXMAG00000015351","ISA"
"61781","GO:0005634","pou4f4",7560,"ENSXMAG00000015351","ISA"
"61782","GO:0000981","pou4f4",7560,"ENSXMAG00000015351","ISA"
"61783","GO:0006357","pou4f4",7560,"ENSXMAG00000015351","ISA"
"62624","GO:0016020","gja9b",8041,"ENSXMAG00000016245","ISA"
"62625","GO:0005886","gja9b",8041,"ENSXMAG00000016245","ISA"
"62626","GO:0007154","gja9b",8041,"ENSXMAG00000016245","ISA"
"62627","GO:0005922","gja9b",8041,"ENSXMAG00000016245","ISA"
"62628","GO:0005921","gja9b",8041,"ENSXMAG00000016245","ISA"
"62629","GO:0070161","gja9b",8041,"ENSXMAG00000016245","ISA"
"63736","GO:0016020","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63737","GO:0005886","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63738","GO:0015293","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63739","GO:0055085","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63740","GO:0006836","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63741","GO:0005332","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"63742","GO:0015812","slc6a1a",8798,"ENSXMAG00000017742","ISA"
"64658","GO:0003677","pax1a",9478,"ENSXMAG00000019114","ISA"
"64659","GO:0006355","pax1a",9478,"ENSXMAG00000019114","ISA"
"64660","GO:0005634","pax1a",9478,"ENSXMAG00000019114","ISA"
"64686","GO:0016020","SLC5A7",9489,"ENSXMAG00000019135","ISA"
"64687","GO:0055085","SLC5A7",9489,"ENSXMAG00000019135","ISA"
"64688","GO:0022857","SLC5A7",9489,"ENSXMAG00000019135","ISA"
"64936","GO:0051260","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64937","GO:0008076","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64938","GO:0006813","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64939","GO:0005249","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64940","GO:0055085","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64941","GO:0006811","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64942","GO:0005216","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64943","GO:0005515","KCNA10",9656,"ENSXMAG00000019458","ISA"
"64944","GO:0016020","KCNA10",9656,"ENSXMAG00000019458","ISA"
"65219","GO:0008270","rps29",9768,"ENSXMAG00000019760","ISA"
"65220","GO:0003735","rps29",9768,"ENSXMAG00000019760","ISA"
