"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"3229","GO:0016020","exd2",1793,"ENSXMAG00000003565","ISA"
"3230","GO:0003676","exd2",1793,"ENSXMAG00000003565","ISA"
"3231","GO:0006139","exd2",1793,"ENSXMAG00000003565","ISA"
"3232","GO:0008408","exd2",1793,"ENSXMAG00000003565","ISA"
"13660","GO:0016020","smpd4",7832,"ENSXMAG00000015857","ISA"
"13661","GO:0050290","smpd4",7832,"ENSXMAG00000015857","ISA"
"15783","GO:0015031","ist1",9068,"ENSXMAG00000018307","ISA"
"15784","GO:0007032","ist1",9068,"ENSXMAG00000018307","ISA"
"15785","GO:0048675","ist1",9068,"ENSXMAG00000018307","ISA"
"15786","GO:0005635","ist1",9068,"ENSXMAG00000018307","ISA"
"18375","GO:0090502","endou2",729,"ENSXMAG00000001569","ISA"
"18376","GO:0046872","endou2",729,"ENSXMAG00000001569","ISA"
"18377","GO:0016787","endou2",729,"ENSXMAG00000001569","ISA"
"18378","GO:0003723","endou2",729,"ENSXMAG00000001569","ISA"
"18379","GO:0004518","endou2",729,"ENSXMAG00000001569","ISA"
"18380","GO:0004519","endou2",729,"ENSXMAG00000001569","ISA"
"18381","GO:0004521","endou2",729,"ENSXMAG00000001569","ISA"
"31661","GO:0007165","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31662","GO:0004672","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31663","GO:0005524","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31664","GO:0006468","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31665","GO:0005737","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31666","GO:0016310","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31667","GO:0005515","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31668","GO:0012501","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31669","GO:0023052","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31670","GO:0010033","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31671","GO:0043123","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31672","GO:0036211","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31673","GO:0070887","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31674","GO:0031349","ripk1l",8434,"ENSXMAG00000016997","ISA"
"31675","GO:0032103","ripk1l",8434,"ENSXMAG00000016997","ISA"
"33926","GO:0005634","nup88",9928,"ENSXMAG00000020235","ISA"
"33927","GO:0015031","nup88",9928,"ENSXMAG00000020235","ISA"
"33928","GO:0017056","nup88",9928,"ENSXMAG00000020235","ISA"
"33929","GO:0006913","nup88",9928,"ENSXMAG00000020235","ISA"
"33930","GO:0051028","nup88",9928,"ENSXMAG00000020235","ISA"
"33931","GO:0005643","nup88",9928,"ENSXMAG00000020235","ISA"
