"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"13","GO:0005515","grap2a",4,"ENSXMAG00000000013","ISA"
"431","GO:0046872","vav3b",222,"ENSXMAG00000000476","ISA"
"432","GO:0035556","vav3b",222,"ENSXMAG00000000476","ISA"
"433","GO:0005085","vav3b",222,"ENSXMAG00000000476","ISA"
"434","GO:0005515","vav3b",222,"ENSXMAG00000000476","ISA"
"435","GO:0007166","vav3b",222,"ENSXMAG00000000476","ISA"
"1875","GO:0003677","arid5a",888,"ENSXMAG00000001883","ISA"
"2084","GO:0016787","LPIN2",1036,"ENSXMAG00000002157","ISA"
"2085","GO:0008195","LPIN2",1036,"ENSXMAG00000002157","ISA"
"2216","GO:0046872","zgc:77938",1127,"ENSXMAG00000002302","ISA"
"2217","GO:0008270","zgc:77938",1127,"ENSXMAG00000002302","ISA"
"2218","GO:0016491","zgc:77938",1127,"ENSXMAG00000002302","ISA"
"2439","GO:0000166","myo1f",1270,"ENSXMAG00000002577","ISA"
"2440","GO:0005524","myo1f",1270,"ENSXMAG00000002577","ISA"
"2441","GO:0003774","myo1f",1270,"ENSXMAG00000002577","ISA"
"2442","GO:0003779","myo1f",1270,"ENSXMAG00000002577","ISA"
"2443","GO:0016459","myo1f",1270,"ENSXMAG00000002577","ISA"
"2444","GO:0005515","myo1f",1270,"ENSXMAG00000002577","ISA"
"2445","GO:0048731","myo1f",1270,"ENSXMAG00000002577","ISA"
"2712","GO:0016020","CD3D",1454,"ENSXMAG00000002924","ISA"
"2844","GO:0003677","irf8",1536,"ENSXMAG00000003082","ISA"
"2845","GO:0003700","irf8",1536,"ENSXMAG00000003082","ISA"
"2846","GO:0006355","irf8",1536,"ENSXMAG00000003082","ISA"
"2847","GO:0005634","irf8",1536,"ENSXMAG00000003082","ISA"
"2848","GO:0000976","irf8",1536,"ENSXMAG00000003082","ISA"
"2849","GO:0045893","irf8",1536,"ENSXMAG00000003082","ISA"
"2850","GO:0006351","irf8",1536,"ENSXMAG00000003082","ISA"
"2851","GO:0002573","irf8",1536,"ENSXMAG00000003082","ISA"
"2852","GO:0014005","irf8",1536,"ENSXMAG00000003082","ISA"
"2853","GO:0030097","irf8",1536,"ENSXMAG00000003082","ISA"
"2854","GO:0030225","irf8",1536,"ENSXMAG00000003082","ISA"
"2855","GO:0045649","irf8",1536,"ENSXMAG00000003082","ISA"
"2856","GO:0045658","irf8",1536,"ENSXMAG00000003082","ISA"
"2857","GO:0061515","irf8",1536,"ENSXMAG00000003082","ISA"
"2858","GO:0005515","irf8",1536,"ENSXMAG00000003082","ISA"
"2859","GO:0006357","irf8",1536,"ENSXMAG00000003082","ISA"
"2879","GO:0007229","fermt3b",1560,"ENSXMAG00000003120","ISA"
"2880","GO:0007155","fermt3b",1560,"ENSXMAG00000003120","ISA"
"2881","GO:0070161","fermt3b",1560,"ENSXMAG00000003120","ISA"
"3289","GO:0007165","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3290","GO:0007186","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3291","GO:0016020","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3292","GO:0005886","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3293","GO:0004930","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3294","GO:0004950","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3295","GO:0006935","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3296","GO:0005768","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3297","GO:0005769","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3298","GO:0070098","cxcr4a",1857,"ENSXMAG00000003684","ISA"
"3525","GO:0016020","il10ra",2031,"ENSXMAG00000004022","ISA"
"3526","GO:0005515","il10ra",2031,"ENSXMAG00000004022","ISA"
"4683","GO:0046872","acp5a",2631,"ENSXMAG00000005225","ISA"
"4684","GO:0016787","acp5a",2631,"ENSXMAG00000005225","ISA"
"4685","GO:0003993","acp5a",2631,"ENSXMAG00000005225","ISA"
"5490","GO:0016020","cybb",3187,"ENSXMAG00000006371","ISA"
"5491","GO:0016491","cybb",3187,"ENSXMAG00000006371","ISA"
"5933","GO:0007165","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
"5934","GO:0007186","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
"5935","GO:0016020","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
"5936","GO:0005886","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
"5937","GO:0004930","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
"5938","GO:0004950","cxcr3.2",3424,"ENSXMAG00000006858","ISA"
