"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"22468","GO:0005634","IPO4",3041,"ENSXMAG00000006041","ISA"
"22469","GO:0005737","IPO4",3041,"ENSXMAG00000006041","ISA"
"22470","GO:0006606","IPO4",3041,"ENSXMAG00000006041","ISA"
"22471","GO:0005515","IPO4",3041,"ENSXMAG00000006041","ISA"
"22472","GO:0006886","IPO4",3041,"ENSXMAG00000006041","ISA"
"22473","GO:0015031","IPO4",3041,"ENSXMAG00000006041","ISA"
"22474","GO:0031267","IPO4",3041,"ENSXMAG00000006041","ISA"
"38598","GO:0000166","bsk146",2717,"ENSXMAG00000005403","ISA"
"38599","GO:0004672","bsk146",2717,"ENSXMAG00000005403","ISA"
"38600","GO:0005524","bsk146",2717,"ENSXMAG00000005403","ISA"
"38601","GO:0006468","bsk146",2717,"ENSXMAG00000005403","ISA"
"38602","GO:0005737","bsk146",2717,"ENSXMAG00000005403","ISA"
"38603","GO:0016740","bsk146",2717,"ENSXMAG00000005403","ISA"
"38604","GO:0004674","bsk146",2717,"ENSXMAG00000005403","ISA"
"38605","GO:0106310","bsk146",2717,"ENSXMAG00000005403","ISA"
"41561","GO:0051260","kctd16a",4540,"ENSXMAG00000009166","ISA"
"41562","GO:0005515","kctd16a",4540,"ENSXMAG00000009166","ISA"
"43340","GO:0016020","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43341","GO:0006813","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43342","GO:0071805","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43343","GO:0006811","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43344","GO:0005244","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43345","GO:0034765","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43346","GO:0098655","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43347","GO:0034220","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43348","GO:0005242","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"43349","GO:0015467","KCNJ3",5607,"ENSXMAG00000011278","ISA"
"52836","GO:0021767","foxb1a",1640,"ENSXMAG00000003274","ISA"
"52837","GO:0043565","foxb1a",1640,"ENSXMAG00000003274","ISA"
"52838","GO:0006355","foxb1a",1640,"ENSXMAG00000003274","ISA"
"52839","GO:0003700","foxb1a",1640,"ENSXMAG00000003274","ISA"
"56907","GO:0003677","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56908","GO:0003700","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56909","GO:0006355","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56910","GO:0005634","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56911","GO:0000981","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56912","GO:0006357","pou1f1",4353,"ENSXMAG00000008771","ISA"
"56913","GO:0001708","pou1f1",4353,"ENSXMAG00000008771","ISA"
"57641","GO:0016020","MPP4",4865,"ENSXMAG00000009800","ISA"
"57642","GO:0005515","MPP4",4865,"ENSXMAG00000009800","ISA"
"61740","GO:0003677","otx2b",7540,"ENSXMAG00000015303","ISA"
"61741","GO:0003700","otx2b",7540,"ENSXMAG00000015303","ISA"
"61742","GO:0006355","otx2b",7540,"ENSXMAG00000015303","ISA"
"61743","GO:0005634","otx2b",7540,"ENSXMAG00000015303","ISA"
"61744","GO:0000981","otx2b",7540,"ENSXMAG00000015303","ISA"
"61745","GO:0006357","otx2b",7540,"ENSXMAG00000015303","ISA"
"61746","GO:0003406","otx2b",7540,"ENSXMAG00000015303","ISA"
"61747","GO:0021549","otx2b",7540,"ENSXMAG00000015303","ISA"
"61748","GO:0030901","otx2b",7540,"ENSXMAG00000015303","ISA"
"61749","GO:0030902","otx2b",7540,"ENSXMAG00000015303","ISA"
"61750","GO:0030917","otx2b",7540,"ENSXMAG00000015303","ISA"
"61751","GO:0097306","otx2b",7540,"ENSXMAG00000015303","ISA"
"61752","GO:0007275","otx2b",7540,"ENSXMAG00000015303","ISA"
"61840","GO:0007165","rrh",7597,"ENSXMAG00000015414","ISA"
"61841","GO:0007186","rrh",7597,"ENSXMAG00000015414","ISA"
"61842","GO:0016020","rrh",7597,"ENSXMAG00000015414","ISA"
"61843","GO:0004930","rrh",7597,"ENSXMAG00000015414","ISA"
"61844","GO:0050896","rrh",7597,"ENSXMAG00000015414","ISA"
"61845","GO:0007601","rrh",7597,"ENSXMAG00000015414","ISA"
"61846","GO:0009881","rrh",7597,"ENSXMAG00000015414","ISA"
"61847","GO:0007602","rrh",7597,"ENSXMAG00000015414","ISA"
"63838","GO:0003924","rasl10a",8874,"ENSXMAG00000017914","ISA"
"63839","GO:0005525","rasl10a",8874,"ENSXMAG00000017914","ISA"
"65295","GO:0042908","slc18a3b",9795,"ENSXMAG00000019856","ISA"
"65296","GO:0042910","slc18a3b",9795,"ENSXMAG00000019856","ISA"
"65297","GO:0022857","slc18a3b",9795,"ENSXMAG00000019856","ISA"
"65298","GO:0055085","slc18a3b",9795,"ENSXMAG00000019856","ISA"
"65299","GO:0016020","slc18a3b",9795,"ENSXMAG00000019856","ISA"
"65379","GO:0046872","im:7152348",9824,"ENSXMAG00000019938","ISA"
"65417","GO:0007165","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65418","GO:0007186","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65419","GO:0016020","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65420","GO:0004930","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65421","GO:0050896","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65422","GO:0007601","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65423","GO:0009881","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65424","GO:0007602","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65425","GO:0008377","opn4.1",9846,"ENSXMAG00000019994","ISA"
"65602","GO:0007165","DRD5",9900,"ENSXMAG00000020171","ISA"
"65603","GO:0007186","DRD5",9900,"ENSXMAG00000020171","ISA"
"65604","GO:0016020","DRD5",9900,"ENSXMAG00000020171","ISA"
"65605","GO:0005886","DRD5",9900,"ENSXMAG00000020171","ISA"
"65606","GO:0004930","DRD5",9900,"ENSXMAG00000020171","ISA"
