"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"28258","GO:0004725","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28259","GO:0008138","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28260","GO:0016791","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28261","GO:0006470","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28262","GO:0016311","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28263","GO:0017017","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28264","GO:0004722","DUSP28",6469,"ENSXMAG00000013111","ISA"
"28265","GO:0017018","DUSP28",6469,"ENSXMAG00000013111","ISA"
"44827","GO:0003676","esrp1",6477,"ENSXMAG00000013126","ISA"
"44828","GO:0003723","esrp1",6477,"ENSXMAG00000013126","ISA"
"44829","GO:1904888","esrp1",6477,"ENSXMAG00000013126","ISA"
"44830","GO:1905748","esrp1",6477,"ENSXMAG00000013126","ISA"
"47022","GO:0016020","megf10",7947,"ENSXMAG00000016065","ISA"
"47023","GO:0005044","megf10",7947,"ENSXMAG00000016065","ISA"
"47024","GO:0006897","megf10",7947,"ENSXMAG00000016065","ISA"
"47025","GO:0048856","megf10",7947,"ENSXMAG00000016065","ISA"
"47026","GO:0005515","megf10",7947,"ENSXMAG00000016065","ISA"
"51300","GO:0003700","olig2",502,"ENSXMAG00000001116","ISA"
"51301","GO:0006355","olig2",502,"ENSXMAG00000001116","ISA"
"51302","GO:0046983","olig2",502,"ENSXMAG00000001116","ISA"
"51303","GO:0042552","olig2",502,"ENSXMAG00000001116","ISA"
"51304","GO:0030182","olig2",502,"ENSXMAG00000001116","ISA"
"51305","GO:0021778","olig2",502,"ENSXMAG00000001116","ISA"
"51306","GO:0048709","olig2",502,"ENSXMAG00000001116","ISA"
"52730","GO:0007165","mc1r",1514,"ENSXMAG00000003026","ISA"
"52731","GO:0007186","mc1r",1514,"ENSXMAG00000003026","ISA"
"52732","GO:0016020","mc1r",1514,"ENSXMAG00000003026","ISA"
"52733","GO:0005886","mc1r",1514,"ENSXMAG00000003026","ISA"
"52734","GO:0004930","mc1r",1514,"ENSXMAG00000003026","ISA"
"52735","GO:0004977","mc1r",1514,"ENSXMAG00000003026","ISA"
"52736","GO:0004980","mc1r",1514,"ENSXMAG00000003026","ISA"
"55046","GO:0000166","MYLK4",3097,"ENSXMAG00000006166","ISA"
"55047","GO:0004672","MYLK4",3097,"ENSXMAG00000006166","ISA"
"55048","GO:0005524","MYLK4",3097,"ENSXMAG00000006166","ISA"
"55049","GO:0006468","MYLK4",3097,"ENSXMAG00000006166","ISA"
"55050","GO:0005737","MYLK4",3097,"ENSXMAG00000006166","ISA"
"58008","GO:0016020","agpat5",5139,"ENSXMAG00000010319","ISA"
"58009","GO:0016740","agpat5",5139,"ENSXMAG00000010319","ISA"
"58010","GO:0016746","agpat5",5139,"ENSXMAG00000010319","ISA"
"60839","GO:0007165","sstr5",6988,"ENSXMAG00000014160","ISA"
"60840","GO:0007186","sstr5",6988,"ENSXMAG00000014160","ISA"
"60841","GO:0016020","sstr5",6988,"ENSXMAG00000014160","ISA"
"60842","GO:0004930","sstr5",6988,"ENSXMAG00000014160","ISA"
"60843","GO:0004994","sstr5",6988,"ENSXMAG00000014160","ISA"
"60844","GO:0038170","sstr5",6988,"ENSXMAG00000014160","ISA"
"64704","GO:0016740","si:rp71-1f1.4",9506,"ENSXMAG00000019170","ISA"
"64705","GO:0016746","si:rp71-1f1.4",9506,"ENSXMAG00000019170","ISA"
"64706","GO:0016407","si:rp71-1f1.4",9506,"ENSXMAG00000019170","ISA"
"64707","GO:0004060","si:rp71-1f1.4",9506,"ENSXMAG00000019170","ISA"
"64967","GO:0003677","NKX1-2",9662,"ENSXMAG00000019481","ISA"
"64968","GO:0006355","NKX1-2",9662,"ENSXMAG00000019481","ISA"
"64969","GO:0005634","NKX1-2",9662,"ENSXMAG00000019481","ISA"
"64970","GO:0000981","NKX1-2",9662,"ENSXMAG00000019481","ISA"
"64971","GO:0006357","NKX1-2",9662,"ENSXMAG00000019481","ISA"
"65081","GO:1905606","SLITRK3",9726,"ENSXMAG00000019627","ISA"
"65082","GO:0016020","SLITRK3",9726,"ENSXMAG00000019627","ISA"
"65083","GO:0007409","SLITRK3",9726,"ENSXMAG00000019627","ISA"
"65084","GO:0005515","SLITRK3",9726,"ENSXMAG00000019627","ISA"
"65549","GO:0051260","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65550","GO:0008076","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65551","GO:0006813","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65552","GO:0005249","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65553","GO:0055085","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65554","GO:0006811","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65555","GO:0005216","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65556","GO:0005515","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65557","GO:0016020","KCNA1",9885,"ENSXMAG00000020119","ISA"
"65655","GO:0007165","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65656","GO:0007186","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65657","GO:0016020","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65658","GO:0005886","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65659","GO:0004930","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65660","GO:0004984","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65661","GO:0007608","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65662","GO:0050896","or71ar1",9920,"ENSXMAG00000020221","ISA"
"65663","GO:0050911","or71ar1",9920,"ENSXMAG00000020221","ISA"
