GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0006002	0.032882639265484	38.0597826086956	0.0333144315282109	1	5	fructose 6-phosphate metabolic process	ENSXMAG00000004655	PFKP
GO:0006091	0.0471868226391526	3.94652406417112	0.812872129288347	3	122	generation of precursor metabolites and energy	ENSXMAG00000002395,ENSXMAG00000010795,ENSXMAG00000004655	rpia,idh3g,PFKP
GO:0006098	0.0457372803622287	25.3659420289855	0.0466402041394953	1	7	pentose-phosphate shunt	ENSXMAG00000002395	rpia
GO:0006233	0.00666288630564216	Inf	0.00666288630564219	1	1	dTDP biosynthetic process	ENSXMAG00000003756	dtymk
GO:0006325	0.0154132702266303	4.52977074055748	0.966118514318117	4	145	chromatin organization	ENSXMAG00000003802,ENSXMAG00000006551,ENSXMAG00000018384,ENSXMAG00000012872	vps72a,kdm4b,sirt3,suv39h1b
GO:0006338	0.00340412769627957	7.14935400516796	0.626311312730366	4	94	chromatin remodeling	ENSXMAG00000003802,ENSXMAG00000006551,ENSXMAG00000018384,ENSXMAG00000012872	vps72a,kdm4b,sirt3,suv39h1b
GO:0006643	0.0450600435616668	6.31111111111111	0.339807201587752	2	51	membrane lipid metabolic process	ENSXMAG00000010390,ENSXMAG00000000636	samd8,pign
GO:0006740	0.0457372803622287	25.3659420289855	0.0466402041394953	1	7	NADPH regeneration	ENSXMAG00000002395	rpia
GO:0008272	0.0457372803622287	25.3659420289855	0.0466402041394953	1	7	sulfate transport	ENSXMAG00000019224	SLC26A2
GO:0009052	0.00666288630564216	Inf	0.00666288630564219	1	1	pentose-phosphate shunt, non-oxidative branch	ENSXMAG00000002395	rpia
GO:0009132	0.0388472148894246	6.87604938271605	0.313155656365183	2	47	nucleoside diphosphate metabolic process	ENSXMAG00000003756,ENSXMAG00000004655	dtymk,PFKP
GO:0009133	0.032882639265484	38.0597826086956	0.0333144315282109	1	5	nucleoside diphosphate biosynthetic process	ENSXMAG00000003756	dtymk
GO:0009138	0.0132823169512728	152.304347826087	0.0133257726112844	1	2	pyrimidine nucleoside diphosphate metabolic process	ENSXMAG00000003756	dtymk
GO:0009139	0.0132823169512728	152.304347826087	0.0133257726112844	1	2	pyrimidine nucleoside diphosphate biosynthetic process	ENSXMAG00000003756	dtymk
GO:0009186	0.00666288630564216	Inf	0.00666288630564219	1	1	deoxyribonucleoside diphosphate metabolic process	ENSXMAG00000003756	dtymk
GO:0009189	0.00666288630564216	Inf	0.00666288630564219	1	1	deoxyribonucleoside diphosphate biosynthetic process	ENSXMAG00000003756	dtymk
GO:0009196	0.00666288630564216	Inf	0.00666288630564219	1	1	pyrimidine deoxyribonucleoside diphosphate metabolic process	ENSXMAG00000003756	dtymk
GO:0009197	0.00666288630564216	Inf	0.00666288630564219	1	1	pyrimidine deoxyribonucleoside diphosphate biosynthetic process	ENSXMAG00000003756	dtymk
