"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"228","GO:0016020","tafazzin",123,"ENSXMAG00000000265","ISA"
"229","GO:0005743","tafazzin",123,"ENSXMAG00000000265","ISA"
"230","GO:0016746","tafazzin",123,"ENSXMAG00000000265","ISA"
"231","GO:0006644","tafazzin",123,"ENSXMAG00000000265","ISA"
"232","GO:0005741","tafazzin",123,"ENSXMAG00000000265","ISA"
"233","GO:0001947","tafazzin",123,"ENSXMAG00000000265","ISA"
"234","GO:0007507","tafazzin",123,"ENSXMAG00000000265","ISA"
"235","GO:0045823","tafazzin",123,"ENSXMAG00000000265","ISA"
"1095","GO:0003676","SRSF3",496,"ENSXMAG00000001097","ISA"
"1096","GO:0003723","SRSF3",496,"ENSXMAG00000001097","ISA"
"1336","GO:0016020","emc4",598,"ENSXMAG00000001312","ISA"
"1337","GO:0005783","emc4",598,"ENSXMAG00000001312","ISA"
"1338","GO:0005789","emc4",598,"ENSXMAG00000001312","ISA"
"3138","GO:0006659","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3139","GO:0106245","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3140","GO:0016020","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3141","GO:0016740","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3142","GO:0005783","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3143","GO:0006629","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3144","GO:0008654","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3145","GO:0005789","PTDSS1",1726,"ENSXMAG00000003441","ISA"
"3656","GO:0035091","snx24",2137,"ENSXMAG00000004220","ISA"
"4039","GO:0003724","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4040","GO:0000166","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4041","GO:0003676","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4042","GO:0005524","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4043","GO:0016787","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4044","GO:0003723","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4045","GO:0006412","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4046","GO:0003743","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4047","GO:0006413","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4048","GO:0004386","eif4a2",2335,"ENSXMAG00000004590","ISA"
"4388","GO:0005525","RABL6",2489,"ENSXMAG00000004911","ISA"
"4439","GO:0016740","tnksb",2511,"ENSXMAG00000004961","ISA"
"4440","GO:0003950","tnksb",2511,"ENSXMAG00000004961","ISA"
"4441","GO:0016757","tnksb",2511,"ENSXMAG00000004961","ISA"
"4442","GO:0042593","tnksb",2511,"ENSXMAG00000004961","ISA"
"4443","GO:0005515","tnksb",2511,"ENSXMAG00000004961","ISA"
"4444","GO:0016020","tnksb",2511,"ENSXMAG00000004961","ISA"
"4710","GO:0016020","serinc1",2653,"ENSXMAG00000005270","ISA"
"5279","GO:0016020","dad1",3061,"ENSXMAG00000006087","ISA"
"5280","GO:0005783","dad1",3061,"ENSXMAG00000006087","ISA"
"5281","GO:0005789","dad1",3061,"ENSXMAG00000006087","ISA"
"5282","GO:0008250","dad1",3061,"ENSXMAG00000006087","ISA"
"5283","GO:0006486","dad1",3061,"ENSXMAG00000006087","ISA"
"5790","GO:0006629","crot",3340,"ENSXMAG00000006691","ISA"
"5791","GO:0016746","crot",3340,"ENSXMAG00000006691","ISA"
"5792","GO:0006631","crot",3340,"ENSXMAG00000006691","ISA"
"5793","GO:0006635","crot",3340,"ENSXMAG00000006691","ISA"
"5958","GO:0046872","PHF21A",3430,"ENSXMAG00000006871","ISA"
"5959","GO:0060324","PHF21A",3430,"ENSXMAG00000006871","ISA"
"6242","GO:0007155","thbs4a",3609,"ENSXMAG00000007257","ISA"
"6243","GO:0005509","thbs4a",3609,"ENSXMAG00000007257","ISA"
"6244","GO:0005576","thbs4a",3609,"ENSXMAG00000007257","ISA"
"6245","GO:0048856","thbs4a",3609,"ENSXMAG00000007257","ISA"
"6431","GO:0004721","ctdspl2a",3709,"ENSXMAG00000007467","ISA"
"6432","GO:0016791","ctdspl2a",3709,"ENSXMAG00000007467","ISA"
"7421","GO:0003676","larp7",4211,"ENSXMAG00000008479","ISA"
"7422","GO:0005634","larp7",4211,"ENSXMAG00000008479","ISA"
"7423","GO:0003723","larp7",4211,"ENSXMAG00000008479","ISA"
"7424","GO:0006396","larp7",4211,"ENSXMAG00000008479","ISA"
"7425","GO:1990904","larp7",4211,"ENSXMAG00000008479","ISA"
"7426","GO:0005654","larp7",4211,"ENSXMAG00000008479","ISA"
"7427","GO:0006397","larp7",4211,"ENSXMAG00000008479","ISA"
"7428","GO:0008380","larp7",4211,"ENSXMAG00000008479","ISA"
"7674","GO:0000166","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7675","GO:0004672","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7676","GO:0005524","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7677","GO:0006468","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7678","GO:0005737","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7679","GO:0016301","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7680","GO:0016740","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7681","GO:0016310","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7682","GO:0004674","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7683","GO:0000165","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7684","GO:0004707","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7685","GO:0060027","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7686","GO:0048511","MAPK9",4370,"ENSXMAG00000008807","ISA"
"7687","GO:0106310","MAPK9",4370,"ENSXMAG00000008807","ISA"
