GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0002262	0.00211019804942717	36.1757105943152	0.0701729515168699	2	45	myeloid cell homeostasis	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0002520	0.0217836494084793	10.3528528528529	0.233909838389566	2	150	immune system development	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0006002	0.00777491308889755	175.975	0.00779699461298554	1	5	fructose 6-phosphate metabolic process	ENSXMAG00000002114	pfkmb
GO:0006778	0.0262110005886814	43.91875	0.0265097816841508	1	17	porphyrin-containing compound metabolic process	ENSXMAG00000016690	alas2
GO:0006779	0.0185674820801026	63.9272727272727	0.0187127870711653	1	12	porphyrin-containing compound biosynthetic process	ENSXMAG00000016690	alas2
GO:0006782	0.00932328533404159	140.76	0.00935639353558265	1	6	protoporphyrinogen IX biosynthetic process	ENSXMAG00000016690	alas2
GO:0006783	0.0170322491880207	70.33	0.0171533881485682	1	11	heme biosynthetic process	ENSXMAG00000016690	alas2
GO:0006810	0.0341427484164554	3.77716679759099	1.9929118230791	5	1278	transport	ENSXMAG00000000178,ENSXMAG00000017354,ENSXMAG00000017585,ENSXMAG00000000353,ENSXMAG00000010024	hbba2,hbae4,rhag,vamp2,CHRNA6
GO:0007044	0.00311658687266836	704.2	0.00311879784519422	1	2	cell-substrate junction assembly	ENSXMAG00000002314	mibp2
GO:0010628	0.0322868069321169	35.115	0.0327473773745393	1	21	positive regulation of gene expression	ENSXMAG00000005126	klf1
GO:0010927	0.0338003637533524	33.4380952380952	0.0343067762971364	1	22	cellular component assembly involved in morphogenesis	ENSXMAG00000005126	klf1
GO:0014855	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	striated muscle cell proliferation	ENSXMAG00000005126	klf1
GO:0015669	6.62727414277749e-06	1564.88888888889	0.00467819676779132	2	3	gas transport	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0015671	6.62727414277749e-06	1564.88888888889	0.00467819676779132	2	3	oxygen transport	ENSXMAG00000000178,ENSXMAG00000017354	hbba2,hbae4
GO:0015696	0.00932328533404159	140.76	0.00935639353558265	1	6	ammonium transport	ENSXMAG00000017585	rhag
GO:0020027	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	hemoglobin metabolic process	ENSXMAG00000016690	alas2
GO:0030097	0.0201729052231849	10.7996870109546	0.224553444853984	2	144	hemopoiesis	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0030099	0.00489942119568087	23.1376451077944	0.1075985256592	2	69	myeloid cell differentiation	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0030218	0.00175380162948298	39.9088319088319	0.0639353558264814	2	41	erythrocyte differentiation	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0030239	0.0338003637533524	33.4380952380952	0.0343067762971364	1	22	myofibril assembly	ENSXMAG00000005126	klf1
GO:0031032	0.0383281309271747	29.2458333333333	0.0389849730649277	1	25	actomyosin structure organization	ENSXMAG00000005126	klf1
GO:0031100	0.00777491308889755	175.975	0.00779699461298554	1	5	animal organ regeneration	ENSXMAG00000005126	klf1
GO:0033002	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	muscle cell proliferation	ENSXMAG00000005126	klf1
GO:0033013	0.0277331945624657	41.3294117647059	0.0280691806067479	1	18	tetrapyrrole metabolic process	ENSXMAG00000016690	alas2
GO:0033014	0.0185674820801026	63.9272727272727	0.0187127870711653	1	12	tetrapyrrole biosynthetic process	ENSXMAG00000016690	alas2
GO:0034101	0.00175380162948298	39.9088319088319	0.0639353558264814	2	41	erythrocyte homeostasis	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0034329	0.0292532250996769	39.0277777777778	0.0296285795293451	1	19	cell junction assembly	ENSXMAG00000002314	mibp2
GO:0035051	0.0353117681900295	31.9136363636364	0.0358661752197335	1	23	cardiocyte differentiation	ENSXMAG00000005126	klf1
GO:0035162	0.00106899376297356	51.9481481481481	0.0499007655231075	2	32	embryonic hemopoiesis	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0035265	0.0216314103233697	54.0769230769231	0.0218315849163595	1	14	organ growth	ENSXMAG00000005126	klf1
GO:0042168	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	heme metabolic process	ENSXMAG00000016690	alas2
GO:0042440	0.0368210229972989	30.5217391304348	0.0374255741423306	1	24	pigment metabolic process	ENSXMAG00000016690	alas2
GO:0042541	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	hemoglobin biosynthetic process	ENSXMAG00000016690	alas2
GO:0042592	0.0226089172182851	10.1427520235467	0.238588035157358	2	153	homeostatic process	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0043696	0.00311658687266836	704.2	0.00311879784519422	1	2	dedifferentiation	ENSXMAG00000005126	klf1
GO:0043697	0.00311658687266836	704.2	0.00311879784519422	1	2	cell dedifferentiation	ENSXMAG00000005126	klf1
GO:0045214	0.0139552319137306	87.9375	0.014034590303374	1	9	sarcomere organization	ENSXMAG00000005126	klf1
GO:0046148	0.0277331945624657	41.3294117647059	0.0280691806067479	1	18	pigment biosynthetic process	ENSXMAG00000016690	alas2
GO:0046501	0.00932328533404159	140.76	0.00935639353558265	1	6	protoporphyrinogen IX metabolic process	ENSXMAG00000016690	alas2
GO:0048534	0.0217836494084793	10.3528528528529	0.233909838389566	2	150	hematopoietic or lymphoid organ development	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0048568	0.0375180943908719	7.64265773310999	0.313439183442019	2	201	embryonic organ development	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0048738	0.0488180043815823	22.6193548387097	0.0499007655231075	1	32	cardiac muscle tissue development	ENSXMAG00000005126	klf1
GO:0048821	0.0216314103233697	54.0769230769231	0.0218315849163595	1	14	erythrocyte development	ENSXMAG00000016690	alas2
GO:0048872	0.00260001519957268	32.3842592592593	0.0779699461298554	2	50	homeostasis of number of cells	ENSXMAG00000016690,ENSXMAG00000005126	alas2,klf1
GO:0051179	0.0129726402908256	4.68141962421712	2.25021264530763	6	1443	localization	ENSXMAG00000000178,ENSXMAG00000017872,ENSXMAG00000017354,ENSXMAG00000017585,ENSXMAG00000000353,ENSXMAG00000010024	hbba2,ANK1,hbae4,rhag,vamp2,CHRNA6
GO:0051234	0.0357605027544598	3.72347308488613	2.01630280691806	5	1293	establishment of localization	ENSXMAG00000000178,ENSXMAG00000017354,ENSXMAG00000017585,ENSXMAG00000000353,ENSXMAG00000010024	hbba2,hbae4,rhag,vamp2,CHRNA6
GO:0055002	0.0353117681900295	31.9136363636364	0.0358661752197335	1	23	striated muscle cell development	ENSXMAG00000005126	klf1
GO:0055007	0.0262110005886814	43.91875	0.0265097816841508	1	17	cardiac muscle cell differentiation	ENSXMAG00000005126	klf1
GO:0055017	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	cardiac muscle tissue growth	ENSXMAG00000005126	klf1
GO:0060038	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	cardiac muscle cell proliferation	ENSXMAG00000005126	klf1
GO:0060078	0.045831563517104	24.1862068965517	0.0467819676779132	1	30	regulation of postsynaptic membrane potential	ENSXMAG00000010024	CHRNA6
GO:0060079	0.045831563517104	24.1862068965517	0.0467819676779132	1	30	excitatory postsynaptic potential	ENSXMAG00000010024	CHRNA6
GO:0060215	0.0262110005886814	43.91875	0.0265097816841508	1	17	primitive hemopoiesis	ENSXMAG00000005126	klf1
GO:0060319	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	primitive erythrocyte differentiation	ENSXMAG00000005126	klf1
GO:0060419	0.0124134419423092	100.514285714286	0.0124751913807769	1	8	heart growth	ENSXMAG00000005126	klf1
GO:0061061	0.0131640176869435	13.6283185840708	0.179330876098667	2	115	muscle structure development	ENSXMAG00000002314,ENSXMAG00000005126	mibp2,klf1
GO:0061515	0.0292532250996769	39.0277777777778	0.0296285795293451	1	19	myeloid cell development	ENSXMAG00000016690	alas2
GO:0061615	0.00777491308889755	175.975	0.00779699461298554	1	5	glycolytic process through fructose-6-phosphate	ENSXMAG00000002114	pfkmb
GO:0065008	0.0187745791226702	6.59366754617414	0.595690388432095	3	382	regulation of biological quality	ENSXMAG00000016690,ENSXMAG00000005126,ENSXMAG00000010024	alas2,klf1,CHRNA6
GO:0070831	0.00467156667193125	352.05	0.00467819676779132	1	3	basement membrane assembly	ENSXMAG00000002314	mibp2
GO:0071711	0.00777491308889755	175.975	0.00779699461298554	1	5	basement membrane organization	ENSXMAG00000002314	mibp2
GO:0072488	0.00932328533404159	140.76	0.00935639353558265	1	6	ammonium transmembrane transport	ENSXMAG00000017585	rhag
GO:0085029	0.00777491308889755	175.975	0.00779699461298554	1	5	extracellular matrix assembly	ENSXMAG00000002314	mibp2
GO:0099565	0.045831563517104	24.1862068965517	0.0467819676779132	1	30	chemical synaptic transmission, postsynaptic	ENSXMAG00000010024	CHRNA6
GO:0150115	0.00311658687266836	704.2	0.00311879784519422	1	2	cell-substrate junction organization	ENSXMAG00000002314	mibp2
